User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
SPD Sachsen,@SPDSachsen,2021-05-29T08:48:58.000Z,"#ausRespekt vor deiner Zukunft stellen wir heute unsere Kandidierenden zur #BTW21 auf. Zur Zeit läuft die Begrüßung der Delegierten durch unseren Vorsitzenden 
@MartinDulig
 und Generalsekretär 
@HenningHomannMartin Dulig and 5 others",,6,17
Daniela Kolbe,@danielakolbe,2021-05-27T18:49:31.000Z,"Großartig, 
@Karl_Lauterbach
!  Der Sommer wird gut!Saskia Esken
@EskenSaskia
 · May 27
Hätten wir uns hiermit beim #ESC beworben, ich schwör wir hätten gewonnen. @Karl_Lauterbach, Du bist ein Popstar  twitter.com/daserste/statu…",,,42
Hubertus Heil,@hubertus_heil,2021-05-27T13:14:27.000Z,"Es kommt: Das #Lieferkettengesetz sorgt für verbindliche menschenrechtliche Sorgfaltspflichten. ⁦
@BMAS_Bund
⁩ ⁦
@spdde
⁩ ⁦
@spdbt
⁩",49,70,442
FES online,@FESonline,2021-05-26T11:42:54.000Z," Gleich geht’s los  Sei dabei:
Tiergartenkonferenz #TGK21
Wie souverän ist Europa? Darum geht es jetzt. 
Hier #live . Mit dabei u.a. 
@MartinSchulz
  @OlafScholz
   @katarinabarley
   @delarabur
 @ulrikeguerot18:21
FES online
@FESonline
#TGK21 live: Wie souverän ist Europa?",2,11,32
Daniela Kolbe,@danielakolbe,2021-05-26T11:02:40.000Z,"Der Fall #Protassewitsch zeigt wie skrupellos das Regime in #Belarus vorgeht. Solidarität für all die politischen Gefangenen im Land! Deshalb habe ich heute einen Brief an Aliaksandr Babrou geschrieben, der nach einem Streik  inhaftiert wurde. #WeStandBYyou",1,3,17
Holger Mann,@HolgerMannLE,2021-05-17T13:45:26.000Z,"In ZOOM-VA morgen ab 18:30 Uhr lädt 
@danielakolbe
 ein mit 
@spdbt
 Fraktionsvorsitzenden Rolf Mützenich + Bundestagskandidatin 
@nadjasthamer
 über Friedens- u. Entwicklungspolitik zu diskutieren. 
Hier anmelden!: https://us02web.zoom.us/meeting/register/tZMscOGuqzsuHdNbaoeb2eSfk6XuuzgR7PRi… 3/3
@LVZ
 @l_iz
 @BILD_Leipzig
 @kreuzer_leipzig",,1,6
Daniela Kolbe,@danielakolbe,2021-05-12T09:09:35.000Z,"Sehr gut 
@OlafScholz
 & 
@SvenjaSchulze68
! Mieter*innen können nur auf dickere Pullis zurückgreifen. Vermieter*innen können die Heizung umrüsten. Deshalb ist es richtig und sozial, dass Vermieter die Hälfte d CO2-Preises zahlen! Klimakrise sozial bewältigen!Umwelt: Vermieter sollen künftig 50 Prozent der CO2-Preis-Kosten tragen
Hier finden Sie Informationen zu dem Thema „Umwelt“. Lesen Sie jetzt „Vermieter sollen künftig 50 Prozent der CO2-Preis-Kosten tragen“.
zeit.de",41,15,74
vorwärts Verlag,@vorwaerts,2021-05-11T13:43:59.000Z,"Gestern gab es die Nachricht, dass das #Kurzarbeitergeld in der #Coronakrise 2,2 Millionen Jobs gesichert hat. Darüber haben wir gerade drüben bei Insta mit 
@danielakolbe
 gesprochen.Interview mit Daniela Kolbe, MdB, zum Kurzarbeitergeld
Das Kurzarbeitergeld hat 2,2 Millionen Arbeitsplätze gerettet - das zeigt eine Studie der Hans Böckler Stiftung. Wir haben mit Daniela Kolbe, MdB und Mitglie...
youtube.com",1,2,3
Olaf Scholz,@OlafScholz,2021-05-09T14:06:40.000Z,Der Mindestlohn von 12 Euro ist längst überfällig - und ich werde ihn in meinem ersten Jahr als Bundeskanzler durchsetzen! #spdbpt21,1.1K,392,2K
Amadeu Antonio Stiftung,@AmadeuAntonio,2021-05-08T15:04:24.000Z,"Antisemitischer Nachbarschaftsterror in Leipzig-Gohlis — Niemand kommt zur Hilfe, die Polizei braucht über eine Stunde 
„Der Vorfall 
zeigt wie real und gefährlich #Antisemitismus in Sachsen ist. Unsere Solidarität gehört den Betroffenen, der jüdischen und israelischen Community.",5,57,190
Alice Bota,@AliceBota,2021-05-09T11:15:46.000Z,"Heute ist doch mal ein guter Anlass, den Tweet von Alice Weidel hervorzuholen, der mittlerweile gelöscht ist - und auf den die russische Botschaft in Berlin denkbar elegant reagiert hat. #9mai",105,2.2K,16.3K
Daniela Kolbe,@danielakolbe,2021-05-09T09:38:20.000Z,Schön so viel Lob vom DGB-Chef zu hören!  #Kurzarbeitergeld #Kinderkrankengeld #ausRespekt #spdbpt21,,5,54
Daniela Kolbe,@danielakolbe,2021-05-09T09:25:17.000Z,"Ich freue mich, dass der erste inhaltliche Beschluss des #spdbpt21 einer ist, der die #IGMetall in ihrem Kampf für gleiche Arbeitszeiten und -löhne in Ost und West unterstützt! Starkes Signal! #ausRespekt",2,16,79
Daniela Kolbe,@danielakolbe,2021-05-09T08:55:39.000Z,Vorfreude auf #SPDBPT21! Voller inhaltlicher Klarheit und Motivation für einen vollkommen offenen Bundestagswahlkampf! Wahl der Location und Vereinbarkeit Familie und Parteitag sind schon mal top! ,1,3,26
SOKA-BAU,@SOKA_BAU,2021-05-07T07:02:34.000Z,"Abschlussdebatte: Wie sehen #Tarifparteien, #Politik und #Justiz das Thema Mitgliedervorteile? Mit Harald Schaum (
@IGBAU
), Uwe Nostitz (
@Das_Baugewerbe
),  
@WilfriedOellers
, 
@GrueneBeate
, 
@danielakolbe
 und Prof. Jürgen Treber (Bundesarbeitsgericht) #Tarifsymposium",1,4,9
Daniela Kolbe,@danielakolbe,2021-05-05T14:40:00.000Z,"Über die zwei Milliarden für das #Aufholpaket freue ich mich aus ganzem ! Viele Kinder haben durch die #Pandemie soviel aufzuholen. Klar, Schulstoff, aber eben auch: Begegnungen, Freizeit, Ferien, Begleitung, Teilhabe… und das sollen sie nachholen können! 
@spdbt",9,6,36
