User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
SPD-Fraktion im Bundestag,@spdbt,2021-05-20T13:57:35.000Z,"""'Es waren ja nur 20 Prozent der Betten mit Covid-19-Patienten belegt' - wer so daherredet, hat keine Ahnung von der Realität!“, sagt 
@dittmarsabine
 zur #noAfD. Unsere Intensivpfleger:innen und Ärzt:innen haben bis zur Erschöpfung gearbeitet, über Tage, Wochen und Monate!1:18
1.2K views",17,9,28
Sabine Dittmar,@dittmarsabine,2021-05-11T12:35:48.000Z,"Die Datenlage und die FDA-Zulassung von #BioNTech für Jugendliche ab zwölf Jahren in den USA stimmen mich zuversichtlich, dass auch wir zeitnah Jugendlichen in Deutschland eine #Impfung anbieten können und nach der erweiterten Zulassung dann auch zügig geimpft werden kann.",4,10,21
Stefan Adamski,@StefanAdamski1,2021-05-01T09:03:15.000Z,"Maikundgebung des #DGB in #Schweinfurt unter besonderen Bedingungen mit 
@dittmarsabine
 und Jan Münch von der #IGMetall. Danke an 
@turndrache
 für die Sachausstattung für den warmen Sozenfuss.",1,1,5
Sabine Dittmar,@dittmarsabine,2021-04-30T12:02:15.000Z,"#Biontech #Impfstoff für Jugendliche wäre ein wichtiger Schritt, um das Infektionsgeschehen an Schulen zu minimieren und eine Rückkehr zu einem normaleren Schulbetrieb zu ermöglichen.",,,6
Sabine Dittmar,@dittmarsabine,2021-04-28T08:59:19.000Z,"Unsere #Demokratie lebt vom Austausch unterschiedlicher Meinungen. Persönliche Anfeindungen oder gar „Todeslisten“ zu unterstützen oder zu teilen, stellt aber jederzeit und besonders in diesen schwierigen Zeiten einen  absoluten Tabubruch dar und ist verabscheuungswürdig.",7,6,32
SPD-Fraktion im Bundestag,@spdbt,2021-04-20T15:35:00.000Z,"Das verpflichtende Homeoffice ist ein wesentlicher Faktor, um Mobilität zu reduzieren, sagt 
@dittmarsabine
. Ebenso wichtig: Die Ausweitung des Testangebots für Arbeitnehmer:innen auf zwei Stück pro Woche (statt einem). ""So haben wir viel höhere Chancen, Infektionen zu entdecken.""",13,11,27
SPD-Fraktion im Bundestag,@spdbt,2021-04-16T06:41:11.000Z,"Heute verhandelt der Bundestag über die #Bundesnotbremse. Warum brauchen wir die überhaupt, 
@dittmarsabine
? #Infektionsschutzgesetz",16,9,11
Sabine Dittmar,@dittmarsabine,2021-04-03T09:19:35.000Z,"Wir sollten auf #Wissenschaft und #Intensivmediziner hören: Ein harter #Lockdown ist umgehend notwendig! #Corona macht keine Osterpause und verschont auch nicht Freunde und Familie, nur weil wir es gerne so hätten.",3,1,10
Sabine Dittmar,@dittmarsabine,2021-04-01T08:35:11.000Z,"Statt notwendigem hartem Lockdown in der 3. Welle wird weiterhin über wahnwitzige Lockerungen diskutiert. Als Medizinerin bin ich ratlos. Adieu Stufenplan -  Hallo #Corona! Gut, dass jetzt wenigstens die #Hausärzte das #Impfen anfangen können.",3,6,26
Sabine Dittmar,@dittmarsabine,2021-03-30T12:51:31.000Z,"Gut, dass in Berlin erstmal keine Personen <60 mit #AstraZ mehr geimpft werden. Mein Impfzentrum in #BadKissingen handhabt das seit letzter Woche für Frauen so. Konkrete Sicherheit geht vor abstrakter Risikoabwägung. 
Wir erwarten gebannt die neuen Erkenntnisse von #STIKO & #PEI.",3,3,10
