User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ernst Dieter Rossmann,@edrossmann,2021-05-04T11:17:53.000Z,"Die Coronakrise hat gezeigt, dass wir die Zusammenarbeit von Bund und Ländern dringend ergänzen müssen. Damit die Landesverantwortung für die Bildung erhalten bleibt, aber gestärkt wird durch eine gesamtstaatliche Mitverantwortung. Interview mit 
@JMWiarda""Neue Spielregeln für den Bildungsföderalismus""
Marode Schulen, Digitalisierung im Schneckentempo und überbordende Bürokratie: Dass es mit der deutschen Bildungspolitik nicht so weitergehen kann wie bislang, darin sind sich inzwischen fast alle...
jmwiarda.de",1,11,12
Ernst Dieter Rossmann,@edrossmann,2021-05-03T17:03:13.000Z,"Ein breites Wissens- und Bildungskapital bei den einzelnen Menschen wie in der Gesellschaft insgesamt ist unverzichtbar für die Transformationen der #MissionZukunft. Ein Essay zum neuen Buch von 
@BillGates
 bei 
@FosteringInno
 @BertelsmannStMission Zukunft: Bill Gates, die Klimakatastrophe und ein besonderes Buch - Fostering Innovation
Dr. Ernst Dieter Rossmann, MdB-SPD, Vorsitzender des Forschungsausschusses, fordert eine missionsorientierte Innovationspolitik neuen Typs.
fosteringinnovation.de",,2,4
Ernst Dieter Rossmann,@edrossmann,2021-03-25T16:23:13.000Z,"Corona-Bildungsrückstände von Kindern und Jugendlichen sind ein großes Problem. Hier brauchen wir schnell ein Unterstützungsprogramm. Außerdem: Eine Bürgerbewegung von Gutwilligen und Qualifizierten, um den Bildungsrückstand gemeinsam aufzuholen.Redebeitrag von Dr. Ernst Dieter Rossmann (SPD) am 25.03.2021 um...
Gesundheit u. Bildung für Kinder und Jugendliche
webtv.bundestag.de",1,1,1
Ernst Dieter Rossmann,@edrossmann,2021-02-12T11:30:56.000Z,"Der Bundestag hat am 11. Februar 2021 in einer Aktuellen Stunde über das Thema „Neutralität der Wissenschaft bewahren – Politischen Druck auf Forschungsinstitute verhindern“ debattiert. Meine Rede: 7 Anmerkungen zur Sache und eine Frage an die AfD.Redebeitrag von Dr. Ernst Dieter Rossmann (SPD) am 11.02.2021 um...
Aktuelle Stunde – Neutralität der Wissenschaft
webtv.bundestag.de",3,1,4
Ernst Dieter Rossmann,@edrossmann,2021-02-11T10:09:54.000Z,"Friseur*innen, Soloselbstständige und Einzelhandel stehen unter großem finanziellen Druck. Das wissen wir. Die guten Nachrichten: Ab sofort können die versprochenen Hilfen auf einem Portal des Wirtschafts- und Finanzministeriums beantragt werden: 
http://ueberbrueckungshilfe-unternehmen.de/UBH/Navigation/DE/Home/home.html…",,,
Ernst Dieter Rossmann,@edrossmann,2021-02-01T11:15:09.000Z,"Bei Bildung und Forschung hat sich in der EU einiges getan. Doch es muss nachgebessert werden. Was hat die deutsche Ratspräsidentschaft hier an Portugal und Slowenien für das Jahr 2021 an Chancen und Problemen übergeben? Mein Gastbeitrag in der 
@frTeilhabe für alle
Bei Bildung und Forschung hat sich in der EU einiges getan. Doch es muss nachgebessert werden – sonst ist die Union selbst in Gefahr. Ein Gastbeitrag.
fr.de",1,1,3
der Freitag,@derfreitag,2020-12-02T09:45:01.000Z,"Wir brauchen eine neue #Schule, die nicht desintegriert, sondern #Vielfalt wahrnimmt und als Stärke entwickelt, meinen Ernst Dieter Rossmann 
@edrossmann
 und Behrang Samsami 
@BehrangSamsami
 im #GastbeitragGastbeitrag - Gemeinsam denken
Wir brauchen eine neue Schule, die nicht desintegriert, sondern Vielfalt wahrnimmt und als Stärke entwickelt, meinen Ernst Dieter Rossmann und Behrang Samsami
freitag.de",,4,5
Ernst Dieter Rossmann,@edrossmann,2020-11-26T14:50:19.000Z,"Jetzt ist das @BMBF gefragt, die neuen Haushaltsmittel und den Schwung der #FactoryWisskomm zu nutzen: Für die Förderung von digitalen Innovationen im Wissenschaftsjournalismus, mehr Weiterbildungsangebote und neue Forschungsprojekte für gute Wissenschaftskommunikation.",,1,18
SPD Parteivorstand,@spdde,2020-11-25T14:53:02.000Z,"„Frauen haben das Recht auf ein selbstbestimmtes Leben frei von Manipulation & Gewalt. Und doch sind frauenfeindliche Kommentare im Netz an der Tagesordnung & häusliche Gewalt ist für zu viele Frauen erschütternde Realität.“
@EskenSaskia
 zum #TagGegenGewaltAnFrauen!Saskia Esken and 2 others",19,15,125
FES Bildung,@FESBildung,2020-11-25T10:50:26.000Z,"Unser Tagungsband ""Wissenschaft in Verantwortung"" ist jetzt online: https://fes.de/themenportal-bildung-arbeit-digitalisierung/artikelseite/wissenschaft-in-verantwortung…
u.a. mit Hans Christian-Pape von der 
@AvHStiftung
 im Einführungsartikel: Wissenschaft ist eine Teilmenge der Gesellschaft. Sie darf sich nicht scheuen, Teil der Auseinandersetzung zu sein.Wissenschaft in Verantwortung
Am Anfang von Wissenschaft stehen Fragen. Wissen wird geschaffen, weil es fehlt, weil Menschen angetrieben werden, Unbekanntes zu erkunden,Unklares zu klären und dann zu erklären.
fes.de",1,4,8
