User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Amira Mohamed Ali,@Amira_M_Ali,2021-05-27T17:23:24.000Z,"Die nächste Ablenkungsdebatte der Bundesregierung: Jetzt sollen ab 7. Juni Jugendliche geimpft werden, aber viele Eltern haben noch nicht mal ein Angebot bekommen. Frau #Merkel, Herr #Spahn: Deutschland hat immer noch zu wenig Impfstoff. DAS ist das zentrale Problem! #Impfgipfel",12,35,237
Klaus Ernst,@ernst_klaus,2021-05-27T09:57:46.000Z,"Grün-schwarze Koalition? #Habeck für Waffenlieferungen in Kriegsgebiete & #Röttgen fordert deutsche Gegenleistungen dafür, dass die USA sich bereit erklären, ein klein wenig mehr unsere Souveränität zu achten.
https://wirtschaft.com/roettgen-deutschland-muss-bei-nord-stream-2-auf-usa-zugehen/…
Wer von beiden hängt den USA mehr im Hintern?",5,5,24
Klaus Ernst,@ernst_klaus,2021-05-26T10:35:00.000Z,"Es ist sehr wichtig, dass die beiden Staatspräsidenten jetzt persönlich miteinander sprechen. Ich begrüße das sehr und hoffe, dass sich die gelinde gesagt ausbaufähigen Beziehungen der #USA mit #Russland verbessern werden.SZ Top-News
@SZ_TopNews
 · May 25
Gipfeltreffen USA-Russland: Im Juni wollen sich die Präsidenten #Biden und #Putin in Genf  begegnen, das erste Mal, seit der US-Amerikaner im Amt ist. Konfliktstoff gibt es jede Menge, die Beziehungen sind auf einem Tiefpunkt. Von @hubert_wetzel https://sz.de/1.5304115?utm_source=Twitter&utm_medium=twitterbot&utm_campaign=1.5304115…",,4,9
linksfraktion,@Linksfraktion,2021-05-19T13:02:00.000Z,"„Sollte der US-Präsident sich tatsächlich dazu entschlossen haben, von der unsäglichen völkerrechtswidrigen Sanktionspolitik der USA gegen Nord Stream 2 abzurücken, dann begrüße ich das sehr“, so 
@ernst_klausKeine Sanktionen gegen Nord Stream 2 wären wichtiger Schritt
„Sollte der US-Präsident sich tatsächlich dazu entschlossen haben, von der unsäglichen völkerrechtswidrigen Sanktionspolitik der USA gegen Nord Stream 2 abzurücken, dann begrüße ich das sehr“, sagt...
linksfraktion.de",4,6,21
Klaus Ernst,@ernst_klaus,2021-05-19T10:06:27.000Z,"Diese Woche sollte der Bundestag das sowieso schon verwässerte Lieferkettengesetz beraten. Kurzfristig hat die 
@cducsubt
|
@spdbt
 wieder das Gesetz von der Tagesordnung genommen. Damit unterwerfen sich die Regierenden abermals den Wünschen der Arbeitgeberverbände. 
@LieferkettenG",3,7,30
Niema Movassat,@NiemaMovassat,2021-05-19T08:56:05.000Z,"#Giffey tritt als Familienministerin zurück. In #Berlin will sie aber offenbar Spitzenkandidatin bleiben und regierende Bürgermeisterin werden. Gänzlich unlogisch. Wenn es nicht zur Ministerin reicht, kann man auch kein Bundesland regieren.",95,147,1K
Klaus Ernst,@ernst_klaus,2021-05-19T08:49:29.000Z,"Rechtsstaatlich bedenklich finde ich vielmehr, dass Herr Zander lieber fundamentale Menschenrechte missachtet, als mal ein bisschen Arbeit und Gehirnschmalz in saubere Lieferketten zu investieren. Das #Lieferkettengesetz ist überfällig!""NOZ
@noz_de
 · May 19
Der Streit um das #Lieferkettengesetz geht in die Verlängerung. Gesamtmetall-Geschäftsführer Oliver Zander hat im Interview auf @noz.de eine klare Meinung zu dem Vorhaben: https://noz.de/artikel/2309939",1,3,18
linksfraktion,@Linksfraktion,2021-05-18T13:43:53.000Z,"„Die Wirtschaftsunion hat einen neuen Angriff auf das #Lieferkettengesetz gestartet. Eigentlich sollte es Donnerstag verabschiedet werden, nun haben CDU/CSU und SPD den Entwurf wieder von der Tagesordnung des #Bundestag|es genommen.“, so 
@michel_brandt_Lieferkettengesetz verschoben – jetzt nachbessern statt verwässern
„Die Wirtschaftsunion hat einen neuen Angriff auf das Lieferkettengesetz gestartet. Nachdem das sogenannte Sorgfaltspflichtengesetz eigentlich an diesem Donnerstag verabschiedet werden sollte, haben...
linksfraktion.de",1,18,45
Amira Mohamed Ali,@Amira_M_Ali,2021-05-07T09:41:11.000Z,"Wirtschaftsminister Peter #Altmaier stimmt unserem Antrag auf Patentfreigabe der #Corona-Impfstoffe zu. ""Aus versehen"", sagt er jetzt. Ganz kurz dachte ich, es gebe in der #CDU noch Leute mit Verantwortungsgefühl. Gebt endlich die Patente frei!",41,62,487
phoenix,@phoenix_de,2021-05-06T13:30:27.000Z,".
@CvStetten
 @cducsubt
 muss sich wohl eine andere #Mitfahrgelegenheit suchen. 
@ernst_klaus
 @linksfraktion
 wird ihn nicht in seinem #Porsche mitnehmen. 
Bei der Debatte zur #VermögensAbgabe sorgt Ernst‘s Zwischenfrage für Heiterkeit. 
@dielinke
 @cdu",5,28,74
