User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Filiz Polat,@filizgreen,2021-05-28T09:07:00.000Z,"Seit 2017 kämpfe ich im #Bundestag für eine chancengerechte und rassismuskritische Einwanderungsgesellschaft. Auf dem Weg zur Gesellschaft der Vielen sind wir noch am Anfang. Lasst uns zusammen für Mehrheiten streiten und #VielfaltGestalten. Grün macht den Unterschied! #ldknds2:18
1.6K views",5,10,82
Filiz Polat,@filizgreen,2021-05-29T11:09:57.000Z,"Tausend Dank! Ich freue mich als Spitzenkandidatin zusammen mit 
@sven_kindler
 für 
@gruenelvnds
 in den Bundestagswahlkampf zu ziehen. Klimagerechtigkeit, die Verkehrswende und eine Gesellschaft der Vielen. Dafür stehen wir, dafür kämpfen wir! #Allesistdrin #ldknds",19,14,164
Filiz Polat,@filizgreen,2021-05-27T18:18:29.000Z,"Wie gestalten wir die Gesellschaft der Vielen, wie lösen wir das  Versprechen einer pluralen Demokratie ein? Das habe ich mit Claudia Roth, 
@BelitOnay
 und 
@EvrimCamuz
 diskutiert. Schaut rein. #VielfaltGestaltenVielfältig demokratisch – Wie gestalten wir die Gesellschaft der Vielen vor Ort?
In Deutschland, in Niedersachsen, in Hannover leben viele unterschiedliche Menschen mit diversen Perspektiven, Geschichten, Erfahrungen und Identitäten zusammen. Doch nach wie vor ist diese Diversi...
filiz-polat.de",1,1,7
Filiz Polat,@filizgreen,2021-05-27T14:13:54.000Z,"Wirksame Antidiskriminierungspolitik muss vor Diskriminierung schützen, Gleichstellung gezielt vorantreiben und proaktiv fördern, damit das Versprechen von Freiheit, Gleichheit und Geschwisterlichkeit für jede*n gelten kann. Mehr dazu hier:Gesellschaftliche Vielfalt via Grundgesetz?
Für einen aktiven Schutzauftrag gegen Diskriminierung in Artikel 3 GGNichtdiskriminierung ist eine zentrale Grundlage unseres Staates. Die grüne Bundestagsfr...
youtube.com",,2,6
Filiz Polat,@filizgreen,2021-05-26T14:41:52.000Z,Am 26. Mai 1993 wurde mit dem #Asylkompromiss das im Grundgesetz verbriefte Grundrecht auf Asyl eingeschränkt. Geben wir im Sinne von Navid Kermani dem #Grundgesetz seine Würde wieder.,1,2,8
Filiz Polat,@filizgreen,2021-05-21T14:28:10.000Z,Wir wollen ein #Landesantidiskriminierungsgesetz für Niedersachen und euch in den Prozess einbinden. Diskutiert mit uns am kommenden Mittwoch. Hier gehts zur Anmeldung: https://facebook.com/events/236608838236617/…Djenabou and 2 others,,5,13
Filiz Polat,@filizgreen,2021-05-21T08:21:01.000Z,#Wirlassenunsnichttrennen - Mit diesem Aufruf wenden sich jüdische und muslimische Organisationen aus Deutschland gegen jede Art von #Antisemitismus und antimuslimischem #Rassismus.JSUD - Jüdische Studierendenunion Deutschland and 3 others,,2,14
phoenix,@phoenix_de,2021-05-20T07:51:30.000Z,"Nicht jeder Migrant ist antisemitisch, betont Filiz Polat 
@filizgreen
 Sprecherin für #Migration- und #Integration|spolitik 
@GrueneBundestag
. Es müsse differenziert analysiert werden, in welchen Gruppen #Antisemitismus stattfindet, um Strategien zur Bekämpfung zu entwickeln.",37,7,32
Filiz Polat,@filizgreen,2021-05-19T16:50:00.000Z,"Recherche von 
@ndr
 + 
@BR_kontrovers
 zeigt: Zwar hätten die großen Firmen die Leiharbeitenden in der #Fleischindustrie inzwischen übernommen und festangestellt, die alten Strukturen würden aber immer noch vorherrschen. Wir brauchen endlich faire Bedingungen!Fleischindustrie: Neue Gesetze bringen kaum Besserung
Die großen Firmen haben zwar die Arbeitenden übernommen und fest angestellt, aber auch viele der oft umstrittenen Subunternehmer.
ndr.de",,4,9
Filiz Polat,@filizgreen,2021-05-19T15:15:38.000Z,"Auch aus Bramsche mussten Jüdinnen und Juden vor den Nationalsozialisten fliehen. Es ist unsere Aufgabe, daran zu erinnern. Ein #Stolperstein wäre ein kleines aber wichtiges Zeichen. #NieWieder 
@JusosBramscheGibt es doch noch einen ""Stolperstein"" in Bramsche?
Mit einem ""Stolperstein"" soll der jüdischen Familie Voss gedacht werden, die 1937 von Bramsche nach Argentinien auswanderte. Diesen Vorschlag macht die Juso-Arbeitsgemeinschaft Bramsche. Die Erfolg...
noz.de",,,4
