User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Friesen Junge,@FJunge,2021-05-29T05:10:47.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-28T06:37:24.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-26T18:40:20.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-25T11:14:15.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-24T07:48:43.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-23T17:46:10.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-22T18:43:06.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-21T07:32:21.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-20T14:05:40.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-19T11:39:30.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-18T05:36:53.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
Friesen Junge,@FJunge,2021-05-11T18:28:04.000Z,"ich bin dann mal live!Friesen_Junge - Twitch
Moin ich bin der Friesen Junge bin 45 jahre alt und wohne hinterm Deich
twitch.tv",,,
