User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Karl-Heinz Paqué,@KH_Paque,2021-05-19T18:32:12.000Z,"Interessant! 
@fdp
-Ablehnung von Steuererhöhungen wird bei ⁦
@civey_de
⁩-Umfrage des ⁦
@derspiegel
⁩ von Mehrheit der (1) Wähler insgesamt, (2) #cdu-Anhänger, (3) jungen Menschen begrüßt. ⁦⁦
@Wissing
⁩ ⁦
@MarcoBuschmann
 ⁦
@christianduerrUmfrage: Mehrheit begrüßt Lindners Nein zu Steuererhöhungen
Die FDP kommt laut einer SPIEGEL-Umfrage immer dichter an die SPD heran. Mit seiner Absage an Steuererhöhungen punktet Christian Lindner vor allem bei konservativen Wählern – und bei jungen Menschen.
spiegel.de",12,19,267
Lukas Köhler,@koehler_fdp,2021-05-14T10:31:42.000Z,"Mehr Verachtung für die Wirtschaft geht nicht: 17 Stunden hatten Verbände Zeit, sich zum #Klimaschutzgesetz zu äußern - beginnend ab 22 Uhr. Ehrlicher wäre gewesen, wenn #CDU, #CSU und #SPD sich und allen Beteiligten diese peinliche Farce gleich ganz erspart hätten.",4,29,169
FDP,@fdp,2021-05-14T15:57:40.000Z,"Das Ergebnis steht fest: Herzlichen Glückwunsch an 
@LydiaHueskens
 von der 
@FDP_LSA
, die mit 89 Prozent zum Beisitzer im Präsidium gewählt wurde. #bpt21 #VielZuTun #EinLandFährtHoch",1,9,53
FDP,@fdp,2021-05-14T10:55:00.000Z,"Im Zentrum unserer #Sozialpolitik steht jede und jeder Einzelne. Jeder soll Autor der eigenen Biografie sein können und dabei möchten wir die Menschen unterstützen, so 
@c_lindner
. #bpt21 #VielZuTun",11,12,88
FDP,@fdp,2021-05-13T10:11:36.000Z,"Die gute Nachricht ist: Es muss auch nicht so bleiben. Alles kann besser werden. Nichts ist Schicksal. Wir haben es selbst in der Hand. Das ist unsere Mission: Nie gab es mehr zu tun! 
Am Freitag unseren Parteitag #bpt21 ab 11 Uhr auf http://fdp.de/live verfolgen. #vielzutun",9,35,163
Christian Lindner,@c_lindner,2021-05-11T08:06:17.000Z,"Bei #Öffnungsschritten darf nicht nur die #Inzidenz eine Rolle spielen. Wir müssen auch andere Kennziffern einbeziehen - zum Beispiel die Auslastung der Krankenhäuser, die Quote der positiven Tests oder die #Impfquote. (1/3)",286,89,731
Marco Buschmann,@MarcoBuschmann,2021-05-07T07:28:04.000Z,"Gestern stellte der grüne Kollege Stefan Schmidt klar: Die Grünen sind für eine Vermögenssteuer: „Dazu bekennen wir uns.“ Vermögenssteuern erfassen Betriebsvermögen. Das sollten Gründer, Start-Ups und Mittelständler wissen. Wichtiger als Debatten über Slogans!",30,97,625
FDP,@fdp,2021-05-07T18:01:33.000Z,"#SeiDabei: Viel Spaß bei Politik und Gaming mit  
@koehler_fdp
 und 
@LiGa_Allianz
  Jetzt einschaltenLiberale Gaming Allianz
@LiGa_Allianz
 · May 7
Gleich gehts los mit @koehler_fdp und Civilization 6. Thema Klimawandel! Passend zum Addon ""Gathering Storm"" und Friday!
http://twitch.tv/liberalegamingallianz…",1,4,24
Marco Buschmann,@MarcoBuschmann,2021-04-23T06:53:01.000Z,"Die offene Gesellschaft braucht kritische Künstlerinnen und Künstler. Eine kritische Auseinandersetzung mit dem Mittel offenkundiger Ironie gehört zur Demokratie. Das muss man aushalten - egal welcher Meinung man in der Sache ist. #allesdichtmachenJan Josef Liefers
@JanJosefLiefers
 · Apr 23
1/4 Klartext. Ich setze mich kritisch mit den Entscheidungen meiner Regierung zu SarsCoV2 und Covid 19 auseinander. Besonders wegen der in Kauf genommenen Verluste in Kultur und Kunst und der Veranstaltungsbranche. Auch im jüngsten Video, das ein ironischer Kommentar
Show this thread",149,299,2.2K
Christian Lindner,@c_lindner,2021-04-22T21:29:38.000Z,"Führt das neue #Infektionsschutzgesetz wirklich zu einem totalen #Nachtreiseverbot in Deutschland? War das beabsichtigt oder ist das nur ein Fehler? Die Bundesregierung muss schnell Klarheit schaffen, sonst drohen Chaos und Vertrauensverlust. CLBILD
@BILD
 · Apr 22
Heimlich mit Einsperr-Gesetz verabschiedet - Totales Nachtreiseverbot für Deutschland https://bild.de/bild-plus/politik/inland/politik-inland/heimlich-mit-einsperr-gesetz-verabschiedet-totales-nachtreiseverbot-fuer-deutsch-76162556.bild.html…",250,106,662
