User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Prof. Harald Weyel,@h_weyel,2021-01-25T13:21:46.000Z,BT-Direktkandidat des Rheinisch-Bergischen Kreises... https://instagram.com/p/CKeC3zKA81x/?igshid=jm4lotvy2pg9…,4,11,22
Prof. Harald Weyel,@h_weyel,2021-05-28T11:38:07.000Z,"Bei mir erstmals vor 3 Jahren!Joana Cotar
@JoanaCotar
 · May 28
Kontokündigungen - schon lange gang und gäbe bei #AfD-Politikern. Jetzt auch bei kritischen Journalisten. Im besten Deutschland, das es jemals gegeben hat..... #Reitschuster 

https://the-germanz.de/ohne-begruendung-zwei-banken-kuendigen-reitschusters-konten/…",1,10,23
Prof. Harald Weyel,@h_weyel,2021-05-27T17:48:51.000Z,"Und jetzt mal „rein wirtschaftlich“ betrachtet: Hat der nicht auch die chinesische Stahlindustrie in die Bronzezeit  (zurück)geführt – ist dabei also quasi Vorläufer der Grün*innen???Sven W. Tritschler
@twittschler
 · May 27
""Mao hatte echten Weitblick!""
Nein, es ist nicht das Chinesische Staats-TV, sondern der Westdeutsche #Rotfunk , der hier den Massenmörder #Mao (70 Millionen Tote!) feiert. 
Da zahlt man doch gern ""#Demokratieabgabe"".  #WDR
@argonerd
@WDR
#Staatsfunk #freegeorgthiel",1,18,41
Prof. Harald Weyel,@h_weyel,2021-05-27T08:43:31.000Z,"Egal bei welchem Thema: Nur geistiges Räuberschach mit ignorieren elementarster Zusammenhänge...¯\_(ツ)_/¯
@BB12_DE
 · May 27
Die Kanzlerkandidatin der #Grünen, #Baerbock, will für die Grundlast auf #Biomasse setzen. Aber auch das ist ein Holzweg. Biomasse ist nicht nur klimaschädlich sondern auch sehr flächenintensiv. Außerdem benötigen wir den Boden zur Ernährung der Menschen!

#Energiewende",1,30,67
Jochen Lobstedt,@LobstedtJochen,2021-05-26T11:49:43.000Z,"Eine lesbische Frau, die eine Migrantin als Lebensgefährtin und schon Flüchtlinge bei sich Zuhause aufgenommen hat, ist gemeinsam mit einem bodenständigen Handwerkermeister das Spitzenduo der #AfD. Die Medien machen daraus: Der Flügel hat gewonnen, AfD rückt nach rechts.AfD_Muenster and 2 others",31,233,586
"Jörg Schneider, MdB",@Schneider_AfD,2021-05-26T19:57:16.000Z,"Trefft die Bundestagsfraktion in #Gelsenkirchen!
 
29.05.2021, 12 bis 14 Uhr! Mit 
@KayGottschalk1
, Martin E. 
@Renner_AfD
 & mir (""Impfen muss freiwillig bleiben!"")

#AfD #LandesgruppeNRW #NRWLandesgruppe #AfDLandesgruppe #Bundestag https://facebook.com/JoergSchneiderMdB/posts/5436512533086280… https://twitter.com/Renner_AfD/status/1397231519308173317…AfD-Fraktion im Deutschen Bundestag  and 9 others
Martin E. Renner, MdB
@Renner_AfD
 · May 25
Demokratie zurück auf die Marktplätze. Dafür ist Politik da – und da gehört sie hin. Wir sehen uns auf dem Heinrich-König-Platz in #Gelsenkirchen am 29. Mai 2021, 12-14 Uhr.
Eine Veranstaltung der Bundestags-Fraktion
der „Alternative für Deutschland“. ",,76,116
Muenster_BMW-R1200RT,@MR1200rt,2021-05-23T13:33:12.000Z,"Replying to 
@AfD_Muenster
 @BjoernHoecke
 and 9 othersDieser pure Willkürakt eines zutiefst übergriffigen Staates lässt deutlich erkennen, das wir uns nicht mehr auf die Einhaltung rechtsstaatlicher Grundsätze verlassen können.
Jedem muss jetzt klar geworden sein, dass die Alternative für Deutschland die einzig wählbare Partei ist.",6,121,221
Prof. Harald Weyel,@h_weyel,2021-05-21T07:53:56.000Z,"Leute: Fliegt was das Zeug hält – und wählt gefälligst die Richtigen!!! #btw #btw21 #BTW2021 #BTWD2021 #btw #AfDtagesschau
@tagesschau
 · May 18
Eurowings will mit Urlaubsflügen aus der Krise kommen http://tagesschau.de/wirtschaft/unternehmen/reiseziele-flugreisen-sommerurlaub-101.html… #Eurowings #Urlaubsflüge #Flugreisen #Luftfahrt #Reisebranche",1,5,19
Prof. Harald Weyel,@h_weyel,2021-05-20T18:03:20.000Z,"Auf Kosten von uns allen natürlich: Provinzielle Großmannssucht der nicht nur körperlich „zu klein Geratenen“???AfDFilme
@AfDFilme
 · May 20
Replying to @Alice_Weidel
Teenie auf dem Weg nach Mars.. Maas.. Malle..äh..Ramalle.. Ramallah (arabisch رام الله , DMG Rām Allāh; Stadt in den Palästinensischen Autonomiegebieten im Westjordanland. Unfassbar, dass das kleine Heiko den Antisemiten auch noch die Ehre erweist. Peinlicher #Außenminister. #SPD",2,2,16
Prof. Harald Weyel,@h_weyel,2021-05-19T11:57:36.000Z,"Es ist der fiskalausbeuterische, blöddeutsche Sozialstaatsschwabbelschwamm, der diese asoziale Sogwirkung hat! Zum Nachteil aller ehrlichen Leute des In- und Auslands, die ihm zum genasführten Opfer fallen!Ceuta: Hunderte Flüchtlinge aus Marokko wieder abgeschoben
Rund 6000 Migranten haben bis Dienstag von Marokko aus die spanische Nordafrika-Exklave Ceuta erreicht. Die meisten Menschen sind geschwommen! Hunderte sind inzwischen wieder abgeschoben. Alles über...
bild.de",3,12,31
Prof. Harald Weyel,@h_weyel,2021-05-19T07:39:24.000Z,"So sei es!!!Boris Reitschuster
@reitschuster
 · May 18
Der Wind in Sachen Corona dreht sich, das zeigt ein Blick in die USA. Für die Coronagenießer und Mitläufer des Pandemie-Regimes wird völlig überraschend eine Blase platzen, eine Welt zusammenbrechen. Doch die Corona-Vergangenheitsbewältigung wird beginnen. https://reitschuster.de/post/die-corona-vergangenheitsbewaeltigung-wird-kommen-und-viele-kalt-ueberraschen/…",1,5,15
Prof. Harald Weyel,@h_weyel,2021-05-18T17:02:49.000Z,"Irres, billiges und evidenzloses Geschwätz! Widerlegt durch Jahrzehnte der Empirie! https://twitter.com/mephistomann/status/1374147587524194312…This Tweet is unavailable.",1,4,4
Prof. Harald Weyel,@h_weyel,2021-05-17T11:53:15.000Z,As simple as that... https://instagram.com/p/CO-RxbQNGud/?igshid=bp4el5t3d96g…,1,,1
Prof. Harald Weyel,@h_weyel,2021-05-17T07:06:18.000Z,Weiß auch nicht welcher Spaßvogel das fabriziert hat... https://instagram.com/p/CO9w7yLtjRK/?igshid=1s0p67c8dromq…,1,,1
