User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Dr. Roland Philippi,@PhilippiRoland,2021-05-27T17:51:06.000Z,"Wieso erst ab dem 21.6. Präsenzunterricht, 
@Markus_Soeder
? Es müsste lange schon für sicheren Unterricht alles möglich sein: Testen, Hygienekonzepte, Luftfilter, etc. Das sind weitere Wochen Chancen-Entzug für die Jüngsten. Dabei tragen sie die größte Last in der Pandemie.Markus Söder
@Markus_Soeder
 · May 27
Schul-Fahrplan in Bayern nach Pfingsten: Wir machen noch zwei Wochen Wechselunterricht und dann ab 21. Juni vollständigen Präsenzunterricht, wo die Inzidenz unter 100 liegt. Das ist eine gute Perspektive. Die Schüler sollen gut in den Schulalltag zurückkehren.
Show this thread",1,7,26
BILD,@BILD,2021-05-27T12:14:27.000Z,"Schausteller schlagen Alarm - „Uns hat die Politik vergessen!“Schausteller schlagen Alarm - „Uns hat die Politik vergessen!“
Die Corona-Infektionszahlen SINKEN, die Gastronomie macht behutsam wieder auf. Doch eine Branche fühlt sich vergessen! 
bild.de",2,8,12
ReporterohneGrenzen,@ReporterOG,2021-05-27T11:58:51.000Z,"Die Redaktion von 
@GMX
 und 
@WEBDENews
 nimmt als erstes großes deutsches Medienhaus an der Journalism Trust Initiative teil.",,7,14
ReporterohneGrenzen,@ReporterOG,2021-05-27T11:58:50.000Z,"Im Rahmen der #JournalismTrustInitiative haben wir eine Plattform freigeschaltet, die vertrauenswürdige Nachrichtenquellen identifizieren & stärken soll. Mithilfe eines Online-Tools kann die Arbeitsweise von Medien überprüft & transparent gemacht werden. https://reporter-ohne-grenzen.de/pressemitteilungen/meldung/journalism-trust-initiative-schaltet-online-transparenz-tool-frei…",3,15,25
WerteInitiative. jüdisch-deutsche Positionen,@WerteInitiative,2021-05-27T07:04:28.000Z,"Treffen mit Thomas Hacker (
@hacker_fdp
), 
@fdpbt
.
Auch Herr Hacker sieht dringenden Handlungsbedarf: „Gegen Hate Speech müssen wir mit aller Entschiedenheit vorgehen (...)""Treffen mit Thomas Hacker, FDP
werteinitiative.de",,4,8
Bayreuther Tagblatt,@bt_tagblatt,2021-05-27T05:41:39.000Z,"Deutlich gesunken ist die Sieben-Tage-Inzidenz erneut im Landkreis BayreuthCorona Bayreuth: Inzidenz nochmals halbiert - Grenzwert von 35 in Stadt und Landkreis deutlich...
Aktuelle Zahlen und Informationen zum Coronavirus in Bayreuth: So ist die Corona-Lage in Stadt und Landkreis.
bayreuther-tagblatt.de",,1,
BR - Kultur,@BR_Kultur,2021-05-25T14:18:02.000Z,"John Davis, einer der tatsächlichen Sänger von Milli Vanilli, ist an Corona gestorben. Noch an Weihnachten hatte er sich musikalisch bei den Beschäftigten des Nürnberger Klinikums für deren Einsatzbereitschaft bedankt:Milli-Vanilli-Sänger John Davis an Corona gestorben
Noch an Weihnachten hatte er sich musikalisch bei den Beschäftigten des Nürnberger Klinikums für deren Einsatzbereitschaft bedankt. Auch bei den BR-Sternstunden war John Davis engagiert. Jetzt ist...
br.de",2,18,21
Stadt Bayreuth,@bayreuth_de,2021-05-25T14:12:26.000Z,"Teile des Nationalarchivs der Wagner-Stiftung online zugänglich https://bayreuth.de/teile-des-nationalarchivs-der-wagner-stiftung-online-zugaenglich/… #bayreuthTeile des Nationalarchivs der Wagner-Stiftung online zugänglich - Bayreuth.de
Das Nationalarchiv der Richard-Wagner-Stiftung, der zentrale Ort der internationalen Wagnerforschung, hat in diesen Tagen eine bedeutende digitale Weiterentwicklung erfahren.
bayreuth.de",,1,3
BR_Franken,@BR_Franken,2021-05-25T11:59:04.000Z,Deutscher Waldpreis 2021: Zwei unterfränkische Förster nominiert http://dlvr.it/S0N3Lj #franken,,2,3
Botschaft Israel,@IsraelinGermany,2021-05-25T08:10:36.000Z,"So sieht Kindesmissbrauch aus. 

Der Chef der #Hamas in #Gaza, Yahya Sinwar, ""feiert"" den Sieg der Terrororganisation mit einem als Terrorist verkleideten Kind.

Welche Zukunft haben die Kinder von Gaza, die in solch einer hass- und gewaltverherrlichenden Diktatur aufwachsen?وائل أبو عمر #غزة
@WaelAboOmer
 · May 25
القائد ابو ابراهيم السنوار يقبل رأس الشاب عبد العزيز ابن الشهيد القائد جمال الزبدة من على منصة حفل تكريم الشهداء بغزة 

اخلاق الكبار
Show this thread",45,155,447
