User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Johannes Vogel,@johannesvogel,2021-05-14T15:29:04.000Z,"Es ist mir eine Ehre, Euer neuer stellvertretender Bundesvorsitzender zu sein, liebe 
@fdp
! So viel zu tun, so viele Chancen – ich freue mich darauf!  #bpt21",183,60,1.6K
Christian Lindner,@c_lindner,2021-05-28T09:20:28.000Z,Die Bereitschaft von #Bundespräsident #Steinmeier zu einer zweiten Amtszeit sehe ich mit Respekt und Sympathie. Er hat sich um den Zusammenhalt in unserem Land verdient gemacht. Angesichts der anstehenden politischen Veränderungen wäre Kontinuität an der Staatsspitze ratsam. CL,1.2K,292,2.2K
Johannes Vogel,@johannesvogel,2021-05-27T13:50:32.000Z,"Freu mich auf Euch, 
@LydiaHueskens
 & 
@FDP_LSA
! FDP Sachsen-Anhalt
@FDP_LSA
 · May 27
Heute, 18:30: Homeoffice und mobiles Arbeiten sind  ein Thema, das schon fast die Hälfte der Erwerbstätigen betrifft. Zeit, die Regeln für die Arbeitswelt zu modernisieren! - @lydiahueskens im Gespräch mit @johannesvogel, stv. FDP-Bundesvorsitzender 
https://facebook.com/events/489679352082542/…",1,5,73
Institut für Mitbestimmung und Unternehmensführung,@ZukunftMB,2021-05-26T11:00:02.000Z,"Wir feiern 70 Jahre #Montanmitbestimmung & schauen in die Zukunft der #Mitbestimmung. #Veranstaltung 
@dgb_news
 @boeckler_de
 @NicolasSchmitEU
 #Digitalrat der Bundesregierung 
@Oxfam_DE
 @OlafScholz
 @ArminLaschet
 @SusanneHennig
 @ToniHofreiter
 @johannesvogel
 

https://boeckler.de/de/aktuelle-veranstaltungen-2718-mitbestimmung-sichert-zukunft-32859.htm…",,5,7
Ralf Fuecks,@fuecks,2021-05-24T20:36:18.000Z,"Auch das ist Kindesmissbrauch. #HamasJonathan Schanzer
@JSchanzer
 · May 24
Deeply disturbing image. Hamas leader Yahya Sinwar emerged from his bunker for this photo op.
Show this thread",25,78,555
Alexander Lambsdorff,@Lambsdorff,2021-05-23T14:54:54.000Z,".
@AliceBota
 hat recht: Es handelt sich um #Flugzeugentführung, nicht um eine „Umleitung.“ #Lukashenko ist somit ein internationaler #Krimineller, der mit #Haftbefehl belegt werden muss. #Landeverbot für #Belavia in #EU muss folgen. #Belarus #Ryanair 
@AuswaertigesAmtAlice Bota
@AliceBota
 · May 23
Wahnsinn. Das ist eine internationale, staatlich durchgeführte Entführung eine Aktivisten und Bloggers. Absolut schockierend. 

Ein Präzedenzfall. twitter.com/Den_2042/statu…
Show this thread",123,352,1.7K
Johannes Vogel,@johannesvogel,2021-05-21T12:33:10.000Z,"Ich bin es echt satt. „Ach, mit Antisemitismus oder Rassismus haben wir doch echt kein Problem.“ DOCH, haben wir - auch das ist ein ekliges Beispiel für Diskriminierungen, denen Menschen ausgesetzt sind. Um das zu ändern, müssen wir es zuerst anerkennen!Bremer Baugesellschaft: Wohnungen nur für Weiße?
Eine städtische Bremer Baugesellschaft hält Menschen mit Migrationshintergrund offenbar gezielt von Wohnungen fern. Das zeigen Recherchen von Radio Bremen und Panorama. Die Unternehmensleitung will...
tagesschau.de",20,22,273
Prof. Julius Reiter,@julius_reiter,2021-05-21T06:59:32.000Z,"""Ich begreife nicht, weshalb Sie bei einem Video aus dem Umfeld der Antifa auf einer solchen Kritik bestehen, aber wenn es um Inhalte eines rechtsextremen Blogs wie «Journalistenwatch» geht, teilen Sie diesen einfach auf Twitter."" 
@KonstantinKuhle
 bringt es auf den Punkt Konstantin Kuhle
@KonstantinKuhle
 · May 21
Ich finde, dass Hans-Georg Maaßen kein gewöhnlicher Bundestagskandidat ist, dass seine Sicht auf rechtsextreme Inhalte unprofessionell ist und dass er antisemitische Codes verbreitet – und ich habe mit ihm darüber gesprochen ⁦⁦@MarcFelixSerrao⁩  https://nzz.ch/international/maassen-trifft-kuhle-ein-streitgespraech-ld.1626311…",1,3,26
Johannes Vogel,@johannesvogel,2021-05-21T08:52:38.000Z,"Eine weitere Studie unterstreicht: Einwanderungsland & offene Gesellschaft, Marktwirtschaft & Unternehmertum – genau das macht uns stark! Und wir können in der Organisation und Ergreifung der Chancen noch viel besser werden - Vorbild , ,  und Co!Wachstum durch Zuwanderung – Deutschland verpasst die Wohlstands-Chance - WELT
Die Angst vor Migration ist nach wie vor verbreitet. Dabei profitieren Länder mit richtiger Zuwanderung enorm. Wie groß das Potenzial ist, zeigt eine aktuelle Studie. Verglichen mit Nationen wie...
welt.de",10,22,212
Konstantin Kuhle,@KonstantinKuhle,2021-05-20T18:22:13.000Z,"„Ich stehe hier auch als Sohn einer muslimischen Familie. Lassen wir nicht zu, dass dieser Konflikt entlang von Religionslinien ausgetragen wird.“ 
@cem_oezdemir",21,60,809
Johannes Vogel,@johannesvogel,2021-05-20T18:08:13.000Z,"Solidaritätskundgebung für Israel & alle Opfer des Raketenterrors der Hamas am Brandenburger Tor. Alle demokratische Parteien müssen geschlossen gegen Antisemitismus stehen. Und als Bürger müssen wir es auch tun, alle! Dank, 
@c_lindner
, 
@PaulZiemiak
 @cem_oezdemir
 & 
@OlafScholz
!",10,9,172
wenig Worte,@wenig_worte,2021-05-19T20:18:16.000Z,"""Wenn aber hier Frau v. Storch und vor allem die Herren, im Kontext von Transgender von Schweinen und Kühen sprechen, ... und das im Namen des deutschen Volkes, ich wehre mich dagegen und ertrage es auch nicht länger.""

Danke Frau 
@MAStrackZi
 
#Bundestag #Selbstbestimmungsgesetz1:40
154.8K views",104,1.3K,6.3K
Johannes Vogel,@johannesvogel,2021-05-20T16:49:26.000Z,"Die Krise hat gezeigt: Union & SPD behandeln Selbstständige als Erwerbstätige zweiter Klasse. Diese Farce setzt dem ganzen die Krone auf. Man möchte nicht mal normale parlamentarische Beteiligungsprozesse ermöglichen. Bessere Statusfeststellung ist überfällig! 
@VGSDeV
 @cathibrunsKontist Stiftung für Citizen Entrepreneurship e.V.
@KontistStiftung
 · May 20
Gemeinsam mit 32 anderen Verbänden stellen wir uns mit einem Protestbrief an Minister @hubertus_heil et al gegen die klammheimliche Verschlimmbesserung des Statusfeststellungsverfahrens... (1/2) twitter.com/cathibruns/sta…
Show this thread",2,7,64
Benjamin Strasser,@bstrasser,2021-05-20T07:55:00.000Z,"Danke, dass Du deine Erlebnisse mit uns teilst, Ruben! Ruben Gerczikow
@RubenGerczi
 · May 20
Ich bin 24 Jahre alt, ich bin #Jude, ich habe mein Judentum nie verheimlicht, habe/hatte politische Ämter inne, stehe teils im medialen Interesse und habe in meinem Leben sehr oft #Antisemitismus erfahren. Ein Thread 1/15
Show this thread",,7,61
Lara Fritzsche,@larafritzsche,2021-05-19T20:07:40.000Z,"Das ist bitter: Bundestag hält am Transsexuellengesetz von vor 40 Jahren fest. Größtenteils Nicht-Betroffene verweigern Betroffenen Rechte, die sie selber haben. Begründung: Grad der Selbstbestimmung gehe „weit über das Ziel hinaus“. Meine Solidarität allen, die darunter leiden!",52,845,6.1K
Johannes Vogel,@johannesvogel,2021-05-19T18:53:32.000Z,"Tja! DER SPIEGEL
@derspiegel
 · May 19
Die FDP kommt laut einer SPIEGEL-Umfrage immer dichter an die SPD heran. Mit seiner Absage an Steuererhöhungen punktet Christian Lindner vor allem bei konservativen Wählern – und bei jungen Menschen. https://spiegel.de/politik/deutschland/mehrheit-begruesst-nein-zu-steuererhoehungen-von-fdp-chef-christian-lindner-umfrage-a-5d4e3403-4721-4ee9-97eb-2ed2815672c2?utm_source=dlvr.it&utm_medium=%5Bfacebook%5D&utm_campaign=%5Bspontop%5D#ref=rss…",40,28,518
Johannes Vogel,@johannesvogel,2021-05-19T12:44:36.000Z,"Ermüdend leider, wie die Bundesregierung beim Impfen verlässlich zu spät dran ist. Jetzt wird der digitaler Impfpass vertrödelt.
Wer hätte auch ahnen können, dass der im Sommer 2021 relevant wird?  
@ntvde_Politik",18,21,167
Jens Brandenburg,@JBrandenburgFDP,2021-05-19T08:28:39.000Z,"Wer montags mit der Regenbogenflagge wirbt, sollte der Community nicht mittwochs schon wieder in den Rücken fallen. Seit fast zwei Jahren liegt der Gesetzentwurf zur Änderung von #Artikel3 GG von 
@fdpbt
, 
@GrueneBundestag
 & 
@Linksfraktion
 zur Beratung vor. #GrundgesetzfürAlle ",3,46,290
Mareile,@Hoellenaufsicht,2021-05-17T10:29:50.000Z,"Mit großem Dank an 
@swen
 fürs Kontakt aufnehmen, Zuhören und Schreiben. 

Gerne RT. Mareile wird auf Twitter übel attackiert: ""So etwas passiert einem Mann einfach nicht""
Sie ist eine Frau mit großer digitaler Reichweite – und wird seit Monaten online angegriffen. Im Interview spricht Mareile I. (@hoellenaufsicht) über ihre Erlebnisse.
stern.de",107,604,2.4K
Johannes Vogel,@johannesvogel,2021-05-17T12:50:05.000Z,"Flagge zeigen. Schön und gut! Noch besser wäre aber: 

Blutspendeverbot abschaffen

 Modernes Selbstbestimmungsrecht  

 Sexuelle Identität in Art. 3 GG aufnehmen 

Damit es nicht bei einem Lippenbekenntnis bleibt. #IDAHOBIT2021 Paul Ziemiak
@PaulZiemiak
 · May 17
Vor dem Adenauerhaus weht heute die Regenbogenfahne. Vor 31 Jahren hat die WHO erklärt, dass Homosexualität keine Krankheit ist.
Show this thread",14,40,401
Johannes Vogel,@johannesvogel,2021-05-17T12:05:34.000Z,"(Junge) Menschen wissen es, wenn ihr Nachname bei Bewerbungen eine Rolle spielt. Sie wissen es, wenn sie vom Schüler-Minijob nur einen Bruchteil behalten dürfen, weil die Eltern Hartz IV beziehen. Das macht etwas aus in den Köpfen. Und das müssen wir endlich ändern!",7,41,321
Johannes Vogel,@johannesvogel,2021-05-17T09:00:11.000Z,"""Die beiden wichtigsten Deutschen des Jahrzehnts heißen Özlem Türeci und Uğur Şahin. Ihr Beispiel zeigt, welchen fundamentalen Unterschied das Talent einzelner machen kann."" Meine Vorstellungsrede beim #bpt21 ist online!  https://youtube.com/watch?v=8rixJDwVrlo&t=1s…",12,6,173
Deutschlandfunk,@DLF,2021-05-17T05:58:50.000Z,"“Wenn man als einzige Kraft im absoluten Hochsteuerland Deutschland sagt, es ist keine gute Idee, die kleinen und mittleren Einkommen und die Unternehmen so stark zu belasten, macht das nur deutlich, wie notwendig diese Position ist”, so 
@johannesvogel
 (
@FDP
) im Deutschlandfunk.",20,22,225
