User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Josef Oster,@josefoster,2021-05-26T18:37:18.000Z,"Die #Bundeswehr steht vor Veränderungen und die „Eckpunkte für die Bundeswehr der Zukunft“ von 
@akk
 werden auch in #Koblenz diskutiert. Dazu habe ich mich heute mit der Präsidentin des BAAINBw, Gabriele Korb, ausgetauscht. 
@bundeswehrInfo
 @BaainBw
 @ga13_ko",2,1,7
Marian Wendt,@MdbWendt,2021-05-22T08:49:51.000Z,"Die Gleichmacherei a la SPD: Wir sind alle gleich, nur manche sind gleicher.Argo Nerd
@argonerd
 · May 21",5,59,239
Josef Oster,@josefoster,2021-05-21T08:19:01.000Z,"Wir bringen den #Personalausweis auf das #smartphone. Das haben wir heute im #Bundestag beschlossen. Ein wichtiger Schritt. Gut, dass wir auch im Pass- und Ausweiswesen noch digitaler werden.
@cducsubt
 @BMI_Bund",,,8
Josef Oster,@josefoster,2021-04-21T15:13:45.000Z,"Heute haben wir über das #Infektionsschutzgesetz abgestimmt. Wir brauchen einheitliche Regelungen. Dennoch sehe ich die #Ausgangsbeschraenkungen sehr kritisch. Ich habe dem Gesetz zugestimmt, zugleich aber meine Bedenken schriftlich zu Protokoll gegeben.#Bundestag #CDUCSU",2,,
Josef Oster,@josefoster,2021-04-19T09:01:05.000Z,"Diese Woche stimmen wir über die Reform des #Infektionsschutzgesetzes ab. Auch ich sehe einzelne Punkte wie bspw. die #Ausgangssperren kritisch. Dennoch brauchen wir einheitlichere Regeln, um die Pandemie zu bekämpfen. Wir müssen jetzt dringend handeln! #Bundestag #COVID19",1,,6
Josef Oster,@josefoster,2021-03-18T20:34:56.000Z,"Die Europäische Arzneimittelbehörde hat #AstraZenecageprüft: Der Impfstoff ist sicher, effektiv & die Vorteile sind wesentlich größer als die Risiken. Daher gilt weiter: #Corona beenden – mit voller Kraft & allen zugelassenen Impfstoffen !
#JosefOster #CDUCSU #Impfen",,,3
Josef Oster,@josefoster,2021-03-05T20:06:11.000Z,"Ein starker und souveräner Auftritt von 
@ChBaldauf
 im TV-Duell. 

#wirmachendas #tvduell #baldauf21 #ltw21",1,2,33
Josef Oster,@josefoster,2021-01-15T17:36:41.000Z,"Ich bin startklar . 
#cdu #cdupt21 #wegenmorgen",1,,5
Paul Ziemiak,@PaulZiemiak,2021-01-15T17:01:58.000Z,"Wir sind live. Der Startschuss des 33. 
@CDU
-Parteitags ist gefallen! Ich freue mich auf unseren ersten vollständig digitalen Parteitag. Und ich hoffe, dass #wegenmorgen keiner das Internet löscht.",44,35,301
ntv Nachrichten,@ntvde,2021-01-14T07:49:32.000Z,"Pushbacks gegen Flüchtlingsboote: Illegal und lebensgefährlichPushbacks gegen Flüchtlingsboote: Illegal und lebensgefährlich
Frontex-Chef Leggeri kann vor dem Innenausschuss des Bundestags die Vorwürfe nicht entkräften: Die EU treibt Flüchtlingsboote zurück auf hohe See, um die Asylverfahren zu vermeiden.
n-tv.de",7,3,5
Frontex,@Frontex,2021-01-14T11:55:18.000Z,"Our #StandingCorps officers, the EU’s first uniformed service, are starting to work at our external borders. What are their main tasks? Take a look",15,34,117
Maik Beermann,@MaikBeermann,2021-01-12T08:38:12.000Z,"#WirFrauenGegenMerz ist also der neue Slogan? Unabhängig davon, dass ich glaube, dass niemand dieser Frauen jemals CDU gewählt hat. Ich möchte aber nicht wissen, was in der deutschen Medienlandschaft los wäre, würde es eine Gruppe #WirMaennergegenBaerbock geben.",268,450,2.5K
Frontex,@Frontex,2021-01-11T15:28:46.000Z,"For the first time, the European Union has its own uniformed service – the European Border and Coast Guard standing corps. And here’s a sneak peak of the uniform they will be wearing to represent the  at its borders #StandingCorps",830,2.7K,2.8K
Robin Alexander,@robinalexander_,2021-01-09T18:43:03.000Z,"Deutsche Landesregierung gründet Fake-Stiftung mit russischem Geld, um Pipeline für Gazprom-Erdgas fertig zu bauen und verkauft dies ihren Bürgern als Unterstützung für ""kleine Initiativen"" zum ""Klimaschutz"". 
@welt
 schreibt das auf. Antwort SPD: Da steckt der Ami dahinter ... Ralf Stegner
@Ralf_Stegner
 · Jan 9
Bitterböse Kritik der WELT an Manuela Schwesig, weil Konservativen das Nordstream Projekt missfällt und sie lieber amerikanisches Frackinggas wollen.",100,295,1.2K
