User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Josip Juratovic MdB,@josip_juratovic,2021-05-21T12:11:16.000Z,"Als ehem. Betriebsrat weiß ich, wie wichtig Betriebsräte für ein stabiles Klima im Betrieb und für bessere Arbeitsbedingungen sind. Mit dem #Betriebsrätemodernisierungsgesetz stärken wir die Arbeitnehmer*innen  und machen die Gründung von Betriebsräten einfacher und sicherer.",2,1,24
Josip Juratovic MdB,@josip_juratovic,2021-05-20T09:48:57.000Z,"Persönliche Selbstdarstellung durch das Abweichen von der Fraktionslinie halte ich prinzipiell nicht für richtig.

Aber weil ich öfter gefragt wurde: Ich habe gestern bewusst für den Antrag gestimmt und dies vorher meiner Fraktion mitgeteilt.

#TSGabschaffen",82,179,1.6K
Josip Juratovic MdB,@josip_juratovic,2021-05-19T14:19:41.000Z,"Globale Herausforderungen werden nur #multilateral gelöst. Das #Weißbuch Multilateralismus benennt die wichtigsten Herausforderungen, vor denen die multilaterale Ordnung steht und unterstreicht, warum wir mehr int. Zusammenarbeit brauchen. Klare Leseempfehlung! 
@AuswaertigesAmt",1,,7
Josip Juratovic MdB,@josip_juratovic,2021-05-01T17:33:22.000Z,"#SolidaritätIstZukunft - das haben die vielen Kolleg*innen heute bei der #DGB-Kundgebung in Heilbronn klar gemacht. Mit Maske, Abstand und Hygienemaßnahmen.
Die SPD Heilbronn zeigte sich heute solidarisch und war #gema1nsam stark vertreten.",,,12
Josip Juratovic MdB,@josip_juratovic,2021-04-28T12:40:34.000Z,"Repräsentant*innen der Bevölkerung geführt wird.
Jene, die heute wieder schwarze Listen führen und rücksichtslos für Ihre Interessen eintreten, sind die Geister der Vergangenheit, wegen deren Kompromisslosigkeit schon Millionen Menschen ihr Leben lassen mussten (3/3).",,,11
Josip Juratovic MdB,@josip_juratovic,2021-04-28T12:40:33.000Z,"nicht alle Bürger*innen mit unseren Entscheidungen vollständig zufrieden sein können. Ich habe Verständnis, dass dies gerade in diesen herausfordernden Zeiten zu Diskussionen führen kann.
Allerdings erwarte ich, dass diese Diskussion mit #Respekt vor den gewählten (2/3)",1,,5
Josip Juratovic MdB,@josip_juratovic,2021-04-27T17:39:02.000Z,"Klimaschutz ist nicht verhandelbar.

Verantwortungsvolle Klimapolitik sucht nach Lösungen, die alle mitnimmt. Deswegen unterstütze ich den Appell der 
@jusosbw
 . #SPDfor1point5",,,8
Josip Juratovic MdB,@josip_juratovic,2021-04-18T13:19:26.000Z,"Was wir bei allen Diskussionen über die #Pandemie nicht aus den Augen verlieren dürfen: Hinter den Zahlen stehen Menschen.
Menschen und ihre Geschichte, verbunden mit der Pandemie - durch Einschränkung, Erkrankung und Verlust. Diesen Menschen gedenken wir heute. #Gedenktag",,,2
Josip Juratovic MdB,@josip_juratovic,2021-04-08T12:37:12.000Z,"In Vielfalt geeint. Dazu gehören selbstverständlich fast 12 Mio. Sinti und #Roma in #Europa. Die Realität in 2021: #Ausgrenzung, #Diskriminierung, #Gewalt. Deshalb ist die breite Solidarität so notwendig. Nicht nur heute am Tag der Roma, sondern jeden Tag! 
@spdbt
 @ZR_SintiRomaZentralrat Deutscher Sinti und Roma
@ZR_SintiRoma
 · Apr 8
Am Internationalen Roma Tag erinnern wir Politik und Gesellschaft an ihre Verantwortung aus der Geschichte. Insbesondere in den Ländern Südost- und Mitteleuropas hat sich in Zeiten von Corona die rassistische Ausgrenzung der #Roma in allen Lebensbereichen noch verstärkt.
Show this thread",,,3
Josip Juratovic MdB,@josip_juratovic,2021-04-06T06:46:54.000Z,"#Solidarität in schwereren Zeiten ist wichtiger denn je. Dann gibt es #s0304. Bewusstes missachten der Auflagen - keine Maske und kein Abstand. Einfach kein Anstand!Antworten müssen jetzt auf den Tisch - und zwar im #Landtag. Richtig so 
@spdlandtagbw
! 
@stimmeonlineSascha Binder
@saschabinder
 · Apr 4
Jetzt  aufklären und alles dafür tun, damit das nicht mehr passiert! Bisher schieben @MSI_BW @IMbawue und @stuttgart_stadt nur die Verantwortung hin und her. Alle sollen dem Innenausschuss @Landtag_BW rede und antwort stehen! #s0304 @spdlandtagbw 

https://google.de/amp/s/www.stuttgarter-nachrichten.de/inhalt.nach-coronaprotest-in-stuttgart-spd-will-sondersitzung-des-innenausschusses-zu-querdenken-demo.d9f90957-7c21-4503-ae10-b0b5561672a6._amp.html…",,1,4
Josip Juratovic MdB,@josip_juratovic,2021-04-02T14:10:15.000Z,"Entweder sind die 
@GrueneBW
 #Kretschmann's Geisel, oder sie haben es doch nicht so eilig beim #Klimaschutz, wie sie es in Berlin betonen - oder über die Sozialen Medien kommunizieren. 
@spdbawue
 @spddeAndreas Stoch
@StochAndreas
 · Apr 2
Liebe @gjbw, ich danke Euch für Eure klaren Worte. Auch wir als @spdbawue fühlen uns von #kretschmann und @GrueneBW getäuscht. Nur mal so: Was wäre, wenn ein Parteitag oder ein Mitgliederentscheid über diese wichtige Frage durchgeführt würde? Progressive Politik oder Stillstand?",,1,4
Josip Juratovic MdB,@josip_juratovic,2021-03-31T13:36:59.000Z,"Als erfahrener #Betriebsrat weiß ich: Wo es #Betriebsräte gibt und Beschäftigte mitbestimmen, sind die Arbeitsbedingungen besser. Das #Betriebsrätemodernisierungsgesetz vereinfacht die Gründung, schützt Beschäftigte, stärkt ihre Rechte. Endlich! 
@stimmeonline
@spdbtSPD-Fraktion im Bundestag
@spdbt
 · Mar 31
Wo es #Betriebsräte gibt, ist #Arbeit sicherer und besser geschützt. ""Aber betriebliche Mitbestimmung fällt nicht vom Himmel, sondern musste und muss weiter hart erkämpft werden"", sagt @KatjaMast. Deshalb machen wir es leichter, Betriebsräte zu gründen und zu wählen!
Show this thread",,1,4
Josip Juratovic MdB,@josip_juratovic,2021-03-30T08:19:07.000Z,"Die Gewerkschaftler*innen der 
@IGMetall
 in #NRW haben ein gutes Ergebnis erzielt und gezeigt, dass Krisenfolgen nicht einseitig getragen werden müssen. Andere Länder müssen jetzt nachziehen - es geht um #Gerechtigkeit!IG Metall
@IGMetall
 · Mar 30
Jörg Hofmann: „Dieser Tarifabschluss bietet tragfähige Antworten auf die drängenden Fragen unserer Zeit: auf die akuten Probleme infolge der Coronapandemie ebenso wie auf die strukturellen Herausforderungen, die die Transformation für unsere Branchen mit sich bringt.“
Show this thread",,,1
Josip Juratovic MdB,@josip_juratovic,2021-03-29T10:40:51.000Z,"#FaireLieferketten bedeutet: Keine Ausreden mehr für größere Konzerne! Wir sorgen für mehr Transparenz bei den Zulieferungen und können #Menschenrechte besser absichern. Daran arbeiten wir europaweit, denn es geht um unsere Werte. Bis dahin muss unser Lieferkettengesetz liefern!BMAS
@BMAS_Bund
 · Mar 22
 Mit dem neuen #Lieferkettengesetz stärken wir weltweit #Menschenrechte: Größere Unternehmen sind ab 2023 verpflichtet, über ihren eigenen Geschäftsbereich hinaus, auch bei ihren Zulieferern in aller Welt auf faire Arbeits- & Lebensbedingungen zu achten. #FaireLieferketten
Show this thread",,,2
Josip Juratovic MdB,@josip_juratovic,2021-03-26T16:21:52.000Z,"Die anständigen #Abgeordneten stehen nicht weiter im Schatten der ""schwarzen Schafe"". Ich begrüße die heutige Einigung für mehr #Transparenz mit der #Union. Jetzt muss weiter geliefert werden: im Sinne von Transparenz, im Sinne des Vertrauens in die #Politik. 
@stimmeonline
 @spdbtSPD-Fraktion im Bundestag
@spdbt
 · Mar 26
Nach dem #Lobbyregister gestern jetzt der Durchbruch bei den #Transparenzregeln. Es sind gute Stunden für die Demokratie - sozialdemokratische Stunden! Worauf wir uns mit der #CDUCSU genau geeinigt haben? Ein Thread 
Show this thread",,,2
Josip Juratovic MdB,@josip_juratovic,2021-03-25T11:00:55.000Z,"Abgeordneter ist man mit Herz und Verstand - vor allem ist man 24/7 für die Bürger*innen im Einsatz. Da bleibt eigentlich keine Zeit für große Nebentätigkeiten. So verstehe ich mein Mandat. Die Einführung des #Lobbyregisters ist daher längst überfällig! 
@spdbt
 @stimmeonline",,,6
Josip Juratovic MdB,@josip_juratovic,2021-03-24T09:31:18.000Z,"Es gilt zu beachten: Viele Bürger*innen können es sich schlicht nicht leisten, am #Monatsende für ein solch langes Wochenende einzukaufen. Wir brauchen Lösungen, die es allen ermöglicht, gut versorgt zuhause zu bleiben!",,,
Josip Juratovic MdB,@josip_juratovic,2021-03-23T11:05:58.000Z,"Ein #Osterlockdown ist angesichts der rapide steigenden Inzidenzen wohl unumgänglich. Dennoch: Ich wünsche mir bei der Bekämpfung der Pandemie mehr proaktives Handeln, statt ständiger Schadensbegrenzung! So wird Vertrauen verspielt und noch mehr Unmut gesät!
@spdbt
 @stimmeonline",1,,2
Josip Juratovic MdB,@josip_juratovic,2021-03-16T11:10:57.000Z,"Die Aussetzung von #AstraZeneca hat schlimme Folgen. Der Kollege 
@Karl_Lauterbach
 hat Recht: Wir müssen herausfinden, wie die Fälle zustande kamen, die Vernunft gebietet jedoch die Eindämmung der COVID-19 Pandemie durch schnelles, effizientes Impfen. 
@spdbt
 @stimmeonlineKarl Lauterbach
@Karl_Lauterbach
 · Mar 16
So sehe ich es. Leider sind die Gehirnthrombosen mit Hämolytisch Urämischem Syndrom wahrscheinlich auf AstraZeneca Impfstoff zurückzuführen. Und es trifft auch Jüngere ohne Risikofaktoren. Weil aber das Risiko bei nur 1:250.000 etwa liegt überwiegt der Nutzen, gerade für Ältere. twitter.com/danielreitzig/…",,,3
Josip Juratovic MdB,@josip_juratovic,2021-03-14T09:07:57.000Z,"Ich wünsche Rainer Hinderer, Klaus Ranger - Landtagskandidat im Wahlkreis Neckarsulm -, Jens Schäfer - Landtagskandidat Wahlkreis Eppingen - und Patrick Wegener viel Erfolg heute - weil sie es verdienen. 
@spdbawue",,,
Josip Juratovic MdB,@josip_juratovic,2021-03-11T15:35:20.000Z,"Wir alle erinnern uns an die schrecklichen Bilder aus #Fukushima von vor 10 Jahren. Obgleich ein politischer Wendepunkt - #Atomkraft kann keine Alternative sein - war es für viele Menschen in #Japan der Tag, an dem sie Freunde und Familie verloren haben. Ihnen gedenken wir heute.",,1,3
Josip Juratovic MdB,@josip_juratovic,2021-03-10T16:54:34.000Z,"Ich kann mich nur wiederholen: Noch immer verdienen Frauen im Schnitt 18% weniger als ihre männlichen Kollegen. #GeradeJetzt, am heutigen #EqualPayDay müssen wir uns diese Tatsache bewusst machen! Die #GenderPayGap ist real und muss dringend überbrückt werden.Josip Juratovic MdB
@josip_juratovic
 · Mar 8
Gleicher Lohn für gleiche Arbeit ist ein Urgedanke sozialdemokratischer Politik und vor allem heute, zum #Weltfrauentag wichtiger denn je.
Show this thread",1,,1
Josip Juratovic MdB,@josip_juratovic,2021-03-08T11:18:01.000Z,"Gleicher Lohn für gleiche Arbeit ist ein Urgedanke sozialdemokratischer Politik und vor allem heute, zum #Weltfrauentag wichtiger denn je.",,1,1
Josip Juratovic MdB,@josip_juratovic,2021-03-04T14:57:03.000Z,"Die Konferenz zur Zukunft Europas beginnt! Ich hoffe auf neue Impulse im Einklang mit der Ur-Idee Europas: Ein gutes Zusammenleben unter Achtung der Menschenrechte, Demokratie und Rechtsstaatlichkeit. #CoFuEU - ein wichtiger Schritt für das Projekt Vereinigte Staaten von Europa!",,,
Josip Juratovic MdB,@josip_juratovic,2021-03-03T14:41:53.000Z,"Wir investieren in den gesellschaftlichen #Zusammenhalt. Nun ist es offiziell: 3 Millionen Euro fließen aus Berlin nach Bad Friedrichshall für den Neubau der Lindenberghalle. Danke an Martin Gerster für Deine Unterstützung! 
@spdbt
 @stimmeonline",,,2
