User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
ntv.de Politik,@ntvde_Politik,2021-05-25T15:43:42.000Z,"Die SPD fordert eine internationale Untersuchung zum #RyanairHijack. ""Wenn sich herausstellen sollte, dass Russland an dem Vorfall beteiligt war, muss man auch über Konsequenzen sprechen"", sagt der #Belarus-Berichterstatter der 
@spdbt
, 
@jschraps
.Eine Festnahme und die Folgen: ""Russland muss sich jetzt klar positionieren""
Die SPD fordert eine internationale Untersuchung der erzwungenen Landung des Ryanair-Fluges in Minsk. ""Wenn sich herausstellen sollte, dass Russland an dem Vorfall beteiligt war, muss man auch über...
n-tv.de",14,9,27
vorwärts Verlag,@vorwaerts,2021-05-25T16:50:04.000Z,"Wir haben mit 
@jschraps
 , Berichterstatter der SPD-Fraktion für #Belarus über die aktuelle Lage gesprochen. Hier gehts zum Video:Johannes Schraps zur aktuellen Lage in Belarus | vorwärts
Johannes Schraps ist im Ausschuss für Angelegenheiten der Europäischen Union und Berichterstatter der SPD-Fraktion für Belarus. Wir haben mit ihm auf Instagr...
youtube.com",,3,7
Nikoloz Samkharadze,@Samkharadze79,2021-05-07T10:06:44.000Z,"Insightful&informed discussion and fruitful exchange of ideas with #Bundestag members 
@n_roettgen
  @RKiesewetter
 @jschraps
, 
@ManuelSarrazin
 about regional security, NATO enlargement and EaP. Happy 2 confirm that  enjoys cross-party support in ",2,10,29
Johannes Schraps,@jschraps,2021-04-14T14:17:06.000Z,"Der Finanzausschuss des Deutschen Bundestags hat heute dem CBD-Umsetzungsgesetz zugestimmt, mit dem eine europäische Harmonisierung des Pfandbriefs vorgenommen wird. Damit wird der grenzüberschreitende Vertrieb von Pfandbriefen erleichtert. #BundestagEuropäische Harmonisierung des Pfandbriefs | SPD-Bundestagsfraktion
Der Finanzausschuss des Deutschen Bundestags hat heute dem CBD-Umsetzungsgesetz zugestimmt, mit dem eine europäische Harmonisierung des Pfandbriefs vorgenommen wird. Damit wird der grenzüberschreit...
spdfraktion.de",,,
Johannes Schraps,@jschraps,2021-04-13T16:28:36.000Z,"Seid jetzt live dabei beim Zukunftsgespräch mit Olaf Scholz und mir: https://fb.watch/4Rw28iBImB/ via 
@FacebookWatch
 

#weserberglandZukunftsgespräch mit Olaf Scholz und Johannes Schraps
Unser Land steht wirtschafts- und industriepolitisch vor gewaltigen Umbrüchen. Unsere Gesellschaft ist im ständigen Wandel, Europa steht vor immer neuen...
facebook.com",,,1
Olaf Scholz,@OlafScholz,2021-04-07T10:37:22.000Z,"Endlich! Seit einigen Jahren setze ich mich für eine globale #Mindestbesteuerung ein. Damit dort, wo die Gewinne erwirtschaftet werden, auch Steuern gezahlt werden. Die Unterstützung der USA gibt der Initiative jetzt den nötigen Rückenwind.Die globale Mindeststeuer rückt näher
Mit dem Regierungswechsel in den USA scheint der Weg frei für eine globale Mindeststeuer für Unternehmen. Schon im Juli könnte eine Einigung verkündet werden.
handelsblatt.com",73,97,632
lnternationale Politik Quarterly,@IPQuarterly,2021-01-21T15:44:12.000Z,"Angela Merkel leaving office in the fall will also have consequences for Russia. 

Vladimir Putin’s government will be tempted to test the mettle of her successor—and the EU’s willingness to engage in its eastern neighborhood, writes 
@LianaFix
 

https://ip-quarterly.com/en/end-merkel-putin-couple…DGAP and 4 others",1,28,40
Olaf Scholz,@OlafScholz,2021-01-20T16:54:33.000Z,"Mit dem Einzug 
@JoeBiden
|s ins Weiße Haus kehren auch Demokratie und Rechtsstaatlichkeit zurück. Auf ihm und 
@KamalaHarris
 liegt unsere Hoffnung, vor ihnen große Aufgaben. Ich freue mich auf die Zusammenarbeit und bessere Zeiten im gegenseitigen Verständnis.  #InaugurationDay",112,73,567
SPD-Fraktion im Bundestag,@spdbt,2021-01-20T16:49:42.000Z,Genug abgewartet! #Biden #BidenInauguration #Inauguration,33,129,1K
Kiel Munition Clearance Week 2021 #KMCW21,@MunClearWeek,2021-01-20T10:00:08.000Z,"Neue Arte-Dokumentation begleitet 
@GEOMAR_en
 Deep Sea Monitoring Group & Institut für Toxikologie der 
@Kieluni
 bei der Identifikation, Überwachung & Bewertung des Risikos von Munitionsaltlasten in der Ostsee. 
@KatjaMatthes
 @detloff_kim
 @Land_SH
 @jschraps
 
https://arte.tv/de/videos/093707-011-A/re-zeitbomben-am-meeresgrund/…",2,19,29
Bastian Schweinsteiger,@BSchweinsteiger,2021-01-10T16:35:24.000Z,"Fingers crossed for your play off game 
@chicagobears
! Very excited about the clash 
Viel Glück für euer Play Off Match, Bears!  
#CHIvsNO #beardownbaby",52,327,3K
SPD-Fraktion im Bundestag,@spdbt,2021-01-07T13:23:56.000Z,"""Das sind verstörende Stunden in #Washington gewesen"", so Rolf Mützenich. Allerdings: ""Solche Situationen können sich überall wiederholen.""

Deshalb darf es auch mit der #AfD keine (!) Zusammenarbeit geben! Rechtspopulisten wollen nichts anderes, als die Demokratie zu zerstören.2:28
5.2K views",30,39,180
Christoph Becker,@c_h_w_b,2020-12-17T12:57:06.000Z,"Belarussische Sportler rufen #VW/#Skoda & andere Sponsoren auf, #IIHF-#Lukashenko-WM in Minsk finanzielle Unterstützung zu entziehen.Belarusian Sport Solidarity Foundation
@BSSFofficial
 · Dec 17, 2020
Thank you to all media representatives joining us. The bulletpoints are:
We addressed our concerns & presented evidence to @IIHFHockey many times - no response on their side
We keep advocating for the cancellation of the 2021 IIHF WC in Minsk
We'll address sponsors",,11,9
Johannes Schraps,@jschraps,2020-12-12T13:40:43.000Z,"Wofür steht eigentlich die SPD? 
Wir machen #SozialePolitikFürDich.
Wir machen Politik für 83 Millionen Menschen. Und im Gegensatz zu anderen unterscheiden wir nicht nach ihrer Herkunft, Hautfarbe, sexueller Orientierung oder Religion.#spddc20From 
SPD Parteivorstand",1,,1
"Familien-, Senioren-, Frauen- & Jugendministerium",,2020-12-05T08:00:26.000Z,"30 Mio. Menschen engagieren sich in Deutschland. Gerade 2020 ist deutlich geworden, wie wichtig dieses #Engagement für unser Land ist. Viele haben in der Pandemie neue digitale Wege gefunden, füreinander da zu sein. Ihnen allen gilt unser herzlicher Dank. #TagDesEhrenamtes",17,26,83
Johannes Schraps,@jschraps,2020-12-04T12:59:09.000Z,Wir stärken das #Ehrenamt. Die steuerfreie Übungsleiterpauschale wird auf 3000€ und die Ehrenamtspauschale wird auf 840€ erhöht! Das ist eine gute Nachricht für alle Trainer*innen in Sportvereinen oder Ausbilder*innen etwa bei der freiwilligen Feuerwehr oder der DLRG. #spd,1,6,21
Olaf Scholz,@OlafScholz,2020-11-27T10:37:01.000Z,"Ich gebe hier heute das Versprechen ab: Ein von mir als Bundeskanzler geführtes Kabinett ist mindestens zur Hälfte mit Frauen besetzt! #Gleichstellung 
@Frauenrat
 #dffinanzen",3.4K,1.4K,5.5K
Johannes Schraps,@jschraps,2020-11-27T10:39:28.000Z,VERHANDLUNGSERFOLG: Es ist Schluss mit Werkverträgen und Leiharbeit in der #Fleischindustrie! Wir haben die Blockade von CDU und CSU durchbrochen. Das #Arbeitsschutzkontrollgesetz steht! #SPD,9,12,53
Manja Schüle,@ManjaSchuele,2020-11-26T18:48:08.000Z,"Kultur muss vom „nice to have“ zum „must have“ und „proud to have“ werden. Als Schirmherrin durfte ich den Kulturinvestkongress in unserer wunderbaren Landeshauptstadt 
@LH_Potsdam
 eröffnen. #kulturinvest #cic2020 
@causales",1,2,20
Olaf Scholz,@OlafScholz,2020-08-29T19:48:51.000Z,"Unser Grundgesetz garantiert Meinungsfreiheit und das Demonstrationsrecht. Es ist die Antwort auf das Scheitern der Weimarer Republik und den Schrecken der NS-Zeit. Nazisymbole, Reichsbürger- & Kaiserreichflaggen haben vor dem Deutschen #Bundestag rein gar nichts verloren. #b2908",1K,1.1K,9.4K
Marcus Schwarze,@MarcusSchwarze,2020-08-29T18:33:07.000Z,"Auf diesem Video verteidigen drei Polizisten die letzen Stufen auf dem Reichstag, einer ohne Helm, und ich weiß nicht, welchen ich mehr bewundere. Was für Vollidioten davor.  #Berlin2908 #b2908From 
Antifa Zeckenbiss",1K,3.2K,13.3K
MB,@MBNiedersachsen,2020-08-27T19:28:34.000Z,"Europaministerin Honé: „Guter Austausch mit dem AK Europa der #SPD und der #CDU Fraktion im Niedersächsischen Landtag sowie 
@jschraps
 über die aktuelle Situation in der #EU und in #Belarus.“",,1,7
