User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Dr. Julia Verlinden, MdB",@julia_verlinden,2021-05-29T20:56:29.000Z,"94% 

Danke fürs Vertrauen & die Unterstützung für Listenplatz 5 zur Bundestagswahl.

So viele Verbündete für eine gerechte Gesellschaft & nachhaltige Wirtschaft,so viele Projekte &  Investitionen für die Zukunft brauchen endlich politischen Rückenwind.
#Politikwechsel

#ldkndsGRÜNE Niedersachsen and Grüne Jugend Lüneburg",8,4,77
"Dr. Julia Verlinden, MdB",@julia_verlinden,2021-05-29T18:25:56.000Z,"lichen Glückwunsch, 
@filizgreen
 & 
@sven_kindler
!
Freu mich auf den Wahlkampf mit Euch 
Für den Politikwechsel im Bund - mit einer Offensive für Klimaschutz &  soziale Gerechtigkeit. 
#ldkndsGRÜNE Niedersachsen
@gruenelvnds
 · 13h
Die Grünen in Niedersachsen haben ein Spitzenduo für Berlin! 
Wir freuen uns auf den Wahlkampf mit euch @filizgreen   und @sven_kindler  
#ldknds21 
#WirHierUndJetzt 
#AllesIstDrin",1,2,29
Daniela Becker,@dansiela_b,2021-05-28T18:33:31.000Z,"""Die Irreversibilität der Veränderung ökologischer Systeme ist noch nicht begriffen worden"" Maja GöpelIgor Levit
@igorpianist
 · May 28
Nein.",28,207,1.7K
Captain Futura / Jörn,@captainfutura,2021-05-28T09:37:29.000Z,"Was wäre wenn #Shell ein Land wäre? Shellistan. Verglichen mit Deutschland. Es ist großartig, dass der Greenwashing-Weltmeister in Den Haag verloren hat. Aber es kann nur ein Anfang sein. Denn Big Oil wusste seit den 80ern ALLES über den Klimawandel. #Exxon #Chevron 
#Klimawandel",1,13,31
GRÜNE Niedersachsen,@gruenelvnds,2021-05-28T09:05:22.000Z,"Die Landesdelegiertenkonferenz 29./30. Mai zur Aufstellung der Bundestagsliste live mitverfolgen: 
https://live.gruene-niedersachsen.de
#WirHierUndJetzt #ldknds #ldknds21 #BTW21 #AllesIstDrin",,11,30
Timon Dzienus,@Dzienus,2021-05-21T11:42:19.000Z,Zivilgesellschaftlicher Druck ist so verdammt wichtig! ,5,4,40
"Dr. Julia Verlinden, MdB",@julia_verlinden,2021-05-21T12:01:57.000Z,"Wir 
@Die_Gruenen
 kämpfen wir bei dieser Bundestagswahl um Platz 1.
Wir brauchen endlich Mehrheiten für wirksamen Klimaschutz.
Ich trete für unsre Ideen an- mit all meiner Energie.
Gemeinsam mit Euch.
Beim Parteitag #ldknds bewerbe ich mich um Listenplatz 1Kandidatur Julia Verlinden
Als BÜNDNIS 90/DIE GRÜNEN kämpfen wir bei dieser Bundestagswahl um Platz 1. Denn wir brauchen endlich Mehrheiten für wirksamen #Klimaschutz.Ich trete für uns...
youtube.com",2,10,87
"Dr. Julia Verlinden, MdB",@julia_verlinden,2021-05-20T19:45:53.000Z,"Ein weiterer wichtiger Schritt zu #NiedersachsenKohlefrei Svenja Appuhn
@SvenjaAppuhn
 · May 20
Das ist richtig groß: @BelitOnay und @h_erneuerbar haben heute einen Fahrplan für einen Kohleausstieg bis 2026 verhandelt: Hannovers größte CO2-Quelle wird deutlich früher als geplant abgeschaltet. Vom Bürger*innenbegehren zur konkreten Politik: so geht Energiewende ",,3,24
"Dr. Julia Verlinden, MdB",@julia_verlinden,2021-05-20T11:46:08.000Z,"Darüber hat nun die 
@GF_Rundschau
 berichtet:

Geld & Dächer für #Photovoltaik wären zahlreich vorhanden, aber Überregulierung der Bundesregierung bremst #Bürgerenergie aus.

https://gifhorner-rundschau.de/gifhorn/article232329903/Gifhorner-Genossenschaft-hofft-auf-Aenderung-des-EEG.html…

Wir brauchen dringend einen Politikwechsel - zur Unterstützung der Energiewende.Dr. Julia Verlinden, MdB
@julia_verlinden
 · May 14
Am Dienstag sprechen @ImkeByl, Nicole Wockenfuß, @karo_otte, @MJGHE und ich um 19 Uhr über die ""Baustelle #EEG"".

Spoiler: Es gibt viel zu tun! Wir wollen es anpacken 

Meldet Euch jetzt an: https://zoom.us/webinar/register/WN_PHMXgLKmQI6twOAsW0u4iw…

#Bürgerenergie #Energiewende",1,1,7
Franz Michel,@_FranzMichel,2021-05-19T12:33:11.000Z,"Neue Wohngemeinnützigkeit - die Zukunft des soz. Wohnungsbaus? Nicht nur der 
@DMBMieterbund
 würde die Wiedereinführung dieses Modells mit unbefristeten Sozialbindungen begrüßen. Gute Initiative von 
@GrueneBundestag
 und 
@Linksfraktion
 heute im #BauausschussDeutscher Bundestag - Heute im Bundestag (hib)
Meldungen in der Rubrik „heute im bundestag“ (hib) informieren tagesaktuell über Schwerpunkte der Beratungen in den Ausschüssen sowie parlamentarische Vorlagen wie Gesetzentwürfe, Anträge,...
bundestag.de",1,9,26
