User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Kai Wegner,@kaiwegner,2021-05-29T11:17:25.000Z,"Auch in der 
@SBahnBerlin
 kann man gute Gespräche führen. Im 
@Tagesspiegel
-#Podcast erkläre ich u.a., wie ich die 
@cduberlin
 diverser aufstellen will, warum die CDU die politische Kraft der Mitte bleibt und wie wir Mietern und Fahrradfahrern helfen wollen. https://tagesspiegel.de/themen/podcasts/berliner-cdu-spitzenkandidat-kai-wegner-ich-werde-dafuer-sorgen-dass-wir-in-der-senats-mannschaft-paritaetisch-besetzt-sind/27224822.html…Tagesspiegel and 2 others",2,3,22
Kai Wegner,@kaiwegner,2021-05-28T20:42:30.000Z,"Die #Begegnungen mit #Menschen in ihren Kiezen sind für mich eine große #Motivation, #Berlin besser zu machen. Dabei geht es mir in erster Linie ums #Zuhören, #Verstehen und ums #Verbessern! Heute durfte ich genau das auf meiner #bereitfürmehr-Tour in #Schönberg erleben!Matthias Steuckardt",4,,16
Kai Wegner,@kaiwegner,2021-05-28T15:41:03.000Z,"Wieder einmal setzt #r2g unsere Polizei auf die Anklagebank. Berlins Polizistinnen und Polizisten verdienen nicht ständig neues Misstrauen, sondern Vertrauen und Dankbarkeit für ihren aufopferungsvollen Dienst.Rassismus bei der Polizei? Technische Universität mit Studie
Das Problem von möglichem Rassismus und Diskriminierungen bei der Berliner Polizei wird jetzt von der Technischen Universität untersucht. Sie soll dazu eine unabhängige Studie erstellen. Innensenator...
morgenpost.de",3,5,27
Kai Wegner,@kaiwegner,2021-05-28T14:49:08.000Z,"Mehr Infos zu dem gemeinsamen Projekt von 
@BSR_de
, 
@BVG_Kampagne
, 
@wasserbetriebe
, 
@gasagde
, 
@StromnetzBln
 und 
@Vattenfall_De
 findet Ihr unter: http://infralab.berlin (2/2)Home - InfraLab Berlin
infralab.berlin",,1,2
Kai Wegner,@kaiwegner,2021-05-28T14:49:07.000Z,"#Politik, #Verwaltung und Infrastrukturunternehmen müssen besser zusammenarbeiten. Der Austausch mit 
@infralabberlin
 ist mir besonders wichtig, um gemeinsam für mehr #Nachhaltigkeit und eine bessere Lebensqualität in #Berlin zu sorgen. (1/2)",2,1,12
Kai Wegner,@kaiwegner,2021-05-25T18:06:45.000Z,"Die Übernahme der 
@Deutsche_Wohnen
 durch 
@Vonovia_SE
 bietet eine neue Chance für #Berlin. Es gilt jetzt gemeinsam mit allen Partnern #Neubau und soziale Leitplanken in Berlin hochzufahren - hin zu einem faireren #Mietwohnungsmarkt, weg von Ressourcenverschwendung und #Enteignung!",5,7,32
Kai Wegner,@kaiwegner,2021-05-25T12:57:17.000Z,"Gemeinsam mit 
@dannyfreymark
 habe ich heute den Campus für Demokratie besucht. Dieser authentische #Erinnerungsort mahnt uns, #Freiheit und #Demokratie entschlossen zu verteidigen. Vielen Dank an Roland Jahn für die spannende Führung durch das Archiv und das gute Gespräch.",1,5,24
Kai Wegner,@kaiwegner,2021-05-23T14:58:08.000Z,"Heute vor 72 Jahren wurde unsere Verfassung verkündet. Mein Dank gilt den Müttern und Vätern des Grundgesetzes. Unser #Grundgesetz sichert #Demokratie, #Rechtstaatlichkeit und die #Würde des Menschen.

 Mehr Infos zu unserem Grundgesetz findet Ihr unter: https://bundestag.de/grundgesetz",11,4,23
Kai Wegner,@kaiwegner,2021-05-23T08:05:57.000Z,"Ich wünsche Euch allen ein wunderschönes, erholsames und sonniges Pfingstwochenende! #Pfingsten2021",2,,16
Kai Wegner,@kaiwegner,2021-05-22T15:37:32.000Z,"Gratulation an 
@fcunion
 zu einer starken Saison! Eine Berliner Mannschaft im #Europapokal! Und ja, natürlich freut sich mein blau-weißes Herz über den Klassenerhalt von 
@HerthaBSC
. Was zählt: Berlin bleibt auch im Fußball mit zwei Vereinen erstklassig! #HaHoHe #Stadtderby",1,2,23
