User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Katja Dörner,@katjadoerner,2021-05-28T16:28:47.000Z,"Herzlichen Glückwunsch zum 60sten 
@amnesty
 - seit fast einem Vierteljahrhundert bin ich Mitglied und dankbar für die wichtig Arbeit zur Unterstützung politischer Gefangener und für die Menschenrechte weltweit.",,1,15
Katja Dörner,@katjadoerner,2021-05-27T19:31:37.000Z,"„Wir brauchen eine verlässliche Beteiligung des Bundes an der Finanzierung von Frauenhausplätzen, unabhängig von befristeten Förderprogrammen“ ... in der 
@tazgezwitscher
 zu den Ergebnissen des heutigen Runden Tischs „Gemeinsam gegen Gewalt an Frauen“ cc 
@staedtetagtaz
@tazgezwitscher
 · May 27
Schluss mit dem Flickenteppich: Bund, Länder und Kommunen empfehlen erstmals, Frauenhäuser nach einem einheitlichen Rahmen zu fördern. http://taz.de/Finanzierung-von-Frauenhaeusern/!5775455/…",1,5,27
Katja Dörner,@katjadoerner,2021-05-27T15:08:16.000Z,"Heute: Berlin, Runder Tisch „Gemeinsam gegen Gewalt an Frauen“ im 
@BMFSFJ
 für den 
@staedtetag
 und anschließend Pressekonferenz. Gut, dass Eckpunkte für eine bundeseinheitliche Regelung beschlossen wurden. Wir brauchen mehr Plätze in Frauenhäusern. Infos: https://bmfsfj.de/bmfsfj/aktuelles/presse/pressemitteilungen/positive-bilanz-des-runden-tisches-gemeinsam-gegen-gewalt-an-frauen-in-dieser-legislatur-181756…",,4,14
Michael Kellner,@MiKellner,2021-05-27T08:56:01.000Z,"Der Schaden an der Demokratie durch das gezielte Verbreiten von Lügen und Verleumdungen ist schon da. Alle Demokratinnen und Demokraten sind aufgerufen besonders wachsam zu sein, Lügen und Fake News zurückzuweisen und sich nicht an diesen Kampagnen zu beteiligen.Dietmar Neuerer
@dneuerer
 · May 26
#Grüne stellen mehrere Strafanzeigen wegen #Falschnachrichten über Partei und #Baerbock. https://handelsblatt.com/27223950.html?share=twitter… #fakenews #desinformation @MiKellner @ABaerbock",46,71,389
Katja Dörner,@katjadoerner,2021-05-27T05:30:45.000Z,"Gestern durfte ich erstmals eine Ausstellung im 
@KunstmuseumBonn
 mit eröffnen - digital, versteht sich. Ich möchte Euch „Sound and Silence“ sehr ans Herz legen! Die Ausstellung passt perfekt in die Zeit ... mehr Infos: https://kunstmuseum-bonn.de/nocache/ausstellungen/vorschau/info/sound-and-silence-4230/…",3,4,24
Haus der Geschichte,@hdg_museen,2021-05-26T07:15:02.000Z,Wir freuen uns auf Euch: Am 28. Mai öffnet das #HausDerGeschichte in #Bonn wieder! Bitte beachtet die Corona-Regeln und bucht einen Zeitfenstertermin für unsere Ausstellungen.  https://hdg.de/haus-der-geschichte/besucherinformation/corona-regeln-im-museum…,1,9,46
Katja Dörner,@katjadoerner,2021-05-22T14:02:36.000Z,"Ich freue mich, dass die progressive Koalition in #bonn Ernst macht und in den Klimaschutz, die Mobilitätswende, in soziale Teilhabe und Digitalisierung investiert. Die Herausforderungen sind riesig - auf die grüne Null kommt es an (und die schwarze bleibt auch im Blick)Tim Achtermeyer
@Tim_Acht
 · May 22
Weder gegen die Klimakrise noch gegen die Corona-Krise kann man ansparen. Man muss jetzt investieren! Das tun wir mir den aktuellen Doppelhaushalt als progressive Koalition in #Bonn. Mehr Infos hier: https://www1.wdr.de/mediathek/video/sendungen/lokalzeit-bonn/video-lokalzeit-aus-bonn---1114.html…",4,1,43
Katja Dörner,@katjadoerner,2021-05-22T08:36:42.000Z,"Zum heutigen Tag der Artenvielfalt ein paar Neuigkeiten aus #bonnFederal City of Bonn
@BonnGlobal
 · May 22
Happy #BiodiversityDay2021! ""Intact nature and protection of species are our basis of life and make our green city @BundesstadtBonn so livable."" (Mayor @katjadoerner)
New Biodiversity Action Plan to provide strategic framework for next, decisive decade. https://international.bonn.de/international-profile/sutainability-cluster/biodiversity-day-marks-the-beginning-of-a-new-action-plan.php…",,3,29
Katja Dörner,@katjadoerner,2021-05-21T18:45:36.000Z,"Süßes aus dem Leben der Oberbürgermeisterin ;-) Anlässlich unseres heutigen (ausgezeichneten) Austauschs lies mir die Generalkonsulin Frankreichs 
@christmannoli
 das zukommen - merci!",7,,108
Katja Dörner,@katjadoerner,2021-05-21T16:47:20.000Z,"Positive Nachrichten zum Wochenende: die Außengastronomie macht auf und fast die Hälfte der Bonner*innen ist mindestens ein Mal geimpft  Bleibt trotzdem vorsichtig, damit alles auf diesem guten Weg bleibt! #bonnBundesstadt Bonn
@BundesstadtBonn
 · May 21
In diesem Video spricht Oberbürgermeisterin Katja Dörner über die aktuelle #Corona-Lage in #Bonn: https://youtu.be/-jRFp_Z_OfE",6,4,60
