User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Alexander Krauß,@kraussalex,2017-03-29T16:26:59.000Z,Trauriger Tag für #Europa. Aber auch das wird #EU überstehen. Gut das es #Merkel gibt & @connect17de die dafür arbeiten das es so bleibt! ,6,2,5
Marie von den Benken,@Regendelfin,2018-04-27T10:11:46.000Z,"""Markus Söder kündigt an, dass ab 1. Juni in jedem Amtszimmer in Bayern ein Kreuz hängen muss.""

Der Satz hätte mir irgendwie besser gefallen, wenn er nach dem dritten Wort vorbei gewesen wäre.",25,308,1.9K
Alexander Krauß,@kraussalex,2017-09-12T10:26:27.000Z,"Gut das wir noch anständige, ehrliche und engagierte Politiker wie 
@wanderwitz
 haben! #BTW17 #fedidwgugl #CDUSäZReporter
@SaeZReporter
 · Sep 12, 2017
#AfD-Kandidat #BTW17 im #Erzgebirge plakatiert SA-Losung. Gegenkandidat @wanderwitz von #CDU: ""reinrassiger Nazi"". https://tag24.de/nachrichten/erzgebirge-sturmabteilung-sa-drittes-reich-plakate-polizei-ulrich-oehme-wahlkampf-eigentor-anzeigen-332786…",,1,2
Marco Wanderwitz,@wanderwitz,2017-09-11T19:11:20.000Z,#Diesel = Zukunftstechnologie. Gut so!  Automobilindustrie = innovative Premiumarbeitsplätze. #wahlarena #Chefin #fedidwgugl,1,1,6
tagesthemen,@tagesthemen,2017-08-23T19:52:38.000Z,Syrisch-kurdischer Journalist entkommt #IS und entdeckt in Deutschland seine Peiniger wieder. Wie er sind sie im Flüchtlingsstrom eingereist,149,697,447
Alexander Krauß,@kraussalex,2017-08-14T15:07:50.000Z,"Unterwegs mit 
@wanderwitz
 und dem sächsischen Landwirtschafts-und Umweltminister #ThomasSchmidt. #Milchtankstelle und #Hochwasserschutz",1,1,5
Marco Wanderwitz,@wanderwitz,2017-08-11T09:28:33.000Z,Plakatierung #btw17 - geht los! #CDU #fedidwgugl,,1,9
CDU Deutschlands,@CDU,2017-07-12T13:27:51.000Z,Wir schaffen die Voraussetzungen für #5G bis 2020 und werden ihn bis 2025 zum Abschluss bringen. #Regierungsprogramm https://cdu.de/artikel/chancen-im-digitalen-zeitalter-nutzen…,37,24,59
Marco Wanderwitz,@wanderwitz,2017-07-11T20:08:03.000Z,"Am 17. Juli in #Zwönitz: Gerda #Hasselfeldt, Chefin 
@csu_bt
 #fedidwgugl",,1,2
Alexander Krauß,@kraussalex,2017-07-09T14:29:15.000Z,"Freue mich darüber, dass 
@wanderwitz
 nun eine eigene #Facebookseite hat. Gern mal vorbeischauen: http://facebook.com/wanderwitz",,2,6
Michael Roth MdB,@MiRo_SPD,2017-07-08T06:31:43.000Z,"Es wird mir übel, wenn ich das alles lese, was Leute schreiben, um Gewalt zu relativieren und Täter samt ihrer Motive zu verteidigen...",24,49,190
MDR SACHSEN,@MDR_SN,2017-07-08T04:53:00.000Z,Kann AfD-Chefin Petry angeklagt werden? Abstimmung im Landtagsausschuss am 17.8. Staatsanwaltschaft ermittelt: Vorwurf des Meineids.,1,8,4
Geert Mackenroth,@geertmackenroth,2017-07-07T14:55:50.000Z,"Replying to 
@JKasekPrüfen Sie doch, was Sie wollen. Für mich sind 
@gruene_sachsen
 unter Ihrer ideologischen Führung so nicht regierungsfähig. #BTW17 #ltw19",3,1,7
Alexander Krauß,@kraussalex,2017-07-07T11:43:30.000Z,#WelcometoHell. Oder wie die linken #Chaoten sagen würden: #Friedlicher #Protest. #Ohnekommentar,,,2
Marco Wanderwitz,@wanderwitz,2017-07-02T19:21:32.000Z,"Replying to 
@freie_presseDen Fans vor Ort am Ring hat es jedenfalls gefallen. Und nicht alles, was der Linkspartei nicht gefällt, ist deshalb gleich umstritten...",1,3,7
Alexander Krauß,@kraussalex,2017-06-28T15:47:38.000Z,LSU Berlin and LSU Bundesverband,,,1
Hanning Voigts,@hanvoi,2017-06-27T15:03:25.000Z,"Ich möchte gar nicht wissen, was bei der ""Merkel-muss-weg""-Fraktion auf Facebook gerade los ist. #ehefüralle",2,16,68
Andreas Scheuer,@andreasscheuer,2017-06-25T14:43:48.000Z,Nichts Neues von #SchwafelSchulz Seine persönlichen Attacken gegen die Kanzlerin verpuffen & zeigen die riesige Ratlosigkeit der SPD #spdbpt,25,12,95
Alexander Krauß,@kraussalex,2017-06-27T03:35:51.000Z,"Hoffentlich! #Projekt4,9%Marcus Brumme
@MBMarcusBrumme
 · Jun 27, 2017
Der AfD rennen in Scharen die Wähler weg. Das wird richtig peinlich werden für einige in Herbst.",,,1
Maria Fiedler,@maria_fiedler,2017-06-25T10:25:24.000Z,WLAN auf dem #spdbpt ist eine Katastrophe. Aber Schulz sagt: Schnelles Netz ist die entscheidende Frage für die Zukunft Deutschlands.,25,74,267
Alexander Krauß,@kraussalex,2017-06-26T19:55:20.000Z,"Sehr gut 
@cducsubt
! Es wird langsam mit der #Digitalisierung in Berliner Zeitung
@berlinerzeitung
 · Jun 26, 2017
#Störerhaftung abgeschafft: Koalition einigt sich auf WLAN-Gesetz. http://berliner-zeitung.de/politik/medienbericht-koalition-einigt-sich-auf-wlan-gesetz-27865412… via @handelsblatt",,,
MDR AKTUELL,@MDRAktuell,2017-06-26T19:47:38.000Z,"Merkel rückt vom Nein der CDU zur #Ehefueralle ab: Abstimmung im Bundestag sollte ""Gewissensentscheidung"" sein - ohne Fraktionszwang.",3,19,25
CDU Deutschlands,@CDU,2017-06-25T11:22:35.000Z,Der Unterschied. #spdbpt,62,207,379
Marco Wanderwitz,@wanderwitz,2017-06-26T14:26:06.000Z,"#Erinnerungskultur kein Nischenthema - mein aktuelles Interview für DER STACHELDRAHT, die Zeitschrift der #UOKG.",1,4,8
Sebastian Steineke,@SteinekeCDU,2017-06-26T19:40:38.000Z,"++Zügellosen Windkraftausbau stoppen++

Intensive Debatte zur Windkraft beim Stammtisch von Antenne Brandenburg.... http://fb.me/3zFaqPARl",,1,4
Alexander Krauß,@kraussalex,2017-06-26T18:58:25.000Z,#Interview mit der #FreienPresse über Kandidaten der #BTW17 im Wahlkreis #Mittelsachsen. Bin auf den Artikel gespannt! #CDU,,,1
