User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Markus Kurth,@markuskurthmdb,2021-05-25T11:20:17.000Z,"#Umlage oder #Kapitaldeckung? Das ist die aktuelle Kernfrage in der Rentenpolitik!
Wir  sagen ganz klar Ja zur #Bürgerversicherung, Ja zur Stärkung der gesetzlichen #Rente, Ja zu einem breiten und umlagegestützten Solidarsystem.Umlage oder Kapitaldeckung? Das ist die aktuelle Kernfrage in der...
Im Deutschen Bundestag war am 21. Mai 2021 unter anderem der Grüne Antrag zur Stärkung der gesetzlichen Rentenversicherung (https://dserver.bundestag.de/btd/...
youtube.com",2,1,4
Grüne im Bundestag,@GrueneBundestag,2021-05-21T12:05:51.000Z,"Wir sagen Nein dazu, die gesetzliche Rente durch Kapitalmarktrisiken zu ersetzen.

Wir sagen Ja zur Bürgerversicherung und zu einem breiten umlagegestützten Solidarsystem.

– 
@markuskurthmdb",28,9,49
Grüne im Bundestag,@GrueneBundestag,2021-05-20T11:50:51.000Z,"Deutschland ist vom Ziel der gleichberechtigten Teilhabe für Menschen mit Behinderungen immer noch weit entfernt.

Wir wollen, dass bestehende Barrieren abgebaut und neue ab sofort vermieden werden.

#Barrierefreiheit ist heute Abend Thema im Bundestag
http://bundestag.deGrüne im Bundestag
@GrueneBundestag
 · May 10
Menschen sind nicht behindert, sie werden behindert.

Barrieren aller Art verhindern gleichberechtigte Teilhabe & Selbstbestimmung: von zu hohen Bordsteinen bis zu fehlenden Untertiteln.

Das wollen wir ändern.

#TeilhabeÜberall #Barrierefreiheit
Show this thread",5,12,34
Grüne im Bundestag,@GrueneBundestag,2021-05-20T17:37:20.000Z,"Die Rentenüberleitung war und ist eine vielschichtige Aufgabe und historisch einmalig.

Schon kurz nachdem ich Abgeordnete geworden bin, haben sich die verschiedenen Rentengruppen gemeldet und auf die Ungerechtigkeiten hingewiesen. 

– 
@monikalazar",11,8,20
Markus Kurth,@markuskurthmdb,2021-05-12T12:51:47.000Z,"Aktionstage #Barrierefreiheit von Bündnis 90/Die Grünen Bundestagsfraktion: Einfach mal wieder den Austausch gesucht mit dem Aktionskreis ""Der behinderte Mensch in Dortmund""! Es gibt noch viel zu tun für eine #inklusive Gesellschaft und #teilhabeüberall!",1,1,2
Grüne im Bundestag,@GrueneBundestag,2021-04-16T13:33:30.000Z,"Es ist nicht die Aufgabe der Sozialversicherung, Konjunkturunterstützung zu betreiben, sondern das ist Aufgabe des Ministeriums, das Herr Altmaier führt. 

Das hat leider nicht gut funktioniert. Das muss besser und schneller werden.

– 
@markuskurthmdb",1,3,16
Grüne im Bundestag,@GrueneBundestag,2021-04-16T11:16:48.000Z,"Wer fordert, Altersvorsorge maximal in den Kapitalmarkt zu verlagern, spielt mit der Sicherungsgrundlage des größten Teils der Bevölkerung. 

Das geht nicht an!

– 
@markuskurthmdb
 zur gesetzlichen Rentenversicherung",16,6,29
Markus Kurth,@markuskurthmdb,2021-04-15T15:04:47.000Z,"#CDU-Bankrotterklärung: 

#Haseloff: ""Es geht nicht um persönliche Sympathie, Vertrauen oder Charaktereigenschaften, nur um die harte Machtfrage: Mit wem haben wir die besten Chancen?"" 

So wurde #Trump Kandidat der Republikaner. 
Politische SelbstaufgabeMachtkampf in der Union: Reiner Haseloff will Kanzlerkandidatur an Umfragewerte knüpfen
Söder gegen Laschet – wer wird Kanzlerkandidat der Union? Als erster CDU-Ministerpräsident fordert Sachsen-Anhalts Reiner Haseloff, die Frage anhand der Umfragewerte zu klären.
spiegel.de",1,,5
iff e.V.,@iff_hamburg,2021-04-09T09:16:00.000Z,"Replying to 
@NielsNauhauser
 and 
@markuskurthmdbWir freuen uns auf eine spannende Diskussion bei unserer Konferenz hierzu. Beim Panel ""Reform der Riester-Rente – Wie kann sie gelingen?"" ist Herr Kurth einer der Panelisten: https://iff-hamburg.de/hamburg-2021/programm-16-internationale-konferenz-zu-finanzdienstleistungen/… #iffkonferenz2021",,1,3
Markus Kurth,@markuskurthmdb,2021-04-09T13:04:18.000Z,"Dazu haben wir 
@GrueneBundestag
 einen Antrag in den Bundestag eingebracht: https://dserver.bundestag.de/btd/19/272/1927213.pdf… 

Am Freitag der kommenden Woche diskutieren wir ihn im Plenum.",1,,4
Markus Kurth,@markuskurthmdb,2021-04-09T12:55:35.000Z,"Geringverdienende erhalten im Alter geringe #Renten, und sterben im Schnitt früher: https://gruenlink.de/1zqh. Wir müssen Armutsrenten vermeiden. Deshalb:
Mindestbeiträge an die Rentenkasse, arbeitgeberfinanziert
Löhne, stabiles RentenniveauÜber diese Forderung diskutiert Deutschland - Mehr Rente für Arme, weil sie früher sterben!
Arme werden vom deutschen Rentensystem massiv benachteiligt. Zu diesem Schluss kommt eine Studie des Wirtschaftsforschunginstituts.
bild.de",4,,4
Markus Kurth,@markuskurthmdb,2021-04-08T11:31:34.000Z,"Abschied von einer Illusion. Der Kapitalmarkt ist für die #Altersvorsorge nicht geeignet. Die #Riester-#Rente ist ein Wrack + nicht mehr flottzukriegen. 
Gastbeitrag von Hans-Jürgen Urban, 
@IGMetall
, und mir. Heute in der 
@fr
.
https://fr.de/meinung/gastbeitraege/abschied-von-einer-illusion-90354633.html…",113,36,41
Markus Kurth,@markuskurthmdb,2021-04-08T08:40:42.000Z,"#Klimaschutz geht nur sozial! Am Wochenende wählen die 
@gruenenrw
 ihre Landesliste für die #Bundesstagswahl2021. Ich bewerbe mich auf Platz 18 und freue mich über jede Unterstützung!
#LDK21NRW #allesistdrin 
@gruenedortmund",2,5,25
FrankfurterRundschau,@fr,2021-04-07T16:13:02.000Z,"Der Kapitalmarkt ist für die Altersvorsorge nicht geeignet. Das zeigt die Riester-Rente. Der Gastbeitrag von Hans-Jürgen Urban und Markus Kurth.Altersvorsorge: „Riester-Rente ein Wrack“ – Die Politik muss eingreifen
Der Kapitalmarkt ist für die Altersvorsorge nicht geeignet. Das zeigt die Riester-Rente. Der Gastbeitrag von Hans-Jürgen Urban und Markus Kurth.
fr.de",,2,7
Kathrin Henneberger,@KathrinAnna,2021-04-06T07:33:54.000Z,"Dieses Wochenende kandidiere ich auf einem sicheren Listenplatz bei den Grünen NRW für den Bundestag. 

""Wir müssen ehrliche Politik machen. Wenn wir sagen: „Wir stehen solidarisch an der Seite der #Klimabewegung“, müssen diesen Worten auch Taten folgen.""„Wir müssen uns das Vertrauen der Klimagerechtigkeitsbewegung verdienen“
jetzt.de",44,38,399
Markus Kurth,@markuskurthmdb,2021-04-06T14:43:00.000Z,"Der Union war in den letzten Jahren ein Renten-Konsens  egal. Stattdessen: 
Interessenpolitik zulasten der Rentenversicherung. Wir brauchen keine ergebnisarmen Rentenkommissionen, sondern einen Plan: #Bürgerversicherung + Stabilisierung #Rentenniveau.Laschet wirbt für Renten-Kracher - und kassiert gleich zwei Dämpfer
Der CDU-Chef verteidigt die Rente mit 67 und wirbt für einen breiten Konsens in der Reformfrage. Die Opposition reagiert mit scharfen Worten.
merkur.de",,,1
Grüne im Bundestag,@GrueneBundestag,2021-04-01T11:34:42.000Z,"Pflege ist systemrelevant und #nichtselbstverständlich. Nicht nur in der Corona-Krise, sondern immer.

Wir setzen uns für eine gerechte Bezahlung, mehr Personal und mehr Verantwortung für die Pflege ein.

https://gruene-bundestag.de/themen/pflege/pflegekraefte-wertschaetzen-nicht-nur-in-der-corona-krise…Kordula Schulz-Asche and 2 others",66,38,203
