User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Michael Thews (MdB),@michael_thews,2021-05-28T14:54:52.000Z,"Das #Lieferkettengesetz kommt, eine gute Nachricht! Die SPD konnte dieses wichtige Projekt des Koalitionsvertrags gegen erhebliche Widerstände durchsetzen. Wir brauchen weltweit eine nachhaltige Entwicklung bei sozialen Standards und dem Umweltschutz.

#thewsdirekt",,5,12
VCI,@chemieverband,2021-05-28T13:13:00.000Z,"Beim Plastikrecycling läuft's nicht rund. Aber warum? Was geht besser? Und reicht das gegen die Müllberge? Diskutieren Sie mit einem Kunststoffhersteller, einer NGO-Expertin & einem Umweltpolitiker. Melden Sie sich an: https://ihre-chemie.de/oeffentliche-veranstaltungen/wie-werden-wir-recyclingweltmeister-fuer-plastik/… 
@LANXESS_DEU
 @bund_net
 @michael_thews",,4,8
Michael Thews (MdB),@michael_thews,2021-05-28T14:28:45.000Z,"Frank-Walter Steinmeier ist ein toller Präsident für unser Land. Er strahlt eine Ruhe und Souveränität aus, die Perfekt für dieses Amt ist. Wir können uns glücklich schätzen ihn zu haben und ich finde es toll, dass er nochmal kandidieren möchte!

#MeinPräsident",,1,5
Michael Thews (MdB),@michael_thews,2021-05-28T09:47:15.000Z,"Bücher Beckmann wird mit dem Deutschen Buchhandlungspreis ausgezeichnet! Herzlichen Glückwunsch! Gerade die kleineren, lokalen Familienbetriebe machen unsere Innenstädte sehr liebenswert und liefern persönlichen Kontakt und Beratung.

#thewsdirekt #werne",1,1,9
Johannes Waldmann,@Joh_Waldmann,2021-05-27T19:39:59.000Z,"Morgen spreche ich mit 
@michael_thews
 auf Instagram zum Thema „#Kreislaufwirtschaft gehört die #Zukunft“ - Schaut rein! Bis morgen! :-)  https://instagram.com/Joh_Waldmann/ #SPD #KreisCoesfeld #Münsterland",,3,7
Michael Thews (MdB),@michael_thews,2021-05-27T16:59:19.000Z,"Mein neustes Video auf meiner Direktvermarkter-Tour ist online!
Thews on Tour bei dem Biohof Schulze-Wethmar. Wir sprechen über Nachhaltigkeit, Direktvertrieb, Bio-Produkte u.v.m!

#thewsdirekt

https://instagram.com/tv/CPYkN5FqiT8/?utm_medium=copy_link…",1,1,4
Michael Thews (MdB),@michael_thews,2021-05-20T10:38:43.000Z,"Wo Betriebsräte gemeinsam mit Gewerkschaften arbeiten, sind die Arbeitsplätze sicherer, die Arbeitsbedingungen besser und die Löhne höher. Betriebliche Mitbestimmung fällt aber nicht vom Himmel, trotz gesetzlicher Pflicht musste und muss ein Betriebsrat hart erkämpft werden. 
1/3",3,6,15
Michael Thews (MdB),@michael_thews,2021-05-20T10:24:00.000Z,"Mit mehr Ganztagsbetreuung bauen wir die Orte aus, an denen Kinder lernen und sich sozial entwickeln. Außerdem verbessert der Rechtsanspruch die Vereinbarkeit von Familie und Beruf und ist ein großer Schritt hin zu mehr Gleichstellung.

#thewsdirekt",,4,9
Michael Thews (MdB),@michael_thews,2021-05-20T08:39:07.000Z,"Wir wollten das #Insektenschutzgesetz auf den Weg bringen, damit mehr für den Schutz der Tiere getan wird. Leider blockiert die Union das Gesetz, obwohl es vom Kabinett bereits beschlossen wurde. Diese Änderungen zu stoppen wäre ein fatales Signal für den #Umweltschutz!

2/2",,,3
SPD-Fraktion im Bundestag,@spdbt,2021-05-19T12:59:08.000Z,"Rolf #Mützenich zum Rücktritt von Franziskq #Giffey:SPD-Fraktion im Bundestag
@spdbt
Rolf #Mützenich zum Rücktritt von Franziskq #Giffey:",14,6,26
