User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Michael Groß,@michaelgrossmdb,2021-04-20T15:04:59.000Z,"Mein Kanzlerkandidat Olaf Scholz!
Respekt, Zukunft, Nachhaltigkeit, Innovation, Europa.
Mit Optimismus in das Jahrzehnt. 
#spd #OlafScholz #Bundestagswahl #2021
Archivfoto",1,,4
Michelle Müntefering,@Mi_Muentefering,2019-11-07T09:10:50.000Z,"Replying to 
@robinalexander_
 and 
@michaelgrossmdbIch habe Ihren Artikel gelesen, Herr Alexander. Bevor Sie Spekukationen darüber anstellen, wer was herausholt: Vielleicht einfach mal anrufen und Fragen, wenn man was nicht weiß. Denn so machen wir das normalerweise im Ruhrgebiet.",,1,9
Michael Groß,@michaelgrossmdb,2019-11-07T08:24:45.000Z,"(3) Geld für Kohlekraftwerksstandorte,Kommunalinvestitionsprogramme, jährl. Finanzhilfen an die Städte:5 Mrd. Euro, Soz.Arbeitsmarkt. Cdu-Wittke ist eher mit einer leeren Gießkanne durch das Ruhrgebiet gelaufen. Flucht zu einem Immobilienverband. Nix mit Solidartät und Ruhrgebiet",1,,7
Michael Groß,@michaelgrossmdb,2019-11-07T08:21:00.000Z,"(2)Verbesserungen für das Ruhrgebiet haben die fest am Kabinettstisch sitzende 
@Mi_Muentefering
 und die 16 SPD Abgeordneten zwischen Duisburg und Hamm, Haltern am See und Hagen erreicht: Geld für den Strukturwandel!",,3,8
Michael Groß,@michaelgrossmdb,2019-11-07T08:18:21.000Z,"(1)
@robinalexander_
 (Stv. Chefredakteur „#Welt“) scheint eine große Affinität zu Märchen wie „Pu dem Kummerbären“ zu haben. Er erzählt die Geschichte, Oliver Wittke habe das Ruhrgebiet am Kabinettstisch der Bundesregierung vertreten und es sei ein Verlust, wenn er zum ZIA gehe.",1,2,6
Michael Groß,@michaelgrossmdb,2019-04-29T14:03:46.000Z,"„Die Zustände an den Schleusen und Wehranlagen im Ruhrgebiet sind katastrophal. Davon konnte ich mich bei verschiedenen Ortsterminen selbst überzeugen“, berichtet der hiesige SPD-Bundestagsabgeordnete Michael Groß. Zusammen mit 16 weiteren... https://michaelgrossmdb.de/?p=7831",1,,4
Michael Groß,@michaelgrossmdb,2019-04-14T06:40:48.000Z,Menschen aus Seenot zu retten ist eine humanitäre Pflicht. Ich mache mit! https://facebook.com/story.php?story_fbid=2238308572891882&id=770570202999067…,,,4
Michael Groß,@michaelgrossmdb,2019-03-27T20:51:57.000Z,"Morgen um 12.30 Uhr mit meinem Kollegen Martin Schulz im Alten Rathaus in Haltern am See. Ich freue mich auf eine spannende Diskussion, zu der das Forum für Demokratie, Respekt und Vielfalt herzlich einlädt! https://facebook.com/story.php?story_fbid=2212910698765003&id=770570202999067…",,1,3
Michael Groß,@michaelgrossmdb,2019-03-27T15:56:53.000Z,"Unser nächstes Thema: Stadtentwicklung- aus dem Zechenstandort Auguste Victoria 7 wird http://gate.ruhr. Ein trimodaler Standort, der auch künftig wieder Heimat für Industrie sein wird.",,,3
Michael Groß,@michaelgrossmdb,2019-03-27T15:50:16.000Z,"Unterwegs! Danke Achim Post für den Besuch! Schicke Kittel, oder? https://facebook.com/story.php?story_fbid=2212572775465462&id=770570202999067…",,,
