User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Janine Wissler,@Janine_Wissler,2021-05-28T15:11:50.000Z,"Auf dem Rückweg nach zwei Tagen #Lesbos. Meine erste Auslandsreise als Parteivorsitzende. Eine kleine Delegation hat #Karatepe und das abgebrannte Lager Moria besucht, mit Geflüchteten, NGOs, medizinischen Kräften, Frontex, dem Bürgermeister, Syriza und Rechtsanwälten gesprochen.Sofia Leonidakis and 4 others",3,16,119
Janine Wissler,@Janine_Wissler,2021-05-28T10:39:33.000Z,"„‚Es fehlt an fließend Wasser, es fehlt an Strom, die Kinder haben keine Beschäftigung‘. Das sei ‚das Gesicht dieser unmenschlichen Geflüchtetenpolitik, die die Europäische Union macht‘.“
#karatepe #moria #lesbos #linke #refugees„Diese Lager gehören aufgelöst“
Auf Lesbos kritisiert eine Abordnung der Linken die menschenunwürdige Lage der Flüchtlinge. Parteichefin Wissler will für „ein neues Asylsystem“ kämpfen.
fr.de",5,50,161
The Left in the European Parliament,@Left_EU,2021-05-28T08:27:04.000Z,"Illegale Pushbacks in der Ägäis - Lager gehören aufgelöst.
@Janine_Wissler
 @ErnstCornelia
 @AkbulutGokay
 & 
@michel_brandt_
 konfrontierten hochrangige Offiziere von Frontex bei ihrem Besuch auf Lesbos erneut mit den Vorhaltungen. 

via 
@fr
 @PvBebenburg
 

https://fr.de/politik/diese-lager-gehoeren-aufgeloest-90682141.html…DIE LINKE and 2 others",,5,11
Pitt von Bebenburg,@PvBebenburg,2021-05-27T16:29:44.000Z,"Die Lage der Flüchtlinge auf Lesbos ist dramatisch. Hier ein Bericht von meinen Eindrücken vor Ort. 
@Janine_Wissler
 sagt: ""Diese Lager gehören aufgelöst“„Diese Lager gehören aufgelöst“
Auf Lesbos kritisiert eine Abordnung der Linken die menschenunwürdige Lage der Flüchtlinge. Parteichefin Wissler will für „ein neues Asylsystem“ kämpfen.
fr.de",8,54,96
Michel Brandt,@michel_brandt_,2021-05-27T16:31:00.000Z,"Nach ewigem Hin und Her und kurz vor Knapp hat sich die GroKo auf ein Bundestags-reifes #Lieferkettengesetz geeinigt. Der Preis für die Einigung war hoch: eine Haftung für Unternehmen wurde explizit ausgeschlossen. Es kommt also ein Tiger ohne Zähne... 
@Linksfraktion",1,10,41
Michel Brandt,@michel_brandt_,2021-05-27T15:18:18.000Z,"Die Ruinen von #Moria. Als ich 2019 hier war, lebten in der Zeltlandschaft rund 14.000 Menschen. Dieser Ort bleibt Symbol für die Gewalt, mit der die #FestungEuropa aufrecht erhalten wird. Gleichzeitig aber auch für Organisierung, Widerstand u #Solidarität. #ShutDownAllCampsJanine Wissler and 3 others",,19,40
Michel Brandt,@michel_brandt_,2021-05-26T15:35:55.000Z,"Ein langer u voller Tag auf #Lesbos mit vielen Gesprächen neigt sich dem Ende zu. Morgen geht es weiter. Ich kann es kaum oft genug sagen: Das inhumane Hotspot-System der #EU muss endlich ein Ende haben, die Menschen haben ein Recht auf menschenwürdige Unterbringung! #EvacuateNow",,17,36
Michel Brandt,@michel_brandt_,2021-05-26T12:10:35.000Z,"""Ich lebe in der Hölle"", so schildert uns ein geflüchteter Mensch im Gespräch mit 
@lnob2020
 die menschenverachtenden Zustände in #Moria2. ""In unserem Land stirbt man nur einmal, hier stirbt man jeden Tag."" #RefugeesGR #EvacuateNow",1,12,34
Michel Brandt,@michel_brandt_,2021-05-26T08:56:56.000Z,"Man muss sich wirklich klar machen, was die Bedingungen in #Moria2 sind: #Pandemie, kein Strom, kein fließend Wasser u kaum Trinkwasser, tausende Menschen auf engstem Raum eingesperrt, von Stacheldraht umzäunt, kontrolliert u überwacht. Abschreckung statt Schutz! Unerträglich!",,10,17
Michel Brandt,@michel_brandt_,2021-05-26T08:23:57.000Z,"Uns wird berichtet, dass die Menschen hier in #Moria2 nur 2x am Tag Trinkwasser kriegen -mittags u abends, insg nur 1,5 bis 2 Liter. Schon jetzt knallt die Sonne auf die Zelte, unvorstellbar, wie es im Hochsommer wird. Die #EU erzeugt hier bewusst menschenfeindliche Zustände!",1,24,44
