User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Aydan Özoğuz,@oezoguz,2021-05-27T08:41:43.000Z,"Dieses Miteinander, der gegenseitige Respekt und die Solidarität in schwierigen Zeiten hat eine sehr lange Tradition in Hamburg!Hamburger Religionsgemeinschaften rufen zum Friedensgebet
Juden, Christen, Muslime und Buddhisten wollen ein Zeichen setzen - gegen Antisemitismus, Hass, Rassismus und Gewalt.
ndr.de",2,4,21
Aydan Özoğuz,@oezoguz,2021-05-22T15:07:53.000Z,Über den „Hamburger Kultursommer“ zur Unterstützung der Künstler:innen und die besondere Stellung der Kultur in unserem Leben habe ich heute mit Senator Dr. Carsten Brosda gesprochen: https://fb.watch/5ERN-G6juI/ #klönschnack #hamburg #spd #wandsbek,,3,10
Olaf Scholz,@OlafScholz,2021-05-22T09:11:43.000Z,"Mein Dank gilt auch jenen, die heute keinen Preis bekommen. Die sich jeden Tag abmühen und unerschütterlich ihren Dienst antreten. Für sie möchte ich eintreten und sicherstellen, dass sich unser Dank auch in einem angemessen Lohn wiederspiegelt.
Klatschen alleine reicht nicht.",64,22,243
Aydan Özoğuz,@oezoguz,2021-05-22T11:39:08.000Z,Ich muss im Kalender verrutscht sein. Ist heute Oktober oder November ?,6,,39
Constanze Stelzenmüller,@ConStelz,2021-05-22T02:06:32.000Z,"Die Lektüre des gesamten Textes von #Maaßen bei #Cato läßt wirklich nur einen Schluß zu: der Autor hat in einer bürgerlichen Partei, die auf dem Boden von Demokratie und Rechtsstaat seht, nichts zu suchen.

Nichts.Mariam Lau
@MariamLau1
 · May 21
Aus einem aktuellen Text von Hans-Georg Maaßen über die „postnationale Weltordnung“ (Danke @jhaentzschel )",62,301,1K
Aydan Özoğuz,@oezoguz,2021-05-21T20:33:33.000Z,"Hmm, das einzige, was im 
@zdf
 #politbarometer nicht genannt wird, ist, dass 
@OlafScholz
 in der Umfrage sowohl besser abschneidet als Baerbock als auch als Laschet. Warum eigentlich nicht?",6,15,150
Aydan Özoğuz,@oezoguz,2021-05-20T18:50:04.000Z,"AfD will gerade mit einem Antrag ihrem lauten Mob einen Weg ins Parlament ebnen. Brandner schreit rum, beleidigt die Redner:innen, wirkt so als ob er schon betrunken ist. Und auch wenn es bei der AfD kaum noch möglich ist, sie können sich noch schlechter benehmen als sonst schon.",7,8,55
Lars Klingbeil,@larsklingbeil,2021-05-19T15:22:11.000Z,"Die Freigabe der #NSUAkten zu verhindern, ist eine Bankrotterklärung der Grünen im Kampf gegen rechts. Da habe ich mehr Haltung erwartet. Transparenz und Aufklärung sind notwendig.NSU-Akten in Hessen: SPD-Breitseite gegen Baerbock
Die Grünen in Hessen verhindern die Freigabe von Akten zur rechten Terrorgruppe NSU – gegen den Willen von mehr als 100.000 Bürgern. Die SPD beklagt jetzt ein fehlendes Machtwort der grünen Kanzler...
n-tv.de",88,120,663
Andreas Dressel,@ADressel,2021-05-14T18:53:05.000Z,"Heute Abend ist ⁦
@OlafScholz
⁩ auf Einladung unserer Bundestagsabgeordneten Aydan ⁦
@oezoguz
⁩ digital zu Gast bei der ⁦
@spdwandsbek
⁩ - schön, dass Du bei uns bist! In dem Kreis, in dem Deine politische Arbeit begann. Viel Erfolg f. d. nächsten Wochen&Monate!",4,2,25
Aydan Özoğuz,@oezoguz,2021-05-13T08:18:41.000Z,,11,10,85
Aydan Özoğuz,@oezoguz,2021-05-10T15:51:20.000Z,"Die S4 kommt. Wir haben uns erfolgreich für 1,6 Mrd (!) Euro aus dem Bund eingesetzt, um die Verbindung von Rahlstedt über die Innenstadt bis nach Altona schnell und zuverlässig hinzubekommen. 
@buergermeister
.hamburg    @otb_hamburg #spd #wandsbek #hamburg",,2,13
