User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Pascal Meiser,@pascalmeiser,2021-05-28T17:23:25.000Z,"Ich bin wohl einer der Abgeordneten, die den Fahrdienst am wenigsten nutzen. Aber dieser Umgang mit den Fahrer:innen ist inakzeptabel! Die zuständige Verteidigungsministerin muss dafür sorgen, dass es schnell zu Tarifverhandlungen für den Fuhrpark kommt.Bundestag: Fahrdienst-Mitarbeiter fordern in Brief Bezahlung nach Tarif
Die Fahrer der Bundestagsabgeordneten fühlen sich nicht wertgeschätzt. Nun fordern sie nach SPIEGEL-Informationen eine Bezahlung nach Tarif – doch ihr Arbeitgeber, eine Bundeswehr-Firma, mauert.
spiegel.de",3,7,34
DIE LINKE. Berlin,@dielinkeberlin,2021-05-28T13:04:28.000Z,"Natürlich sammeln wir auch in den nächsten Tagen wieder für 
@dwenteignen
 
29. Mai: 9 Uhr Wiltbergstraße und Wilhelmsruh in der Hauptstr. 29A und 32
29. Mai: 10 Uhr Wochenmarkt am Karl-August-Platz (Krumme/Ecke Pestalozzistr.)
29. Mai: 10. 30 Uhr Pastor-Niemöller-Platz 10DIE LINKE.Pankow and Niklas Schenker",1,16,41
Pascal Meiser,@pascalmeiser,2021-05-28T14:42:53.000Z,"Da hat es sich doch mal gelohnt, dass wir als 
@dielinkeberlin
 weiter für einen möglichst weitgehenden #Mietendeckel bei den Landeswohnungsunternehmen gekämpft haben.

Jetzt brauchen wir vom Bund nur noch einen Mietendeckel für die restliche Immobilienwirtschaft! #linkswirkt #r2gErik Peter
@retep_kire
 · May 28
Das ist doch ein #Mietendeckel für Berlins Wohnungsbaugesellschaften mit 330.000 Wohnungen:
- 2021 keine Mieterhöhungen
- bis 2025 max 1%
- gesenkte Mieten bleiben stabil 
- Neuvermietungen 10% unter Mietspiegelwert",1,4,17
Markus Grill,@m_grill,2021-05-27T15:24:31.000Z,"Exklusiv: Wir haben mit versteckter Kamera überprüft, wie viele kostenlose Bürgertests an einzelnen Teststationen tatsächlich stattfinden und verglichen mit den Zahlen, die ans Ministerium gemeldet werden. Die Unterschiede sind gewaltig. Beispiele (1/x):Corona-Pandemie: Schnelltests außer Kontrolle
Nicht nur Ärzte und Apotheker bieten Bürgertests an, sondern auch Friseure oder Cafébetreiber. Recherchen von WDR, NDR und SZ zeigen, wie unkontrolliert das Ganze abläuft.
tagesschau.de",486,4.6K,9.4K
Ulrich Schulte,@UlrichSchulte,2021-05-27T16:52:22.000Z,"Der Umgang der hessischen #Grünen mit den #NSUAkten ist intransparent, instinktlos und unklug. Mit ihrer sturen Beamtenlogik konterkarieren sie das, wofür die Grünen stehen wollen. #RechtsextremismusOffenlegung der NSU-Akten: Sture grüne Beamtenlogik
Die hessischen Grünen blockieren die Offenlegung der NSU-Akten. Damit konterkarieren sie das, wofür die Grünen anderswo stehen.
taz.de",12,65,205
Pascal Meiser,@pascalmeiser,2021-05-25T18:24:17.000Z,Die Übernahme von #DeutscheWohnen durch #Vonovia ist für Mieter|innen kein Grund zur Freude. Mit dieser neuen Marktmacht wird der Konzern seine Rendite weiter maximieren. Die #Vergesellschaftung der Wohnungsbestände von Deutsche Wohnen & Vonovia bleibt geboten! #vonoviaenteignen,1,15,43
BMV Berliner Mieterverein,@BMieterverein,2021-05-25T14:24:04.000Z,"Vonovia & Deutsche Wohnen: Zukunfts- und Sozialpakt ist mehr Blendwerk als Mieterschutz. „Wir sind daher überrascht, mit welcher Naivität der Regierende Bürgermeister Müller und Finanzsenator Kollatz den Immobiliendeal begrüßen“, sagt Reiner Wild, GFFusion Vonovia / Deutsche Wohnen – Neuer Druck auf Miethöhen durch 18 Mrd. Euro Kaufpreis –...
„Die angestrebte Fusion von Vonovia und Deutsche Wohnen bringt Mieterinnen und Mietern nichts, im Gegenteil. Durch die Refinanzierung des 18-Mrd.-Euro-Kaufpreises wächst der Druck auf Mieten“, so der...
berliner-mieterverein.de",11,74,153
campact,@campact,2021-05-25T10:02:52.000Z,"Ein klares Bekenntnis gegen #CETA! Das fordern wir in einer taz-Anzeige gemeinsam mit 
@foodwatch_de
, Mehr Demokratie und vielen weiteren von 
@ABaerbock
 und Robert Habeck: Formulieren Sie ein klares Nein zum Freihandelsabkommen CETA im Wahlprogramm der Grünen! UmweltinstitutM e.V. and 8 others",,38,103
DIE LINKE. Berlin,@dielinkeberlin,2021-05-25T10:48:57.000Z,".
@klauslederer
: ""Die Zugeständnisse von #Vonovia sind ein Erfolg der Mieterbewegung, ändern aber nichts am zu Grunde liegenden Geschäftsmodell. Wir wollen, dass unsere Stadt langfristig bezahlbar bleibt. Deshalb unterstützen wir weiter 
@dwenteignen
."" https://gleft.de/4fFKatinaSchubert and 4 others",19,77,229
Deutsche Wohnen & Co Enteignen,@dwenteignen,2021-05-25T10:28:47.000Z,"#dwenteignen wird zu #vonovia enteignen? 

Kein Problem: 

http://vonovia-enteignen.de ist LIVE ",20,229,1.4K
Tobias Schulze,@Tobias_Schulze,2021-05-24T20:11:22.000Z,"Davon entsteht keine einzige neue Wohnung!!!11!!1!1Tibor Martini
@tibor
 · May 24
#Vonovia will anscheinend #DeutscheWohnen kaufen. So ein Quasi-Monopol ist sicher gut für den Markt. https://ft.com/content/70b536f7-9a30-4087-a2fc-dd43228a55ce?utm_source=Twitter&utm_medium=@tibor…",6,15,88
Bodo Ramelow,@bodoramelow,2021-05-22T20:59:30.000Z,"Ob man da eventuell Landolf Ladig unterm Bett findet?ZDFheute
@ZDFheute
 · May 22
Wegen möglicher Volksverhetzung: Hausdurchsuchung bei Björn Höcke https://zdf.de/nachrichten/politik/hausdurchsuchung-hoecke-volksverhetzung-100.html#xtor=CS5-62…",220,215,2K
Pascal Meiser,@pascalmeiser,2021-05-22T18:18:07.000Z,"Wenn das nichts für Herrn Gräff (
@ChGraeff
) von der Berliner #CDU ist!  Der sorgt sich doch so gerne um die soziale Durchmischung von Stadtteilen. Jedenfalls besser, sich für ein durchmischtes #Grunewald einzusetzen, als anderenorts ein Verbot neuer #Sozialwohnungen zu fordern.#Mietenwahnsinn-Bündnis
@MietenwahnsinnB
 · May 22
Endlich mal konstruktive Vorschläge gegen den #Mietenwahnsinn. Grunewald wird nun nachverdichtet. Undzwar mit Sozialwohnungen. 
Show this thread
2:16
2.6K views",1,3,14
Bizim Kiez,@bizimkiez,2021-05-22T11:14:41.000Z,"Reiche ziehen durch, Arme ziehen aus?!
Dagegen hilft: deckeln, enteignen, Spekulation-& Umwandlungsstopp& #MietenstoppDE! Eigenbedarf haben wir selbst! Schnaub freut sich, am Pfingstsonntag viele wieder zu sehen & neue Mi(e)tstreitende kennenzulernen: 13:00 Potsdamer Platz BMV Berliner Mieterverein and 9 others",,13,56
DIE LINKE.Pankow,@LinkePankow,2021-05-21T15:45:30.000Z,Menschen müssen von ihrer Arbeit leben können! Die Durchsetzung von guter Arbeit stellt für uns ein Grundprinzip dar. Gute Arbeit - dazu gehört die Sicherheit des Arbeitsplatzes ebenso wie ein verlässliches und existenzsicherndes Einkommen. #pankowsozial #pankowfüralle #wk0301Elke Breitenbach,1,11,16
#Mietenwahnsinn-Bündnis,@MietenwahnsinnB,2021-05-21T17:03:11.000Z,"Habt ihr schon eure Schilder und Transparente für die große #Mietenwahnsinn-Demo am Sonntag gebastelt? 
Hier eine kleine Inspiration. Zwangsräumung Verhindern Berlin and 9 others",6,29,243
Dietmar Bartsch,@DietmarBartsch,2021-05-21T13:38:06.000Z,"Die Einbeziehung aller Abgeordneten wäre der Startschuss für eine Rentenkasse, die höhere Renten auszahlen kann, weil am Ende alle einzahlen – auch Beamte und Selbstständige. Wer hier die Populismus-Keule schwingt, sollte seine eigene Politik auf Glaubwürdigkeit abklopfen.",34,69,276
Senatsverwaltung für Stadtentwicklung und Wohnen,@SenSWBerlin,2021-05-20T07:54:45.000Z,"Mit der Unterstützung durch uns und 
@senfin
 hat der Bezirk #Neukölln erstmals ein #Vorkaufsrecht bei einem sog. #ShareDeal ausgeübt. 
@wenkexin
: ""Das ist ein wichtiges Signal, mit dem Berlin deutlich macht, dass eine Umgehung des Vorkaufsrechts nicht toleriert wird."" 
@BerlinNkl",14,22,76
linksfraktion,@Linksfraktion,2021-05-20T06:00:01.000Z,Ungerecht: Abgeordnete haben nach 2 Wahlperioden einen deutlich höheren Versorgungsanspruch als Arbeitnehmer nach 45 Jahren mit Durchschnittslohn.  Unser Antrag am Freitag im Plenum: Bundestagsabgeordnete in die gesetzliche Rentenversicherung einbeziehen http://dip21.bundestag.de/dip21/btd/19/172/1917255.pdf…,68,165,974
