User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
rainerspiering,@rainerspiering,2009-09-15T09:36:59.000Z,gerade noch ein neues Video hochgeladen: http://bit.ly/3ZaJRn und jetzt zurück in die Schule,,,
rainerspiering,@rainerspiering,2009-09-14T09:07:56.000Z,Heute morgen Termin in Herringhausen. Vorstelung eines neuen Konzeptes zur integrierten und altersübergreifenden Jugendarbeit. Echt Klasse.,,,2
rainerspiering,@rainerspiering,2009-08-18T11:48:54.000Z,und noch ein neues Video: 27. September auch Richtungsentscheidung in Sachen Bildungspolitik: http://www.youtube.com/rainerspiering,,,1
rainerspiering,@rainerspiering,2009-08-18T09:08:07.000Z,"Hallo Osnabrück, habe gerade ein neues Video in meinem Videoblog hochgeladen: http://bit.ly/KwpoS",,,1
rainerspiering,@rainerspiering,2009-07-14T08:52:43.000Z,hat gerade ein neues video bei youtube online gestellt: http://bit.ly/13GtmA,,,
rainerspiering,@rainerspiering,2009-07-07T12:02:46.000Z,hatb gerade seinen neuen youtube.com-Kanal mit einem Video versorgt: http://bit.ly/o6Khz,,,
rainerspiering,@rainerspiering,2009-06-30T06:07:23.000Z,Good morning Osnabrücker-Land. Wird wohl ein schöner Tag werden. Viel Gartenarbeit. Jetzt aber erst Oma zum Arzt bringen.,,,
rainerspiering,@rainerspiering,2009-06-29T19:59:16.000Z,Heute morgen 2 h Mount bike auf dem Hermannsweg. Der Nachmittag im Kreishaus. Wahlkampfteam macht tolle Arbeit.,,,
rainerspiering,@rainerspiering,2009-06-29T11:00:05.000Z,"Gestern Kinderschützenfest im Heidland. Runde Sache, hat mir gut gefallen. Besonders die abendliche Runde mit den Schützen.",,,
rainerspiering,@rainerspiering,2009-06-26T18:03:26.000Z,Zurück von der Nordkreistour - War eine Topsache. Wir werden ähnliches wiederholen. Dank an alle Beteiligten. Habt Ihr toll gemacht.,,,
rainerspiering,@rainerspiering,2009-06-24T11:20:34.000Z,Letzter Schultag. Zeugnisse verteilt. Heute Nachmittag Rundreise mit dem Kreis-Forstverband.,,,
rainerspiering,@rainerspiering,2009-06-23T21:06:25.000Z,Situation im Iran immer undurchsichtiger. Habe großen Respekt vor den Demonsranten. Menschen denen Freiheit alles wert ist.,,,
rainerspiering,@rainerspiering,2009-06-23T06:12:00.000Z,"Gestern Kreistagssitzung. Themen: Gesamtschule, Sozialraum u. FMO. SPD Fraktion klasse aufgestellt. Gute Zusammenarbeit mit den Grünen.",,,
rainerspiering,@rainerspiering,2009-06-22T11:58:13.000Z,Scule beendet. Letzte Vorbereitungen Kreistagssitzung. Spannende Dikussionen wg. Sozialraum und Gesamtschule.,,,
rainerspiering,@rainerspiering,2009-06-21T18:16:47.000Z,Zu Hause angekommen. Waren auf dem Tag der Niedersachsen in Hameln. Bei U19 Beach Volleyball Landesmeisterschaft zugeschaut. Großer Sport.,,,
rainerspiering,@rainerspiering,2009-06-19T19:57:39.000Z,Die ganze Familie hat sich fein gemacht und geht zu Lara auf den Abi-Ball.,,,
rainerspiering,@rainerspiering,2009-06-19T18:22:09.000Z,Vielleicht kann man ja eine Unterstützeraktion per Net starten. Auf jeden Fall müssen die Iraner Unterstützung erfahren.,,,
rainerspiering,@rainerspiering,2009-06-19T18:20:11.000Z,"Lese zur Zeit Spiegel online wg. Iran. Man muß glaube ich, schrecklich Angst um die demonstrierenden Menschen haben und riesig Respekt.",,,
rainerspiering,@rainerspiering,2009-06-18T06:30:45.000Z,Ein großes Kompliment an Twitter. Ohne die Plattform wüßten wir viel weniger aus dem Iran.,,,
rainerspiering,@rainerspiering,2009-06-18T06:29:23.000Z,"Gestern abend Wahlauftakt mit den Funktionären unserer regionalen SPD. Wunderbar gelaufen. Herzlichen Dank, daß ihr alle gekommen seid.",,,
rainerspiering,@rainerspiering,2009-06-17T17:19:44.000Z,Wir müssen unsere Erfolge deutlich machen..! #SPD+,,,
rainerspiering,@rainerspiering,2009-06-17T17:14:55.000Z,Stimme jetzt die Ortsvereinsvorsitzenden meines WK auf die BT-Wahl ein...,,,
rainerspiering,@rainerspiering,2009-06-17T15:41:17.000Z,Heute morgen Schule. Gerade Fraktionvorstand beendet. Vorbereitung Kreistagssitzung  Wie immer gute und sehr hilfreiche Beiträge.,,,
rainerspiering,@rainerspiering,2009-06-16T07:11:17.000Z,Sonnenenergie aus der Wüste ist die absolut richtige Antwort auf die Energieversorung von Morgen. Bestätigung von SPD Energiepolitik.,,,
rainerspiering,@rainerspiering,2009-06-15T18:07:53.000Z,Heute morgen Kreisausschuss und Maßarbeit. Heute nachmittag Zeugniskonferenz. Alles wird gut.,,,
rainerspiering,@rainerspiering,2009-06-10T19:27:28.000Z,War gerade im Kreishaus . Vortrag von Prof. Dr. J. Limbach zu 60 Jahre Grundgesetz. Toller Vortrag. Sehr überzeugend und erklärend.,,,
rainerspiering,@rainerspiering,2009-06-10T14:09:36.000Z,Schule beendet. Klassenarbeit vorbereitet. Gleich Feier zum Grundgesetz im Kreishaus.,,,
rainerspiering,@rainerspiering,2009-06-09T11:11:16.000Z,Schulschluss. Jetzt Beerdigung von Hartwig.,,,
rainerspiering,@rainerspiering,2009-06-08T18:28:56.000Z,Heuter langer Tag nach diesem sch.....-Wahlergebniss. Heute morgen Kreishaus. Heute Nachmittag Fraktion.,,,
rainerspiering,@rainerspiering,2009-06-07T18:48:57.000Z,Schau mir jetzt Tatort an und trink mir ein Bier.,,,
rainerspiering,@rainerspiering,2009-06-07T18:16:04.000Z,Verkneife mir lieber auch einen Kommentar zu diesem Wahlergebnis.,,,
rainerspiering,@rainerspiering,2009-06-07T09:11:30.000Z,Frühstück mit den Beachern. Beach Tunier an der Saline . Wählen. Kreisschützenfest in Glandorf.,,,
rainerspiering,@rainerspiering,2009-06-06T15:30:53.000Z,Gleich zum Beach Volleybal A-Cup nach Bad Rothenfelde. Toller Sport aber sch... Wetter.,,,
rainerspiering,@rainerspiering,2009-06-06T14:18:40.000Z,War mit meinem Schwimmkurs auf der Hase. Wind und Wetter gut.Immer wieder eine schöne Tour mit dem Kanu. Jetzt aber erst mal heißen Kaffee.,,,
rainerspiering,@rainerspiering,2009-06-02T18:38:56.000Z,Gerade aus dem Kreishaus zurück. Sehr interessante  und informative Veranstaltung mit mehr als 50 Tagesmüttern.,,,
rainerspiering,@rainerspiering,2009-05-19T13:06:05.000Z,Schulag vorbei. Jetzt Arbeit im Kreistagsbüro. Gleich noch ein paar Fotos mit Jürgen schießen.,,,
rainerspiering,@rainerspiering,2009-05-18T12:35:39.000Z,"Heute morgen Termin in Melle wg. Familienzentrum. Danach Vorbereitung Flyer. Jetzt Kreisausschuss, dann Kreistag.",,,
rainerspiering,@rainerspiering,2009-05-17T17:57:33.000Z,"Komme gerade von gerade Mountainbike-Tour zurück. 2 1/2 h Hermannsweg.
Gute Sache. Total verdreckt aber gut zufrieden. Morgen Kreistag.",,,
rainerspiering,@rainerspiering,2009-05-17T09:01:02.000Z,Jetzt gemütlich frühstücken. Hund Lotte hat sich völlig entspannt abgelegt.,,,
rainerspiering,@rainerspiering,2009-05-17T08:59:01.000Z,Guten morgen Osnabrück- Gestern Landesparteitag. Ein toller Peter Struck. Danach GARTENARBEIT und Geburtstag ( 40) beim Stefan. Gute Party.,,,
rainerspiering,@rainerspiering,2009-05-10T15:48:38.000Z,Fußball Nachmittag in Bad Rothenfelde. Kurz vor Schluss unser SVR in Führung. Tolles Tor von Malte B. Arne zum Zug nach Osna gebracht.,,,
rainerspiering,@rainerspiering,2009-05-09T16:03:38.000Z,Kreisparteitag vorbei. Stimmung ausgezeichnet. Feiern jetzt den Geburtstag von Leon.,,,
rainerspiering,@rainerspiering,2009-05-08T18:55:48.000Z,Zurück aus Berlin. Termin u.a. mit Gesine Schwan. Sehr starke Persönlickeit. Wird hoffentlich nächste Präsidentin. Gut für das Land-,,,
rainerspiering,@rainerspiering,2009-05-05T12:57:04.000Z,Heute morgen Schule. Jetzt die ganze Zeit Kreishaus. Dann Bevos. Heute Abend Besuch der Schützen der Kreishaus.,,,
rainerspiering,@rainerspiering,2009-05-04T19:22:15.000Z,Zurück aus Melle. War eine sehr würdige Ordensverleihung. Wahrscheinlich selten soviel Genossen im Meller Rathaus.,,,
