User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Marco Buschmann,@MarcoBuschmann,2021-05-29T14:42:38.000Z,"Ein Prinzipal lobt an beliebige Agenten aus: Die sollen 18 EUR für jede bloß behauptete Leistung erhalten. Kontrollmechanismen: keine. Wen wundert es nun ernsthaft, dass die behaupteten Leistungen die tatsächlich erbrachten übersteigen? Ökonomische Bildung tut Not! #TestGate",14,23,156
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-29T11:05:49.000Z,"„Dass die Politik dank ihrer Steuern handlungsfähig ist, sollte nichts sein, wofür man sich als Politiker rühmt, wenn man diese Mittel auszahlt.“FDP-Chefin: Mehr Demut beim Ausgeben von Steuergeld
Regierungspolitiker sollten Millionensummen im Kampf gegen die Corona-Pandemie aus Sicht der FDP mit weniger großer Geste ausgeben. Sie wünsche sich mehr Demut, sagte Landeschefin Linda Teuteberg dem...
morgenpost.de",,,18
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-29T10:03:35.000Z,"„Keine Basis für Zusammenarbeit: SPD-Chefin Esken sieht CDU ohne jeden Kompass“

Regieren die nicht zusammen?Keine Basis für Zusammenarbeit: SPD-Chefin Esken sieht CDU ohne jeden Kompass
Der Bundestagswahlkampf läuft und in Sachsen-Anhalt steht die Landtagswahl unmittelbar bevor. SPD-Chefin Saskia Esken geht daher deutlich auf Distanz zur CDU. Die Partei sei ohne jeden Kompass - eine...
rnd.de",12,7,90
Fraktion der Freien Demokraten,@fdpbt,2021-05-29T09:20:33.000Z,"#Deutschland steht eine Beschleunigungs-Phase bevor. Dazu gehört es, #Bildung, #Wirtschaft & Staat zu transformieren. Vor welchen #Transformationen steht die Wirtschaft? Schaltet am Mittwoch um 19:00 live ein, wenn 
@c_lindner
 mit Gästen diskutiert: https://bit.ly/2SBUSHc",11,23,77
FDP Mecklenburg-Vorpommern,@FDP_MV,2021-05-28T17:50:55.000Z,"Viele Lockerungen, aber unsere Hochschulen bleiben zu. In diesem Semester soll weiterhin kein Regelbetrieb ermöglicht werden. Eine Test- und Impfstrategie für Studenten und weitere Hochschulangehörigen gibt es bisher nicht. Wir meinen: Hier wäre deutlich mehr möglich.",2,2,27
Martin Hagen,@_MartinHagen,2021-05-27T17:56:40.000Z,"Wir dürfen uns an den bevormundenden Verbotsstaat nicht gewöhnen, sondern müssen wieder die Eigenverantwortung des mündigen Bürgers stärken.  Interview in der Abendzeitung: http://tinyurl.com/AZ270521",84,209,1.1K
Oliver Luksic,@OlliLuksic,2021-05-28T06:12:26.000Z,"Bund riskiert den Logistikstandort Deutschland, den versprochenen Ausgleich für den nationalen CO2 Preis gibt es weiter nicht.FDP: Bund riskiert den Logistikstandort Deutschland
Die deutschen Spediteure fordern Beihilfen wegen der hohen Spritkosten durch die CO₂-Bepreisung. Doch die Bundesregierung zögert. Die FDP schlägt Alarm.
rnd.de",1,3,15
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-27T12:04:42.000Z,"12% bei YouGov. Wahlrecht.de
@Wahlrecht_de
 · May 27
Sonntagsfrage von YouGov zur Bundestagswahl: CDU/CSU 26 % | GRÜNE 22 % | SPD 15 % | FDP 12 % | AfD 11 % | DIE LINKE 7 % | Sonstige 7 %
➤ Übersicht: https://wahlrecht.de/umfragen/
➤ Verlauf: https://wahlrecht.de/umfragen/yougov.htm… #btw21 #btw",2,1,35
Fraktion der Freien Demokraten,@fdpbt,2021-05-27T07:56:13.000Z,"Nach dem #Impfgipfel muss klar sein, wann der digitale #Impfpass kommt. Das Thema ist nicht neu & Deutschland hat es trotzdem nicht geklärt. Die EU einigte sich schon auf einen Pass & wir laufen weiter mit unserem unpraktischen, alten gelben Heft herum, das leicht fälschbar ist.",70,28,144
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-27T06:44:21.000Z,"„Für diesen Höhenflug gibt es sieben handfeste Gründe.Grund 1: Geschlossenheit.“Mehr Demut, weniger Selbstherrlichkeit – der Aufstieg Lindners hat sieben Gründe
Die FDP fliegt in allen Umfragen hoch. Sie hat AfD und Linkspartei hinter sich gelassen und würde nach jetzigem Stand auch das Bundestagswahlergebnis von 2017 um 2,3 Prozentpunkteübertreffen. Für...
focus.de",2,2,24
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-26T17:37:00.000Z,"Starke Umfragewerte für die 
@FDP_LSA
! Viel Erfolg kommende Woche!Wahlrecht.de
@Wahlrecht_de
 · May 26
Sonntagsfrage zur Landtagswahl in Sachsen-Anhalt (#ltwst) • INSA/BILD: AfD 26 % | CDU 25 % | DIE LINKE 13 % | GRÜNE 11 % | SPD 10 % | FDP 8 % | Sonstige 7 %
➤ Verlauf: https://wahlrecht.de/umfragen/landtage/sachsen-anhalt.htm…
 Nächste Landtagswahl: 6. Juni 2021 #ltwlsa #ltwlsa21",3,1,39
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-26T16:35:11.000Z,"Dass die Landesregierung sich jetzt als Retter der Werften aufspielt, weil sie Steuergelder für eine Werft riskiert, während die anderen unter schlechter Standortpolitik leiden, ist heuchlerisch.",,,7
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-26T16:33:41.000Z,"Es gab die klare Zusage an alle Steuerzahler, dass ohne eine positive Fortführungsperspektive keine weiteren Steuergelder ausgezahlt werden. Diese Zusage hat Wirtschaftsminister Glawe nicht eingehalten. #MVWerftenMV-Werften durch Millionenspritze vorerst gerettet
Die MV-Werften mit Standorten in Wismar, Warnemünde und Stralsund sind vorerst gerettet. Der Bund stellt rund 300 Millionen aus dem Wirtschaftsstabilisierungsfonds zur Verfügung. Damit sollen die...
ndr.de",1,1,10
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-26T15:54:50.000Z,"„Es sollte das Interesse aller sein, ein Programm für die Aufholjagd zu starten. Wenn die Wirtschaftsleistung schrumpft, reduzieren sich auch die sozialen und ökologischen Gestaltungsideen.“Deutschlands Wirtschaft braucht Impulse für Wachstum
Die Wirtschaftsleistung in Deutschland ist zu Jahresbeginn stärker geschrumpft als zunächst angenommen. Demnach hat vor allem der zweite Corona-Lockdown die deutsche Wirtschaft stark ausgebremst. „Es...
liberale.de",1,,4
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-26T13:33:33.000Z,"Der neue MV-Perspektivplan für die #Kultur ist vor allem eins: ein Plan der Perspektivlosigkeit für alle Menschen, die gerne Kultur mit allen Sinnen genießen.MV-Perspektivplan ist geplante Ausschaltung von gelebter Kultur
Der neue MV-Perspektivplan für die Kultur ist für den Abgeordneten Hagen Reinhold vor allem eins: ein Plan der Perspektivlosigkeit für alle Menschen, die gerne Kultur mit allen Sinnen genießen.
hagen-reinhold.de",,,2
Marco Buschmann,@MarcoBuschmann,2021-05-26T08:30:43.000Z,"Wer mehr über digitales #Campaining lernen möchte, ist hier richtig!Nina Monaghan
@ninamonaghan
 · May 25
Wer immer schon mehr über #Campaigning erfahren wollte, hat am Donnerstag die ultimative Gelegenheit. Jetzt anmelden unter http://freiheit.org/dcc #dcc 
@FNFreiheit",,7,15
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-26T09:40:40.000Z,"Keine Perspektive für Clubs... - Bettina Martin (SPD): „Tanzveranstaltungen müssen noch warten“Kultur-Öffnungen in MV: Museen, Kinos, Konzerte, Theater, Clubs - was öffnet wann?
Mit vielen kleinen Schritten soll der Kulturbereich in Mecklenburg-Vorpommern wieder starten. Dabei gelten zunächst strenge Publikumsgrenzen und weitere Auflagen. Nicht für alle Branchen gibt es...
ostsee-zeitung.de",,,2
