User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Rita Schwarzelühr-Sutter,@rischwasu,2021-05-29T07:33:56.000Z,"Welch ein Verlust nicht nur für die Wissenschaft, sondern für die Gesellschaft. Er war so klug, begeisternd, humorvoll-beeindruckend. Mein Mitgefühl gilt seiner Familie.Frankfurter Allgemeine
@faznet
 · 13h
Sein Weg führte ihn über die EZB bis zur Hertie School of Governance. Vor allem aber war Henrik Enderlein Europäer – der ein unverbrüchliches Band zwischen Deutschland und Frankreich für unabdingbar hielt. Ein Nachruf von Gerald Braunberger. https://buff.ly/3vs3Fdv",,,1
Bundesumweltministerium,@bmu,2021-05-28T09:35:17.000Z,"Klimaschutzmaßnahmen, Wiederherstellung von Wäldern und anderen Ökosystemen & Schutz der Biodiversität : 2020 hat das BMU insgesamt 385 Projekte in Entwicklungs- und Schwellenländern mit 601,2 Mio. Euro aus der 
@iki_bmu
 gefördert. https://bmu.de/PM9607 
@rischwasu",3,3,10
Rita Schwarzelühr-Sutter,@rischwasu,2021-05-28T11:49:31.000Z,"Verlässlichkeit und Glaubwürdigkeit sieht 
@cducsubt
 sieht anders aus! #Naturschutz bei #CDUCSU gibt’s nur in Sonntagsreden.Kai Niebert
@kainiebert
 · May 28
Kein guter Tag für : In  lässt @CDU Insektenschutz im @bundesrat auflaufen und in  bremsen Agrarminister @EU_Commission und @EUparliament bei Reform der #FutureofCAP für #greendeal aus.
#planetaregrenzen sind überschritten. Re(a)giert endlich – und zwar zukunftsfähig! twitter.com/JochenFlasbart…",,,1
Achim Steiner,@ASteiner,2021-05-26T21:25:46.000Z,"It’s time to join the energy revolution and sign up to an Energy Compact ahead of the 
@UN
 High-level Dialogue on Energy #HLDE2021. 

Together we can achieve #SustainableEnergy for all and avoid the worst effects of the #ClimateEmergency. http://ow.ly/R05u50EVPIz",,18,56
Rita Schwarzelühr-Sutter,@rischwasu,2021-05-26T11:50:31.000Z,"#machenstattreden  Spielerisch #Klimaschutz lehren und lernen #teachersforfuture 
@gew_bund
 @ErzieherInnen
 @KleineForscherNationale Klimaschutzinitiative (NKI)
@NKI_BMU
 · May 26
Spielebox zum Thema #Klimaschutz  Die Projektpartner Ecomove International e.V. & @geobound haben für Schüler*innen ein Escape Game zu Nachhaltigkeitsthemen entwickelt – mit Förderung vom @bmu  Infos zum Projekt „Escape Climate Change expanded“: http://ow.ly/gv8850EKD0h",,,3
Rita Schwarzelühr-Sutter,@rischwasu,2021-05-25T20:35:34.000Z,"Richtig gute und sachliche Doku über #Wolf #Naturschutz #Landwirtschaft #Weidetiere Jetzt im ⁦
@ZDF
⁩ https://zdf.de/dokumentation/dokumentation-sonstige/hannes-jaenicke-im-einsatz-fuer-den-wolf-100.html…Hannes Jaenicke: Im Einsatz für den Wolf
Seit rund 20 Jahren ist der Wolf wieder heimisch in Deutschland. Ein Comeback, das niemanden kaltlässt. Die Tiere fühlen sich hier wieder wohl.
zdf.de",,2,5
Die Elektroindustrie,@ZVEIorg,2021-05-20T07:32:43.000Z,"Fortschritt & Verantwortung: Wie sieht #Nachhaltigkeit in der Elektro- & Digitalindustrie aus? Welchen Beitrag kann die Branche leisten? 
In unserer Kampagne stellen wir das vor - anhand der ökonomischen, ökologischen & sozialen Dimension.
https://zvei.org/themen/nachhaltigkeit/fortschritt-und-verantwortung-nachhaltigkeit-in-der-elektro-und-digitalindustrie… 
@rischwasuSchneider Electric and 4 others",,1,3
DBU,@umweltstiftung,2021-05-17T07:56:43.000Z,"Vorfreude: Bundespräsident Frank-Walter Steinmeier & die #DBU laden am 10.&11. Juni in den Park von Schloss Bellevue zur #WochederUmwelt ein. Gespannt auf nachhaltige Zukunftsvisionen sind DBU-Chef 
@AlexBonde
 & die DBU-Kuratoriumsvorsitzende 
@rischwasu
. https://woche-der-umwelt.de",1,5,16
OliverWeinrich,@officewerk,2021-05-13T16:06:48.000Z,"Aargauer Zeitung: Klimaschutz - So will die Gemeinde Stein zur «Klimaoase» werden – und die Mega-Sommer der Zukunft erträglicher machen.
https://aargauerzeitung.ch/aargau/fricktal/klimaschutz-so-will-die-gemeinde-stein-zur-klimaoase-werden-und-die-mega-sommer-der-zukunft-ertraeglicher-machen-ld.2135988…

über 
@GoogleNews
@rischwasuKlimaschutz - So will die Gemeinde Stein zur «Klimaoase» werden – und die Mega-Sommer der Zukunft...
Grosser Bahnhof für einen noch kleinen Baum: Schweizer und deutsche Politprominenz war im Fricktal zu Gast bei der Pflanzung einer Silberlinde. Sie ist Teil des Projekts «Klimaoase» und soll an ihrem...
aargauerzeitung.ch",,1,1
Rita Schwarzelühr-Sutter,@rischwasu,2021-05-12T21:14:13.000Z,"Unterschätzt https://zeit.de/2021/20/olaf-scholz-spd-parteitag-bundestagswahl-respekt-wahlkampf?wt_zmc=sm.ext.zonaudev.twitter.ref.zeitde.share.link.x… via 
@zeitonlineOlaf Scholz: Unterschätzt
Ehrlicher Respekt und echte Geschlossenheit – Olaf Scholz könnte nicht nur Retter der SPD, sondern auch Bundeskanzler werden. Im Ernst? Ja, doch.
zeit.de",,1,4
