User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Sören Bartol,@soerenbartol,2021-05-27T11:48:44.000Z,"Freu mich, dass 2020 deutlich mehr gebaut wurde. Wohnungspolitik des Bundes wirktAber auch Bauüberhang steigt - umso wichtiger, dass #Bundesrat morgen #Baulandmobilisierungsgesetz zustimmt, damit Kommunen sagen können: Wer Baugenehmigung hat, muss bauen!Baufertigstellungen von Wohnungen im Jahr 2020: +4,6 % gegenüber Vorjahr
Im Jahr 2020 wurden in Deutschland 306 376 Wohnungen fertiggestellt. Wie das Statistische Bundesamt (Destatis) weiter mitteilt, waren das 4,6 % oder 13 374 mehr als im Vorjahr. Der im Jahr 2011...
destatis.de",1,,6
Hubertus Heil,@hubertus_heil,2021-05-27T05:08:01.000Z,"Kluger Kommentar in der ⁦
@tazgezwitscher
⁩ von Stefan Reinecke.Habecks Äußerungen zur Ukraine: Falsch und gefährlich
Robert Habeck wollte in der Ukraine wohl zeigen, dass die Grünen ihr pazifistische Erbe wirksam entsorgt haben. Das ging komplett schief.
taz.de",12,20,99
Wolfgang Schmidt,@W_Schmidt_,2021-05-26T19:19:15.000Z,"Das war ein langer Ritt. Aber am Ende ist es gut geworden (finde ich). 1000 Dank an die KollegInnen, die hier im 
@BMF_Bund
 daran gearbeitet haben, an 
@CarstenBrosda
 & die anderen Länder (
@klauslederer
 @BettinaMartin4
 …), die Verbände (
@olaf_zimmermann
 @JensMichow
). #KulturlebtBMF
@BMF_Bund
 · May 26
Der #Sonderfonds für #Kulturveranstaltungen ist das größte Kulturförderprogramm seit Gründung der Bundesrepublik, so Bundesfinanzminister @OlafScholz. Künstlerinnen und Künstler haben in dieser Pandemie eine besondere Last zu tragen, wir unterstützen sie jetzt.",5,16,101
SPD-Fraktion im Bundestag,@spdbt,2021-05-25T14:32:04.000Z,".
@soerenbartol
 zur geplanten Fusion von #Vonovia und #DeutscheWohnen: ""Ich erwarte, dass der Großkonzern seiner enormen gesellschaftlichen Verantwortung gerecht wird und der Mieterschutz nach der Fusion ganz oben auf der Agenda steht."" SPD-Fraktion zu Fusion: Vonovia muss mehr Wert auf Mieterschutz legen
Wegen der Fusion des Immobilienkonzern Vonovia mit der Deutsche Wohnen fordert die SPD-Fraktion das Unternehmen zu mehr Mieterschutz auf. Die geplante Milliarden-Übernahme bedeute eine starke...
rnd.de",20,6,22
Carsten Schneider,@schneidercar,2021-05-21T18:39:34.000Z,"Es macht einen Unterschied, wer regiert! 
@OlafScholz
 @spdde
 @spdbtBrian Deese
@BrianDeeseNEC
 · May 21
“Germany has warmly welcomed a United States proposal that calls for corporations around the world to pay at least a 15% tax on their earnings.”
https://cnb.cx/3fuuWFq",3,7,50
"Timon Gremmels, MdB",@Timon_Gremmels,2021-05-18T06:41:33.000Z,"Weiter so! „
@OlafScholz
 schaffte es am Montagabend, sich nicht nur nicht aus der Ruhe bringen zu lassen – er wirkte sogar regelrecht vergnügt in der Diskussion. Da könnte sich CDU-Kanzlerkandidat Armin Laschet [...] , mehr als eine Scheibe abschneiden.“Olaf Scholz punktet im Kandidaten-Duell gegen Annalena Baerbock
Beim ersten Aufeinandertreffen der Spitzenkandidaten im Politiktalk des rbb geht es recht harmlos zu. Nur beim Co2-Preis gibt es ein bisschen Streit.
berliner-zeitung.de",4,6,33
Scholz Ultraz,@OUltraz,2021-05-11T07:47:48.000Z,"Warum gerade beim Thema Fliegen so unkonkret, 
@Die_Gruenen
?",16,128,663
Lars Klingbeil,@larsklingbeil,2021-05-14T10:47:57.000Z,"Liebe 
@Die_Gruenen
 - was soll das? Wir müssen doch die Aufklärung vorantreiben. Das sind wir den Opfern schuldig. Schade dass ihr auf Bundesebene anders redet als ihr vor Ort handelt.Petition mit 120.000 Unterschriften: Grüne und CDU stimmen gegen Freigabe der NSU-Akten
Eine Petition zur Öffnung der brisanten hessischen NSU-Geheimakten ist am Veto von Grünen und CDU gescheitert. Die grünen Bundesvorsitzenden Baerbock und Habeck stimmten die Hessen nicht um.
hessenschau.de",99,171,969
Klara Geywitz,@klara_geywitz,2021-05-13T19:35:26.000Z,"„Aus dem sozialdemokratischen Finanzminister... ist ein K-Kandidat geworden, der die Union in der Haushalts- und Krisenpolitik blass aussehen lässt.“  Für Olaf Scholz läuft es gerade ganz gut.
via 
@szSPD-Kanzlerkandidat: Für Olaf Scholz läuft es gerade ganz gut.
Für SPD-Kanzlerkandidat und Finanzminister Olaf Scholz läuft es gerade ganz gut. Das liegt auch am Corona-Virus.
sueddeutsche.de",38,53,288
Katja Mast,@KatjaMast,2021-05-11T04:18:26.000Z,"10 Millionen Menschen in  verdienen weniger als 12 Euro pro Stunde - für harte, anständige Arbeit. Sie haben mehr verdient! Wir als 
@spdde
 wollen den #Mindestlohn von mind. 12€! Eine Frage des Respekts. 
@hubertus_heil
 bei 
@hartaberfair
. #ausRespektThe media could not be played.
Reload
From 
hart aber fair",65,56,306
Patrick Dahlemann,@Dahlemann,2021-05-10T15:31:32.000Z,"Passend zum Tag der #Kinderbetreuung mit 
@soerenbartol
 im Zentrum für Erlebnispädagogik und Umweltbildung in Ueckermünde zu Gast. Wir sprachen über die Greif, Wappen & weitere Investitionen.

Danke an alle Kräfte für so viel Leidenschaft.",1,2,9
tagesschau,@tagesschau,2021-05-09T16:25:40.000Z,"Kommentar zur SPD: Zwischen Chance und Untergang http://tagesschau.de/kommentar/spd-scholz-127.html… #SPD #Bundestagswahl2021 #ParteitagKommentar zur SPD: Zwischen Chance und Untergang
Scholz wirbt mit seiner Regierungserfahrung - und überrascht mit Selbstironie und Bissigkeit, meint Georg Schwarte. Die Partei hat der einst Verschmähte hinter sich - doch wird das am Ende reichen?
tagesschau.de",41,19,87
Sören Bartol,@soerenbartol,2021-05-09T14:53:28.000Z,"Kompetenz, Führungsstärke, Solidarität - Das war eine starke Rede von 
@OlafScholz
  Er hat die Ideen und die Erfahrung die unser Land, die Deutschland und die Menschen brauchen! #ausRespekt #spdbpt21 #spd",6,4,64
Serkan Agci,@Serkan_Agci,2021-05-09T13:38:00.000Z,"Kompliment 
@RaphaelBrinkert
 und 
@larsklingbeil
. Visuell ist dieser Parteitag ein Quantensprung.",1,4,116
SPD Parteivorstand,@spdde,2021-05-09T08:52:21.000Z,"Wir freuen uns auf einen spannenden digitalen Parteitag und den Start in den Wahlkampf: #AusRespekt vor Deiner Zukunft. Sei live dabei! #spdbpt21SPD Parteivorstand
@spdde
Sei live dabei beim SPD-Parteitag!",61,78,152
Sören Bartol,@soerenbartol,2021-05-09T09:09:50.000Z,"Klasse Eröffnung 
@larsklingbeil
  #spdbt21 #spd",1,1,44
Serpil Midyatli,@SerpilMidyatli,2021-05-09T08:53:28.000Z,"Gleich get es los, sei dabei! 
@OlafScholz
 #ausRespekt #spdbpt21SPD Parteivorstand
@spdde
 · May 9
Gleich gehts los!!  In weniger als einer Stunde beginnt unser Bundesparteitag - und wir haben richtig Bock!   
#spdbpt21 #ausRespekt",,1,14
Sören Bartol,@soerenbartol,2021-05-07T18:54:34.000Z,"Die SPD setzte im Bund heute einen Stopp des Geschäftsmodells der #Umwandlung von Miet- in Eigentumswohnungen durch! 
 in #BaWü und  in Schleswig-Holstein hingegen bekennen sich im Bundesrat nicht zu diesem besseren Schutz von bezahlbarem Mietwohnraum!  2/4 
@SPDSH",3,3,26
SPD-Fraktion im Bundestag,@spdbt,2021-05-07T10:33:54.000Z,"Umwandlungen sollen Mieter:innen helfen, Eigentum zu bilden? ""Pure Fantasie!"", sagt 
@soerenbartol
. Überteuerte Eigentumswohnungen kann sich niemand leisten! ""Es geht nur ums schnelle Geld: Einkaufen, umwandeln, modernisieren, weiterverkaufen. Und damit ist jetzt Schluss!""",3,10,35
Sören Bartol,@soerenbartol,2021-05-07T08:09:40.000Z,"Klimaprämie ist nur ein Placebo. Respekt hieße, pendelnde Pfleger nicht weiter mit zu schnell steigenden Kraftstoffpreisen zu drangsalieren. Die Ärztin im schicken Neubau braucht keine Klimaprämie. Deshalb: KlimaSoli für Besserverdienende. Entlastung unten - Belastung oben. #spd",19,16,58
Anke Rehlinger,@AnkeRehlinger,2021-05-06T13:49:56.000Z,"Der #ÖPNV-Rettungsschirm ist ein gemeinsamer Kraftakt, damit Bus & Bahn die Krise überleben. #Saarland hat als 1. Bundesland auch 2021 verlängert. Dank 
@OlafScholz
 gibt auch der Bund 1 Mrd. Euro. So sieht Machen und Kümmern aus, danke!",8,14,38
SPD-Fraktion im Bundestag,@spdbt,2021-05-05T13:09:23.000Z,"Wir brauchen einen zweiten #ÖPNV-#Rettungsschirm! Der Bund muss mit bis zu einer Milliarde Euro helfen, wenn die Länder ihre Hälfte der Schäden zahlen. 
@soerenbartol
: ""Es wäre fatal, wenn sich die Einbrüche bei den Passagierzahlen verfestigen und wir den ÖPNV kaputtsparen.""",1,8,18
Katja Mast,@KatjaMast,2021-05-05T06:46:23.000Z,"Das #Aufholpaket für die junge Generation ist heute im Kabinett: 2 Milliarden Euro für Teilhabe, Nachhilfe, soziales Lernen, Erholung mit der Familie & 100€ Bonus - das ist ein riesiger Schritt für die Zeit „nach Corona“ und eine sehr gute Zukunftsinvestition. 
@spdde
 @spdbt",29,23,117
Sören Bartol,@soerenbartol,2021-05-04T16:43:13.000Z,"Eine Regierung ohne SPD-Beteiligung ist mietenpolitisch eine Bedrohung für alle Menschen mit geringem und mittlerem Einkommen. Da lohnt ein Blick in die Landesregierungen ohne SPD Beteiligung - werde dazu in dieser Woche ein paar Service-Tweets machen 5/5 #spd 
@cducsubt",2,1,22
Sören Bartol,@soerenbartol,2021-05-04T16:43:12.000Z,"Das #Baulandmobilisierungsgesetz kommt!

Ich freue mich wirklich sehr, dass wir in der Koalition den Knoten bei diesem hart umkämpften Vorhaben durchschlagen haben! Da steckt so einiges drin für Mieter*innen und unsere Kommunen 1/5",5,15,71
Alexander Schweitzer,@Alex_Schweitzer,2021-05-04T09:34:59.000Z,"Wenn die selbst ernannten Nachlassverwalter wenigstens seinen Namen richtig schreiben würden...Cem Özdemir
@cem_oezdemir
 · May 4
Replying to @derya_tn and @NurderK
Würde es der Partei von Willi Brandt wünschen, dass sie wieder auf die Beine kommt. Befürchte aber, bei dem von der aktuellen Führung gewählten Weg, eine Art zweite Linkspartei zu werden, wird’s sehr schwierig.",6,13,182
Martin Habersaat,@martinhabersaat,2021-05-03T19:24:25.000Z,"„Die Zukunft werden wir nicht gewinnen, indem wir denken, es geht von alleine.“

Ein starker Auftritt von 
@OlafScholz
. Und in Teilen richtig witzig.Was nun, Herr Scholz?
Vizekanzler und Bundesfinanzminister Olaf Scholz will Kanzler werden – die SPD hat ihn bereits im August vergangenen Jahres als ihren Kanzlerkandidaten nominiert.
zdf.de",,7,42
