User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-05-20T07:25:50.000Z,"Sollte die #Duogynon-Studie staatliches Fehlverhalten aufdecken, halte ich die Einrichtung eines #Entschädigungsfonds für dringend notwendig. #bundestag #petitionsausschuss #petitionen https://nordbayern.de/politik/etwas-hoffnung-fur-die-duogynon-opfer-1.11083509… 
@BayernSPD_LG
 @spdbtThe following media includes potentially sensitive content. Change settings
View",,4,4
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-05-19T07:57:15.000Z,"Wir haben heute im #Petitionsausschuss einstimmig das 
@BMG_Bund
 zur Aufklärung im #Duogynon-Skandal aufgerufen. Die Ergebnisse der Studie müssen auch über einen #Entschädigungsfonds für die Opfer entscheiden. Jetzt brauchen wir Transparenz und Beteiligung der Betroffenen.The following media includes potentially sensitive content. Change settings
View",1,2,3
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-05-18T07:12:47.000Z,"Meine Sitzungswoche in #berlin. Im #Petitionsausschuss stehen wir nach langer Zeit vor einer Entscheidung der #Duogynon-#petition: Zeit für #aufklärung!! #BundestagThe following media includes potentially sensitive content. Change settings
View",1,,1
MVaK e.V. - Aus Abfall wird Kraftstoff.,@MVaK_eV,2021-05-12T14:47:22.000Z,"Heute wurden zwei Automaten zur Sammlung gebrauchter Speiseöle aus Haushalten in der Stadt Baiersdorf offiziell in Betrieb genommen. Martina Stamm-Fibich MdB und Landrat Alexander Tritthart waren bei der Inbetriebnahme vor Ort. 
@stamm_fibichJeder Tropfen zählt",,8,8
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-04-26T08:43:03.000Z,"Ich bin wirklich ""auf gut fränkisch gesagt stocksauer"". Die Betroffenen und Geschädigten brauchen jetzt Aufklärung, nicht wenn es der 
@cducsubt
 gerade mal wieder besser passt. https://nordbayern.de/politik/duogynon-skandal-cdu-wirkt-als-bremsklotz-im-ausschuss-1.11021210… #duogynon #Bundestag 
@BayernSPD_LGThe following media includes potentially sensitive content. Change settings
View",,1,3
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-04-22T14:50:40.000Z,"Wer sich mal ordentlich über die Impf-Aussichten der nächsten Monate informieren möchte, dem und der empfehle ich diese ""Simulation der COVID19-Impfkampagne"": https://zidatasciencelab.de/cov19vaccsim/ 
Wann haben wir wie viel von welchem Impfstoff? Usw. usw.
#coronavirus #impfengegencoronaThe following media includes potentially sensitive content. Change settings
View",,1,4
PKV-Verband,@pkv_verband,2021-04-22T12:15:00.000Z,"OnlineKongress: Über die Bedeutung der ärztlichen Versorgung für die Attraktivität des Wirtschaftsstandorts Mittelfranken diskutieren nächste Woche 
@fdp_hessel
, 
@UweKekeritz
, Christian Schmidt und 
@stamm_fibich
 auf Einladung der 
@vbw_bayern
.DhZ-Reihe zur Gesundheitsversorgung als Standortfaktor
Im Rahmen unserer Veranstaltung diskutieren wir, wie eine qualitativ hochwertige Gesundheitsversorgung die gleichzeitig bezahlbar ist flächendeckend gewährleistet werden kann
vbw-bayern.de",,2,1
Change.org Deutschland,@ChangeGER,2021-04-22T12:13:20.000Z," Nächste Woche: Vorstellung der Studie „Online-Petitionen als Partizipationsform der digitalen Zivilgesellschaft“ bei 
@FESonline
 + Panel mit 
@AntennaeDotDe
, 
@openDemokrat
 (
@openPetition
), 
@stamm_fibich
 (Petitionsausschuss) & unserem Kollegen 
@sebschuetz
https://fes.de/julius-leber-forum/artikelseite-julius-leber-forum/engagiert-politisch-digital…",,7,5
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-04-21T08:47:08.000Z,"Aufarbeitung eines möglichen Fehlverhaltens der Aufsichtsbehörden jetzt! Geben Sie Ihre Blockadehaltung der #Duogynon #Petition auf 
@cducsubt
. Wir müssen jetzt umfassend aufklären! https://medwatch.de/2021/04/21/duogynon-cdu-politiker-verzoegert-aufklaerung/?cn-reloaded=1… 
@BayernSPD_LG
@spdbt
@WN_RedaktionThe following media includes potentially sensitive content. Change settings
View",1,,4
EUROFORUM Health,@events_health,2021-04-20T11:16:42.000Z,"Auch die Politik kommt bei der 
@Handelsblatt
 Jahrestagung #hbpharma  zu Wort. Sie diskutieren über den Pharmastandort Deutschland im Super-Wahljahr – Förderpotential und Perspektiven.
Interessante Statements von:
@stamm_fibich
@TinoSorge
 @UllmannMdB
 @Dbrakmann",,3,5
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-04-19T14:02:07.000Z,"Teil 2 meiner Doppelsitzungswoche  #bundestag #berlinThe following media includes potentially sensitive content. Change settings
View",,,1
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-04-16T12:33:06.000Z,"Der erste #Bürgerrat #Klima geht an den Start! Frau Dr. Brill (Teilnehmerin des ersten Bürgerrates) aus #Erlangen habe ich dazu interviewt: „Wenn unsere Demokratie eine Zukunft haben soll, sind Bürgerräte ein Lebenselixier“ https://bit.ly/3dp1FfG",,,
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-04-12T12:12:58.000Z,"Teil 1 meiner Doppelsitzungswoche  #bundestag #berlinThe following media includes potentially sensitive content. Change settings
View",,,2
SPECTARIS,@spectaris,2021-03-03T16:09:34.000Z,"„Innovative Hilfsmittel müssen schneller in die #Regelversorgung und den #Patienten zur Verfügung stehen“, so die Patientenbeauftrage der 
@spdbt
 @stamm_fibich
 im gesundheitspolitischen Talk mit #SPECTARIS.",1,1,2
Uli Grötsch,@UliGroetsch,2021-03-03T11:25:09.000Z,"Die #AfD wurde zu recht als rechtsextremistischer #Verdachtsfall eingestuft, jetzt braucht das BfV bald freie Hand zur vollumfänglichen Beobachtung. Wir brauchen den ganzen Blick auf Abgeordnete, Kandidierende und ihr wahres Gedankengut sowie ihre Netzwerke im Hintergrund. #noafd",2,9,43
SPD-Fraktion im Bundestag,@spdbt,2021-03-03T10:29:13.000Z,"Das #Lobbyregister kommt! Nach dem Fall #Amthor haben die Korruptionsvorwürfe gegen Georg #Nüßlein den Widerstand in der Union wohl endlich gebrochen. Für 
@DirkWieseSPD
 ist das ""ein Meilenstein bei der Transparenz und Nachvollziehbarkeit von politischer Interessenvertretung.""",32,34,144
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-03-02T18:58:54.000Z,"Mehr auf meiner Website: http://stamm-fibich.de/4584/eine-grosse-enttaeuschung/… #Petition #Bundestag #pflegeThe following media includes potentially sensitive content. Change settings
View",,,
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-03-01T16:39:37.000Z,"Pet-Übergabe heute: Kein Panzerübungsplatz der 
@bundeswehrInfo
 neben Nachsorgeklinik für krebskranke Kinder. Macht Sinn, vor allem weil vor wenigen Jahren bereits ein Übungsplatz geschlossen wurde, der weit genug weg war. 
@BMVg_Bundeswehr
 @rischwasu
 @spdbt
 @BayernSPD_LGThe following media includes potentially sensitive content. Change settings
View",,1,3
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-03-01T10:56:33.000Z,"Teil 2 der Doppelsitzungswoche #BundestagThe following media includes potentially sensitive content. Change settings
View",,,3
"Martina Stamm-Fibich, MdB",@stamm_fibich,2021-03-01T08:58:47.000Z,"Pflegepetition des 
@sternde
 im livestream heute ab 14 Uhr auf http://bundestag.de mit unserer Pflegeexpertin Heike Baehrens und 
@jensspahn
. Gewinnmaximierung in der #pflege muss endlich ein Ende haben. #bundestag #Petition #Gesundheitssystem 
@spdbt
 @BayernSPD_LGThe following media includes potentially sensitive content. Change settings
View",,1,1
