User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Thomas Lutze,@thlutze,2019-04-28T07:25:03.000Z,https://facebook.com/story.php?story_fbid=2301236563274406&id=788750901189654…,,,
Thomas Lutze,@thlutze,2019-04-21T10:59:58.000Z,Frohe Ostern! https://facebook.com/story.php?story_fbid=2290571117674284&id=788750901189654…,,,1
Thomas Lutze,@thlutze,2019-04-15T12:45:28.000Z,Hinweis: Die für Mittwoch angekündigte Eröffnung meines Saarbrücker Wahlkreisbüros verschiebt sich um eine Woche auf den 24. April.,,,
Thomas Lutze,@thlutze,2019-04-10T09:33:18.000Z,"Gestern haben sich Vetreter aller saarländischen Kommunen in Berlin versammelt, um vom Bund Gleichberechtigung mit den vom Kohleausstieg betroffenen Tagebauregionen zu fordern. Ich unterstütze ihre Forderungen.... https://facebook.com/788750901189654/posts/2273414959389900/…",,,
Thomas Lutze,@thlutze,2019-03-26T13:02:07.000Z,https://facebook.com/story.php?story_fbid=2250546451676751&id=788750901189654…,,,
Thomas Lutze,@thlutze,2019-03-24T08:07:06.000Z,"Heute vor 20 Jahren: Deutschland beteiligte sich erstlams seit 1945 wieder an einem Krieg und brach dafür sogar auch das Völkerrecht.Mehr Brandt wagen!
Am 24. März 1999 begann die NATO ihren völkerrechtswidrigen Krieg gegen Jugoslawien. Vom Bruch des Völkerrechts und des Grundgesetzes durch die damalige...
facebook.com",2,8,16
Thomas Lutze,@thlutze,2019-03-23T21:13:24.000Z,Inhalte.,,,
Thomas Lutze,@thlutze,2019-03-22T19:45:59.000Z,https://facebook.com/story.php?story_fbid=2245024378895625&id=788750901189654…,,,
Thomas Lutze,@thlutze,2019-03-22T07:06:36.000Z,https://facebook.com/story.php?story_fbid=2244176255647104&id=788750901189654…,,,
Thomas Lutze,@thlutze,2019-03-21T14:21:44.000Z,"Ein gutes Rentenkonzept für Jung und Alt
2,8 Millionen Menschen leben schon heute in Altersarmut. In Deutschland, also in einem der reichsten Länder der Welt. Das ist absolut unerträglich,...
facebook.com",,,
Thomas Lutze,@thlutze,2019-03-20T12:23:25.000Z,Auch ich habe mich der Klage angeschlossen. Damit ca. 85.000 Menschen nicht noch einmal vom Wahlrecht ausgeschlossen werden. https://facebook.com/story.php?story_fbid=2241584919239571&id=788750901189654…,,,
