User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Thomas Gebhart MdB,@thomasgebhart,2021-05-21T07:35:33.000Z,"Gestern Abend habe ich eine Rede im #Bundestag zum #Infektionsschutzgesetz gehalten:Redebeitrag von Dr. Thomas Gebhart (Parlamentarischer Staatssekretär...
Infektionsschutzgesetz
webtv.bundestag.de",,,2
Jens Spahn,@jensspahn,2021-05-06T07:38:21.000Z,"Zum zweiten Mal 7-stellig: Mit knapp 1,1 Mio Impfungen gestern sind nun über 25,4 Mio Deutsche (30,6%) erstgeimpft, 7,1 Mio (8,6%) haben einen vollen Impfschutz. Und mit über 200.000 Impfungen ein Tagesrekord bei den so wichtigen Zweitimpfungen.",306,136,1.5K
Jens Spahn,@jensspahn,2021-05-03T09:23:33.000Z,"Über 28 % (23,5 Mio) der Deutschen sind nun erstgeimpft, 6,65 Mio (8 %) haben einen vollen Impfschutz. Das waren also über 1,3 Mio Impfungen von Fr-So. In dieser Woche geht es mit erwarteten bis zu 5 Millionen weiteren Impfungen weiter.",226,121,1.2K
Thomas Gebhart MdB,@thomasgebhart,2021-04-30T07:49:51.000Z,"Rund 25 Prozent aller Deutschen haben inzwischen ihre Erstimpfung erhalten. Dies ist eine wichtige Marke und zeigt, dass wir auf einem guten Weg sind. Aktuell werden pro Tag im Schnitt fast sieben Menschen pro Sekunde geimpft.",,,11
Thomas Gebhart MdB,@thomasgebhart,2021-04-12T10:29:23.000Z,"Das ist respektlos!Hubertus Heil
@hubertus_heil
 · Apr 11
Die Konservativen haben jetzt die Wahl zwischen einem skrupellosen Zocker und einem nervösen Zauderer. Für Deutschland sind weder eine noch der andere eine gute Option.",4,,6
Thomas Gebhart MdB,@thomasgebhart,2021-03-24T11:06:57.000Z,"Respekt vor #AngelaMerkel. Sie hat einen Fehler erkannt und konsequent korrigiert!ntv Nachrichten
@ntvde
 · Mar 24
Merkel: Das war ein Fehler: ""Ruhetage"" zu Ostern werden gestoppt https://n-tv.de/newsletter/breakingnews/Ruhetage-zu-Ostern-werden-gestoppt-article22447459.html?utm_source=twitter&utm_medium=dlvr.it&utm_campaign=ntvde&utm_term=ntvde…",3,,5
Dominik C,@domiTse,2021-03-20T18:16:17.000Z,"Kurze Frage an 
@KreisGER
: ich hätte die Info vom Testzentrum so gelesen, dass sie keine Personen, die wahrscheinlich infiziert sind, testen möchten. Mit positivem Selbsttest soll ich aber hin? Oder nur wenn es nicht im Hals kratzt? 
@thomasgebhart
 @tobiaslindner
 @ThomasHitschler",1,1,
Thomas Gebhart MdB,@thomasgebhart,2021-03-14T19:54:38.000Z,Das habe ich so knapp noch nie erlebt. #ltwrlp21 Wahlkreis 51: 7398 zu 7393 ,,,1
Thomas Gebhart MdB,@thomasgebhart,2021-03-14T15:17:22.000Z,Noch sind die Wahllokale geöffnet #ltwrlp21,,,
Thomas Gebhart MdB,@thomasgebhart,2021-03-09T12:37:58.000Z,"2/2 In Wahlkampfzeiten ist bei einigen die Verlockung, sich auf Kosten anderer zu profilieren, größer als der Wille, gemeinsam Probleme zu lösen.",1,1,2
Thomas Gebhart MdB,@thomasgebhart,2021-03-09T12:37:34.000Z,"1/2 Thema Testen und Impfen: Im Moment scheint es bei manchen eine beliebte Übung zu sein, mit dem Finger immer nur auf andere zu zeigen. Vielleicht auch, um von eigenen Versäumnissen abzulenken.",1,1,2
Thomas Gebhart MdB,@thomasgebhart,2021-03-01T09:48:19.000Z,"Er war ein feiner und aufrichtiger Mensch — und ein großer Sozialpolitiker. Sehr traurigRalph Brinkhaus
@rbrinkhaus
 · Feb 28
Heute verstarb unser ehemaliger Kollege Karl Schiewerling. Er war in der @cducsubt lange einer der herausragendsten Sozialpolitiker.
Der Mensch stand immer im Mittelpunkt seines Handelns. Er war uns ein Freund. Wir sind sehr traurig. Unser tiefes Mitgefühl gilt seiner Familie.",,,1
BMG,@BMG_Bund,2021-02-20T13:45:12.000Z,"""70 Prozent Wirksamkeit heißt nicht, dass 30% der Menschen nicht geschützt sind. #AstraZeneca verbessert für alle Geimpfte den Schutz vor einem schweren COVID-19-Verlauf"", so 
@jensspahn
 im Townhall-Gespräch zum Thema #Corona-Schutzimpfung:Zusammen gegen Corona live - Ihre Fragen zur Corona-Schutzimpfung
Derzeit findet die bisher größte Impfkampagne in der Geschichte Deutschlands statt, und der Informationsbedarf der Menschen in Deutschland dazu ist groß. Um ...
youtube.com",122,28,156
BMG,@BMG_Bund,2021-02-12T10:00:07.000Z,97.770 Pakete mit Schutzmasken sind in allen deutschen #Pflegeheimen angekommen. Damit unterstützt der Bund die wichtige Arbeit des Pflegepersonals. Trotz #CoronaSchutzimpfung ist der Schutz von Pflegepersonal und Heimbewohner:innen eines unserer wichtigsten Ziele.,22,7,27
BMG,@BMG_Bund,2021-01-27T13:00:31.000Z,"FFP2-Masken werden im medizinischen Bereich nur einmal benutzt. Für den privaten Gebrauch ist laut dem BfArM bei richtiger Handhabung eine Wiederverwendung möglich. Hier zeigen wir, wie:

#Coronavirus #AHAFormel #Schutz",109,221,325
Thomas Gebhart MdB,@thomasgebhart,2021-01-27T09:37:16.000Z,Wir dürfen niemals vergessen!,,3,12
BMG,@BMG_Bund,2021-01-18T14:00:12.000Z,"Kinderbetreuung und Job bringen Familien in der Pandemie häufig an ihre Grenzen. Deswegen wird der Anspruch auf Kinderkrankengeld 2021 verdoppelt. „Wir wollen es Eltern ermöglichen, sich unkompliziert und ohne finanzielle Verluste um ihre Kinder zu Hause zu kümmern“, 
@jensspahn",72,15,48
Thomas Gebhart MdB,@thomasgebhart,2021-01-16T20:02:55.000Z,Der letzte Akt zu #cdupt21 #wegenmorgen Danke an die Organisatoren!!!,2,,5
Thomas Gebhart MdB,@thomasgebhart,2021-01-16T14:01:16.000Z,"Lieber Norbert, eine super Haltung. Danke!Norbert Röttgen
@n_roettgen
 · Jan 16
Ich danke allen, die mich unterstützt haben, und gratuliere @ArminLaschet ganz herzlich. Ich werde weiter für unsere #CDU arbeiten und unterstütze den neuen Vorsitzenden mit aller Kraft. Der interne Wettbewerb ist zu Ende!  #cdupt21",,1,7
Thomas Gebhart MdB,@thomasgebhart,2021-01-16T08:13:13.000Z,#cdupt21 - Stimmung im Hause Gebhart. #wegenmorgen,,,7
Thomas Gebhart MdB,@thomasgebhart,2021-01-15T17:28:22.000Z,#cdupt21 Super organisiert. Kompliment und Danke#wegenmorgen,,1,8
Thomas Gebhart MdB,@thomasgebhart,2021-01-13T14:10:30.000Z,"Es wird keine #Corona-Impfpflicht geben.
Wir haben unser Wort gegeben und dabei bleibt es. Es gilt, transparent und flächendeckend zur Impfung zu informieren und aufzuklären. Das Vertrauen der Bevölkerung ist das A und O. Diese Aussage gilt im Übrigen auch für #Pflegekraefte",6,6,15
Thomas Gebhart MdB,@thomasgebhart,2021-01-13T12:23:35.000Z,"Es war richtig, bei der Beschaffung des Impfstoffs gemeinsam europäisch vorzugehen. Das erläutert 
@jensspahn
 im #Bundestag sehr überzeugend 
@BMG_Bund
 @cducsubt",14,2,12
BMG,@BMG_Bund,2021-01-07T10:00:17.000Z,"Eine Impfpflicht wird es nicht geben. Nachrichten und Beiträge, die etwas anderes behaupten, sind falsch.

#Coronavirus #Impfung #Pandemiebekämpfung #Schutzimpfung",499,381,476
BMG,@BMG_Bund,2020-12-04T10:48:32.000Z,"""Alles ausnutzen, was erlaubt ist, bringt uns nicht durch die Krise. Was uns durch die Krise bringt, ist, dass Bürgerinnen und Bürger von sich aus sagen: Wir achten aufeinander. Das gilt auch an #Weihnachten."" 
@jensspahn
 im 
@morgenmagazinSpahn: ""europäische Impfstoffverteilung""
""Wir haben von Anfang an gesagt, dass wir die Verteilung des Impfstoffs in der EU gemeinsam machen"", so der Bundesgesundheitsminister Jens Spahn zur Pandemie.
zdf.de",81,25,117
Thomas Gebhart MdB,@thomasgebhart,2020-12-02T11:58:36.000Z,"#berlin 
@BMG_Bund",1,,
parleu2020de,@parleu2020de,2020-11-30T10:38:40.000Z,"@thomasgebhart
, Parliamentary State Secretary of 
@bmg_bund
, says that  has to tackle the challenge of #digitalisation. The #COVID19 pandemic has shown that the issue of a #SharedEuropeanDataSpace is crucial!

---
#parleu2020de #COSAC2020",,1,2
BZgA,@bzga_de,2020-11-26T08:49:15.000Z,"Infektionen mit dem #Coronavirus verursachen häufig #Husten und #Fieber. Aber auch viele weitere Symptome sind möglich. Die #BZgA informiert, welche Krankheitszeichen auf #COVID19 hinweisen und welche Komplikationen auftreten können. https://infektionsschutz.de/coronavirus/basisinformationen/symptome-und-krankheitsverlauf.html…",11,47,66
BMG,@BMG_Bund,2020-11-24T15:10:06.000Z,"„Wir wollen die #Quarantäne verkürzen, ohne ein zusätzliches Risiko einzugehen. Die neue Regelung bedeutet für die Betroffenen vier Tage weniger Einschränkungen. Das ist es wert“, so 
@jensspahn
 zum Beschluss der Gesundheitsministerkonferenz.",61,33,70
BMG,@BMG_Bund,2020-11-18T19:00:10.000Z,"Mit dem 3. #Bevölkerungsschutzgesetz unterstützen wir Krankenhäuser finanziell, damit sie in der #Corona-Pandemie die Patientinnen und Patienten bestmöglich versorgen können.",59,9,58
Thomas Gebhart MdB,@thomasgebhart,2020-11-18T12:39:02.000Z,"Ja! Wir brauchen in der Sache auch harte Debatten! Aber nein zu: Falschmeldungen, Krawall und Gewaltandrohungen!",1,1,8
Thomas Gebhart MdB,@thomasgebhart,2020-11-17T18:41:32.000Z,Die Entwicklung eines Impfstoffs gegen #Corona ist auf der Zielgeraden. Immer wieder werde ich gefragt: Wird es eine Impfpflicht geben? Nein! Eine #COVID19-Impfpflicht wird es in Deutschland nicht geben!,3,3,7
Thomas Bareiß,@Thomas_Bareiss,2020-11-14T09:02:20.000Z,"Hart haben wir dafür gekämpft  Überbrückungshilfe III  garantieret ab Jan 2021 Unternehmen in #Coronakrise #Hilfe & #Sicherheit. Super Nachricht für #Mittelstand von klein - GROSS, #Reisewirtschaft, #Tourismus  #AlarmstufeRot! 
@DEHOGA_BV
  @Tourismus_BTW
 @DRVDE
 @BMWi_Bund",20,10,48
DIE RHEINPFALZ,@rheinpfalz,2020-11-06T11:41:50.000Z,"#Gesundheits-#Staatssekretär 
@thomasgebhart
  rechtfertigt im #Rheinpfalz-Interview den Teil-#Lockdown: „Wir haben eine ernste Lage“ #Coronavirus #Rplus (arja)Gesundheits-Staatssekretär Gebhart rechtfertigt Teil-Lockdown: „Wir haben eine ernste Lage“ -...
Gesundheits-Staatssekretär Gebhart rechtfertigt Teil-Lockdown: „Wir haben eine ernste Lage“ - Pfalz-Ticker - DIE RHEINPFALZ
rheinpfalz.de",1,2,2
BMG,@BMG_Bund,2020-11-04T14:01:10.000Z,Mit den steigenden Infektionszahlen und der Reduzierung von Kontakten haben viele Menschen in Deutschland ihren Arbeitsplatz wieder nach Hause verlegt. Neben vielen Vorteilen stellt uns das #Homeoffice auch vor Herausforderungen. Wir geben Tipps für die Arbeit zuhause.,40,19,81
Thomas Gebhart MdB,@thomasgebhart,2020-10-30T11:40:52.000Z,"Wir wollen mit einem Hebammenstellen-Förderprogramm bis zum Jahr 2023 rund 600 zusätzliche Vollzeitstellen in den Krankenhäusern schaffen und extra finanzieren.
Teil 2 / 2",7,5,30
Thomas Gebhart MdB,@thomasgebhart,2020-10-30T11:37:18.000Z,"Wir wollen mit einem Hebammenstellen-Förderprogramm bis zum Jahr 2023 rund 600 zusätzliche Vollzeitstellen in den Krankenhäusern schaffen und extra finanzieren.
Teil 1 / 2",8,8,38
BMG,@BMG_Bund,2020-10-29T16:00:24.000Z,"„Wir schaffen 20.000 zusätzliche Stellen ohne die Pflegebedürftigen finanziell zu belasten. Das ist ein wichtiger Schritt in Richtung eines verbindlichen Personalbemessungsverfahrens in der stationären Altenpflege.“ 
@thomasgebhart
 zum #Versorgungsverbesserungsgesetz.",17,13,29
BMG,@BMG_Bund,2020-10-29T08:40:46.000Z,".
@jensspahn
 heute bei 
@WDR2
: ""Wenn wir uns jetzt einschränken, können wir Schlimmeres verhindern. Ich will nicht warten, bis die Intensivstationen überfüllt sind. Dann ist es zu spät."" Das ganze Interview finden Sie hier:Spahn auf WDR 2: ""November einer nationalen Kraftanstrengung""
Was bedeuten die neuen weitreichenden Corona-Einschränkungen? Eine halbe Stunde lang hat Bundesgesundheitsminister Jens Spahn (CDU) sich den Fragen der WDR 2 Hörer gestellt. Vor uns liege ""der...
wdr.de",101,41,244
BMG,@BMG_Bund,2020-10-01T18:02:35.000Z,"Im #Bundestag hat 
@JensSpahn
 heute den Etat seines Ministeriums für das kommende Jahr vorgestellt. Dabei betonte er, dass man Gesundheit nicht nur als Kosten, sondern als Investition in die Zukunft sehen müsse.Jens Spahn: „Eine starke Wirtschaft kann nur mit einem starken...
Im Bundestag hat Bundesgesundheitsminister Jens Spahn heute den Etat seines Ministeriums für das kommende Jahr vorgestellt. Dabei betonte er, dass man Gesund...
youtube.com",21,11,22
Thomas Gebhart MdB,@thomasgebhart,2020-09-23T10:05:11.000Z,"Bis zu 600 zusätzliche Hebammenstellen und unterstützendes Fachpersonal werden extra finanziert. Die Arbeitssituation der Hebammen und die Betreuung der schwangeren während der Geburt soll verbessert werden. Ich freue mich, dass das Bundeskabinett dies heute beschlossen hat.",,,
BZgA,@bzga_de,2020-09-22T08:13:12.000Z,"Alltagsmasken können als mechanische Barriere dazu beitragen, die Verbreitung durch virushaltige Tröpfchen zu reduzieren, die beim Sprechen, #Husten & #Niesen ausgestoßen werden. Mit einer richtig sitzenden #Alltagsmaske schützen wir uns gegenseitig: https://infektionsschutz.de/coronavirus/alltag-in-zeiten-von-corona/alltagsmaske-tragen.html…",27,118,230
Thomas Gebhart MdB,@thomasgebhart,2020-09-19T14:14:19.000Z,"Unser Spitzenkandidat 
@ChBaldauf
 hat sich heute wieder einmal viel Zeit genommen, um vor Ort zuzuhören, wo der Schuh drückt",,,2
Thomas Gebhart MdB,@thomasgebhart,2020-09-17T15:50:02.000Z,"Mein Appell an die Bundesländer: Wir brauchen mehr Studienplätze für #Medizin! Hier meine ganze Rede im #Bundestag.
#politik #mdb #zukunft #nachhaltigkeitRedebeitrag von Dr. Thomas Gebhart (Parlamentarischer Staatssekretär...
Nachhaltig leben und konsumieren
webtv.bundestag.de",,,
Paul-Ehrlich-Institut,@PEI_Germany,2020-09-15T12:24:03.000Z,"PEI-Präsident Prof. Klaus Cichutek heute auf der #Bundespressekonferenz: ""Die Zulassung hängt sehr stark vom Verlauf der Phase III-Studie ab. Hier werden keine Abstriche bei der Sicherheit gemacht, nur ein sorgfältig geprüfter #Impfstoff wird den Menschen zur Verfügung stehen.""",13,33,101
CDU/CSU,@cducsubt,2020-09-15T06:28:42.000Z,"Im #Bundestag dreht sich in dieser Woche alles um das Thema #Nachhaltigkeit. 
 Worum geht es genau? https://cducsu.de/themen/nachhaltigkeitswoche-im-bundestag…0:24
810 views",6,12,19
Thomas Gebhart MdB,@thomasgebhart,2020-09-09T13:51:31.000Z,"Das Bundespolizeirevier Bienwald bleibt erhalten. Künftig wird die Dienststelle in Kandel sein. Das ist eine gute Nachricht für #Kandel und die #Suedpfalz 
@NiedermeierM",,,2
CDU-Fraktion RLP,@CDUFraktionRLP,2020-09-08T14:21:04.000Z,"Wissenschaftsminister Wolf darf Hilferuf der 27 Senatsmitglieder der Universität Koblenz-Landau nicht überhören. Für die erfolgreiche Neustrukturierung der Universitäten muss das Land genug Geld bereitstellen. Meldung von 
@ma_schn
 https://cdu-fraktion-rlp.de/pressemitteilung/marion-schneid-fuer-die-erfolgreiche-neustrukturierung-der-universitaeten-muss-das…",,3,6
BMG,@BMG_Bund,2020-09-03T08:32:55.000Z,"2/2 ""Es ist gut, dass sich Krankenhäuser und Krankenkassen endlich en detail geeinigt haben, wie diese Leistung zielgerichtet durch Corona-Prämien finanziell anerkannt werden kann. Wir werden diesen Vorschlag der Selbstverwaltung gerne umsetzen,“ so 
@jensspahn
 weiter.",10,5,17
Thomas Gebhart MdB,@thomasgebhart,2020-09-03T13:13:06.000Z,"Heute auf der Krebskonferenz #ImprovingCancerCareEurope in Heidelberg. Der Kampf gegen Krebs ist für uns eine Priorität im Rahmen unser EU - Präsidentschaft und darüber hinaus. 
@DKFZ
 @BMG_Bund
 #Krebs #EU2020DE #EU2020BMG",,4,9
BMG,@BMG_Bund,2020-09-02T15:31:07.000Z,"""Klar geworden ist uns einmal mehr in dieser #Pandemie, wie wichtig ein funktionierendes Gesundheitswesen ist. Darauf reagieren wir mit dem Entwurf zum #Krankenhauszukunftsgesetz.“ 
@jensspahn
 in der heutigen Pressekonferenz zur Umsetzung des „Zukunftsprogramms Krankenhäuser“.",14,16,35
Thomas Gebhart MdB,@thomasgebhart,2020-09-02T13:21:27.000Z,"Ich habe mich zusammen mit Landrat Dietmar Seefeldt über die Arbeit im Corona-Testzentrum Landau informiert. Mir war es vor allem wichtig, den Mitarbeitern und Ehrenamtlichen Danke zu sagen. 
@Bundeswehr
 Landeskommando, DRK, DLRG und Gesundheitsamt: Respekt!",,,2
Thomas Gebhart MdB,@thomasgebhart,2020-07-05T15:25:19.000Z,Was hält Europa zusammen? Es sind auch die Partnerschaften zwischen Gemeinden. Glückwunsch zu 50 Jahre Partnerschaft Waldhambach im Elsass und Waldhambach in der Südpfalz!,2,,2
Thomas Gebhart MdB,@thomasgebhart,2020-07-03T11:37:57.000Z,"Elektronische #Patientenakte: sie kommt ab Anfang 2021. Vorteile für Patienten: erleichterte Information, bessere Versorgung und weniger Doppeluntersuchungen. Bundestag hat grünes Licht für Patienten-Daten-Schutz-Gesetz gegeben. #Bundestag",10,16,38
BMG,@BMG_Bund,2020-07-02T18:00:00.000Z,Heute wurde das Intensivpflege- und Rehabilitationsstärkungsgesetz (IPReG) beschlossen. Online haben wir dazu viele Zuschriften von Beatmungspatienten erhalten. Die wichtigen Fragen und Antworten haben wir hier für Sie zusammengefasst.,7,9,15
Thomas Gebhart MdB,@thomasgebhart,2020-06-19T10:13:52.000Z,"Antifa-Debatte im #Bundestag wirft ein Licht auf den Kern und das Selbstverständnis der Parteien. 
@cducsubt
 lehnen Extremismus, egal aus welcher Ecke, entschieden ab",,2,15
BMG,@BMG_Bund,2020-06-19T06:52:37.000Z,"Schwangere & stillende Frauen im Beschäftigungsverbot haben Anspruch auf volle Mutterschaftsleistungen – auch wenn sie zuvor in Kurzarbeit waren. Ein neues Orientierungspapier von 
@BMG_Bund
, 
@BMFSFJ
 & 
@BMAS_Bund
 gibt den Arbeitgebern nun mehr Klarheit:Volle Mutterschaftsleistungen auch während Kurzarbeit
Schwangere und stillende Frauen im Beschäftigungsverbot haben Anspruch auf volle Höhe der Mutterschaftsleistungen – auch wenn sie zuvor in Kurzarbeit waren
bundesgesundheitsministerium.de",4,12,47
Thomas Gebhart MdB,@thomasgebhart,2020-06-14T08:49:32.000Z,"Es ist gut, dass heute Nacht die Grenzkontrollen zwischen  und  wieder enden. Trotz Regen: Radeln für Europa. Respekt!",1,,7
BMG,@BMG_Bund,2020-06-13T07:09:47.000Z,"""Jeder, der die App aufs Handy lädt, hilft, das Virus einzudämmen.“ 
@JensSpahn
 sprach im Podcast der 
@faznet
 mit 
@akrobok
 über die #Corona-Warn-App und Lessons Learned aus der Krise. 
https://m.faz.net/podcasts/f-a-z-podcast-fuer-deutschland/jens-spahn-ich-bin-optimistisch-wir-haben-es-selbst-in-der-hand-16812643.html….F.A.Z. Podcast für Deutschland Jens Spahn im Interview: „Ich bin optimistisch, wir haben es selbst...
Der Gesundheitsminister zieht eine Zwischenbilanz, spricht über die Corona-App und beantwortet auch die Frage, ob er irgendwann mal Bundeskanzler werden möchte. Auch der Chaos Computer Club äußert...
m.faz.net",97,47,116
Thomas Gebhart MdB,@thomasgebhart,2020-06-10T11:56:52.000Z,"2/2 Durch die gute Entwicklung können die aktuellen Kontrollen auslaufen. Die Grenzschließungen waren für alle, denen die deutsch-französische Freundschaft am Herzen liegt, eine bittere Erfahrung.

Wir müssen uns in Zukunft innerhalb der EU in diesen Fragen besser abstimmen.",,1,1
Thomas Gebhart MdB,@thomasgebhart,2020-06-10T11:55:53.000Z,"1/2 Gut, dass die Grenzkontrollen zwischen Deutschland und Frankreich wieder enden! Am 15. Juni ist es so weit. Angesichts des Infektionsgeschehens ist die heute getroffene Entscheidung des Bundeskabinetts folgerichtig. Seit dem 16. Mai wurde noch stichprobenartig kontrolliert.",1,,3
