User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Thomas Jarzombek,@tj_tweets,2021-05-28T13:57:49.000Z,"Gestern Abend habe ich mit dem Chef-Virologen Prof. Jörg Timm der Heinrich-Heine-Universität Düsseldorf über die aktuelle Lage rund um #Corona gesprochen. Hier das Video dazuChef-Virologe Prof. Dr. Jörg Timm aus Düsseldorf zu aktuellen Fragen...
Virologe Prof. Dr. Jörg Timm ist der Chef des Instituts für Virologie an der Heinrich-Heine-Universität Düsseldorf. Hört, wie er die Situation rund um Corona...
youtube.com",1,,
Frank Sarfeld,@sarfeld,2021-05-11T09:58:38.000Z,"„Good luck. That’s sort of like trying to nail Jello to the wall“-Bill Clinton,8.3.2000
#Wackelpudding an die Wand nageln-
@schausten
 und Peter #Frey haben es bei #Baerbock versucht: #Wohlfühlversprechen, ohne dass irgendjemand ein Opfer bringen muss?Unglaubwürdig!
#Mallorcaurlaub",13,16,39
Thomas Jarzombek,@tj_tweets,2021-05-27T20:15:42.000Z,"Smarter move von Investoren, Dinos wie 
@exxonmobil
 von innen auf Nachhaltigkeit zu trimmen! I like. 
@handelsblatt
: Big Oil unter Druck: Die Ölkonzerne müssen sich neu erfindenBig Oil unter Druck: Die Ölkonzerne müssen sich neu erfinden
Gerichte verordnen mehr Klimaschutz, Investoren ziehen sich zurück, die Aktien geben nach. Exxon, Shell und Co. stehen vor einer historischen Zäsur.
handelsblatt.com",,1,3
Thomas Jarzombek,@tj_tweets,2021-05-26T21:15:11.000Z,"Wir werden 1.000 HPC-Standorte ausschreiben die entlang von Bundesfernstraßen aufgebaut werden. Mein Input dabei waren ein faires Preisregime für die Nutzer/innen und ein besonderer Blick darauf, dass auch in den Städten solche Ladestandorte errichtet werden. #sustainability",2,4,21
Steffen Seibert,@RegSprecher,2021-05-24T20:47:54.000Z,"Einmütige und klare Antwort des Europäischen Rates auf das inakzeptable Vorgehen der Führung von #Belarus. #EUCO #ProtasewitschBarend Leyts
@BarendLeyts
 · May 24
Conclusions on #Belarus adopted at #EUCO chaired by @eucopresident",49,51,242
Thomas Jarzombek,@tj_tweets,2021-05-16T09:58:32.000Z,"Ich würde gerne von 
@ABaerbock
 wissen: um wieviel sollen Flüge in Europa und nach Übersee verteuert werden? 
Inlandsflüge verursachen kaum mehr als 5-7% am Klimaeffekt des deutschen Flugverkehrs. Damit lässt sich also kein großer Effekt erzielen.Die Grünen: Annalena Baerbock will Kurzstreckenflüge auf Dauer abschaffen
Die Kanzlerkandidatin der Grünen kündigt ein Klimaschutzsofortprogramm an. Für Neubauten soll Solarpflicht gelten, kurze Flüge soll es ""perspektivisch"" nicht mehr geben.
zeit.de",39,22,95
Hermann Gröhe,@groehe,2021-05-14T17:10:11.000Z,"Danke!
Der Impf-Turbo macht den Unterschied!",3,6,47
Dr. Jan-Marco Luczak,@JM_Luczak,2021-05-14T06:28:56.000Z,"Man stelle sich das mal umgekehrt vor: Habeck würde den Hintergrund von Baerbock mit Kühen und Schweinen umreißen und sich selbst als Völkerrechtler darstellen. Der Aufschrei über sexistisches Machogehabe wäre - zurecht - groß. Aber Baerbock darf offensichtlich alles…
@cducsubtArgo Nerd
@argonerd
 · May 13
Sympathisch und unprätentiös!
Show this thread
The media could not be played.
Reload",33,85,737
Felix M. Hauffe,@FMH_EU,2021-05-14T11:46:40.000Z,"Die Mär von der „altbackenen Union“: Laut #Deutschlandtrend wünschen sich 28% der jüngeren Bundesbürger eine unionsgeführte Bundesregierung. Eine grüngeführte Regierung wünschen sich 26% der Jüngeren. 
@CDU",23,56,334
Thomas Jarzombek,@tj_tweets,2021-05-13T20:49:41.000Z,"Yeah! Endlich mal wieder gute Botschaften beim Fussball Armin Laschet
@ArminLaschet
 · May 13
Glückwunsch zum Pokalsieg – klasse Leistung, lieber @BVB! Der Pott ist zurück bei uns in Nordrhein-Westfalen – da, wo er hingehört. Auch wenn die schwarz-gelbe Party am Borsigplatz ausfällt, wünsche ich allen Borussinnen und Borussen viel Freude beim Feiern! #DFBPokal #BERLIN2021 twitter.com/landnrw/status…",1,,7
Christian Angermayer,@C_Angermayer,2021-05-13T12:32:41.000Z,"Tech will save the world. Not kill it.
#BTC #Bitcoin",25,48,298
