User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Dr. Tobias Lindner,@tobiaslindner,2021-05-29T08:30:20.000Z,"Daumen drücken!Manuel Sarrazin
@ManuelSarrazin
 · 3h
Jetzt gilt es! Ich freue mich über Eure Unterstützung gleich auf Platz 4 bei der #LMVHH @GRUENE_Hamburg #Bigday #harburg #Gruene #allesistdrin @GRUENE_Harburg",,,16
Dr. Tobias Lindner,@tobiaslindner,2021-05-27T15:11:58.000Z,"Word. Lorenz Hemicker
@hemicker
 · May 27
Wenn die SPD den Grünen einen außenpolitischen Schlingerkurs vorwirft klingt das so, als ob ein Elefant  mit Anlauf in einen Porzellanladen springt.",,2,67
Sergey Lagodinsky,@SLagodinsky,2021-05-26T18:06:44.000Z,"Klaus Remme von 
@DLF
 war mit #Habeck in der #Ukraine. Hier sein Kommentar. Und ja, Grüne haben immer was zu klären. Das macht uns stark Nach Waffenexport-Äußerungen - Habeck und die Grünen haben jetzt...
Deutsche ""Defensivwaffen"" für die Ukraine? Für einen Grünen eine riskante Position, kommentiert Klaus Remme die jüngsten Äußerungen von Co-Parteichef Robert Habeck. Doch Habecks Argumentation ist
deutschlandfunk.de",7,17,62
Dr. Tobias Lindner,@tobiaslindner,2021-05-25T06:14:25.000Z,"Lass uns mal über Systeme, die man häufig bei Operationsarten wie Verteidigung oder Verzögern einsetzt, also Panzerabwehr, Luftabwehr, diskutieren. Und dazu Minenräumung, Aufklärung.Fritz Felgentreu
@fritzfelgentreu
 · May 25
Oh spannend! Der @tobiaslindner kann mir bestimmt weiterhelfen, wie @diegruenen #Defensivwaffen definieren? #Ukraine https://faz.net/aktuell/politik/ausland/gruenen-chef-robert-habeck-fuer-lieferung-defensiver-waffen-an-ukraine-17357088.html…",14,10,58
Dr. Tobias Lindner,@tobiaslindner,2021-05-21T16:33:19.000Z,"Tja. So ist die Lage. Die Vier haben inhaltlich durchaus recht. Und das sage ich selten.Gordon Repinski
@GordonRepinski
 · May 21
SPD + Unions-Verteidiger|Haushälter rechnen mit @akk ab: „Sowohl die mangelnde+verspätete Kommunikation als auch nicht ausreichende Qualität der Antworten auf Fragen aus dem parlamentarischen Raum verwundern.“ Hier der Brief zu Großprojekten der @BMVg_Bundeswehr: @ThePioneerDe",6,7,42
Grüne im Bundestag,@GrueneBundestag,2021-05-20T16:59:14.000Z,"Der Umgang der Bundeswehr in Bezug auf die Diskriminierung von Menschen hinsichtlich ihrer sexuellen o. geschlechtlichen Identität ist ein dunkles Kapitel.

Wir gehen heute hier einen entscheidenden Schritt, was die Rehabilitierung betrifft.

– 
@tobiaslindner",5,3,26
Dr. Tobias Lindner,@tobiaslindner,2021-05-13T15:38:35.000Z,"Gemeinsam mit meinem Kollegen 
@MarkusTressel
 habe ich erneut die Belastung der militärischen Übungsräume abgefragt. Nach wie vor sind die Westpfalz und das Saarland überdurchschnittlich mit Fluglärm belastet. Wir brauchen endlich eine Kontigentlösung!Tobias hakt nach – Militärische Übungsflüge in Deutschland 2020
tobias-lindner.de",7,5,20
Dr. Tobias Lindner,@tobiaslindner,2021-05-13T07:09:39.000Z,"Offenbar nimmt der Kreml schon jetzt unser Versprechen einer wertegeleiteten Außenpolitik ernst. Als Grüne haben wir nichts gegen Russland, aber sehr wohl gegen Auftragsmorde, „gelenkte Demokratie“, politische Schauprozesse und NordStream 2.Putins grünes Grausen: Kreml-Kampagne gegen Baerbock!
Nach Experteneinschätzungen hat Moskau eine Kampagne gegen die Grünen gestartet – aus Angst vor der Nach-Merkel-Ära!
bild.de",4,22,99
Dr. Tobias Lindner,@tobiaslindner,2021-05-12T17:39:40.000Z,Am Samstag stellen BÜNDNIS 90/DIE GRÜNEN Rheinland-Pfalz die Landesliste zur Bundestagswahl auf. Ich bewerbe mich um Platz 2 und werbe um Euer Vertrauen! #Allesistdrin - auch für uns Grüne in Rheinland-Pfalz.,9,5,110
Omid Nouripour,@nouripour,2021-05-12T08:31:22.000Z,"Replying to 
@TErndl
 @ABaerbock
 and 
@cducsubtIhre Position zu #Israel als Staatsräson findest du hier: https://twitter.com/baks_bund/status/1389258856761597957?s=21….

Ich bitte dich und alle Umfrage-Nervösen in demokratischen Parteien: Thema ist zu ernst für Wahlkampf-Fakes. Lasst uns uns zusammen für Sicherheit Israels und dauerhaften Frieden einsetzen. (2/2)",2,13,92
