User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Griechenland Zeitung,@GRZeitung,2021-05-27T10:41:39.000Z,"Der Oppositionsparlamentarier vom Bündnis der Radikalen Linken Panagiotis Kouroumblis begrüßte in dieser Woche die Entscheidung der deutschen Partei Die Linke, den Anfang des 20. Jahrhunderts verübten Genozid an den Pontos-Griechen anzuerkennen.

https://griechenland.net/nachrichten/politik/29301-deutsche-partei-%E2%80%9Edie-linke%E2%80%9C-fordert-ankerkennung-des-genozids-an-pontos-griechen…",,4,5
Tobias Pflüger,@tpflueger,2021-05-28T09:38:20.000Z,"Der Völkermord an den Pontos-Griechen muss explizit anerkannt werden Die Bundesregierung muss sich für die Mitschuld und Mitverantwortung des Deutschen Reichs entschuldigen. Meine Rede am Gedenktag:Απόσπασμα από την εκπομπή «Περίμετρος» ΕΤ3 26.05.2021 , Δωδεκάπολις ,...
Απόσπασμα εκπομπή ΕΤ3 «Περίμετρος»για την κεντρική εκδήλωση μνήμης 19ης Μαΐου «Πόντος -Δικαίωμα στη Μνήμη» με κεντρικό ομιλητή Bernd Riexinger , Bundestagsab...
youtube.com",,1,3
Tobias Pflüger,@tpflueger,2021-05-27T11:32:09.000Z,"Wiedervorlage.taz
@tazgezwitscher
 · Sep 9, 2020
Die #Bundesregierung bestätigt: #AssimiGoita, Malis neuer Militärherrscher, ist ein alter Bundeswehrschüler. Er lernte in Deutschland 2008 und 2016. #Bundeswehr #Mali http://taz.de/Junta-Chef-in-Mali/!5713420/…",,,2
MDR AKTUELL,@MDRAktuell,2021-05-21T08:12:14.000Z,"Neue Rechtsextremismus-Vorwürfe beim #KSK – nach MDR-Informationen prüfen Verfassungsschutz und Militärischer Abschirmdienst verdächtige Verbindungen rund um die Firma Asgaard:Rechtsextremismus-Vorwürfe: Nachrichtendienste überprüfen Ex-KSK-Soldat | MDR.DE
Beim KSK gibt es neue rechtsextremistische Vorwürfe. Nach MDR-Informationen prüfen zwei Nachrichtendienste, ob ein ehemaliger KSK-Soldat Teil eines mutmaßlichen Netzwerkes rund um eine Sicherheitsf...
mdr.de",2,33,25
linksfraktion,@Linksfraktion,2021-05-20T19:30:51.000Z,"Rechtsextreme Strukturen zerschlagen, fordert 
@tpflueger
 »Der #MAD ist dafür aber denkbar ungeeignet: [Er] hat sich bisher eher um Ansehen der Bundeswehr gekümmert. Im Kampf gegen Rechtsextremismus hat er dagegen versagt […].«Tobias Pflüger, DIE LINKE: Rechtsextreme Strukturen zerschlagen
20.05.2021 Gegen rechtsextreme Netzwerke und Strukturen in der Bundeswehr muss hart vorgegangen werden. Der Militärische Abschirmdienst MAD ist dafür aber de...
youtube.com",3,5,8
junge Welt,@jungewelt,2021-05-20T14:57:15.000Z,"Seminare im Freizeitpark, Aufenthalt im Luxushotel: Mit den Ausgaben hat man es jahrelang nicht so genau genommen bei der Sondereinheit KSK. Unter Missachtung der Vergaberichtlinie wurden Aufträge in Millionenhöhe vergeben
@tpflueger
 fordert: KSK auflösenFeinstes Eigenleben
Neue Enthüllungen zu Spezialkräften der Bundeswehr. Elitesoldaten pflegten abgehobene Beschaffungspraxis
jungewelt.de",,10,9
Tobias Pflüger,@tpflueger,2021-05-12T09:33:25.000Z,"Die EU-Agentur für die maritime Sicherheit #EMSA hat eine Flotte aus Drohnen aufgebaut, die für Küstenwachen, Fischerei- oder Umweltbehörden der EU-Mitgliedstaaten aufsteigen. 
Auch aus Deutschland gab es zwei Anträge. 
Bald könnte eine #Ouranos in der Ostsee umherfliegen",,2,3
Tobias Pflüger,@tpflueger,2021-05-07T11:27:06.000Z,"Gemeinsam mit Menschen aus sozialen Bewegungen für Veränderungen kämpfen, das ist mir wichtig: Deshalb kandidiere ich wieder für Platz 4 der Landesliste von 
@die_linke_bw
 zur #Bundestagswahl2021. Hier ein Video-Einblick in meine Arbeit:Bewegung ins Parlament! • Tobias Pflüger, MdB, DIE LINKE - Tobias Pflüger
tobias-pflueger.de",,,2
nd.Aktuell,@ndaktuell,2021-05-04T17:00:01.000Z,"Verteidigungsministerin 
@akk
 kommt bei der #Munitionsaffäre der Elitetruppe im #KSK auf keinen grünen Zweig. Sie kann nur noch auf das Ende ihrer Amtszeit hoffen.Hoffen auf das Ende der Amtszeit
Erneut musste Annegret Kramp-Karrenbauer im Verteidigungsausschuss des Bundestages Fragen zum Umgang ihres Ministeriums mit dem KSK beantworten. Bei dessen Kommandeur wurden Handy und Laptop beschl...
neues-deutschland.de",,9,10
Daniel Lücking,@DanielLuecking,2021-05-04T16:50:57.000Z,"Die #Munitionsaffäre versucht 
@akk
 wohl auszusitzen. Die 650.000 Euro, die widerrechtlich vom #KSK ausgegeben wurden, landeten zum Teil im Umfeld des (mutmaßlich) rechtsradikalen #NaziOpa|s. 

Statements von 
@tobiaslindner
 , 
@tpflueger
 und 
@MAStrackZiUnklare Ausgaben des Verteidigungsministeriums
Bei der Befragung der Verteidigungsministerin Annegret Kramp-Karrenbauer im Verteidigungsausschuss sind unklare Ausgaben des Ministeriums aufgefallen. 650.000 Euro flossen zwischen 2014 und 2018 ab,...
neues-deutschland.de",1,3,10
