User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Gesa C. Teichert,@GesaCTeichert,2021-05-29T11:58:37.000Z,"Initiiert von 
@ulle_schauws
 wurde die 
@cducsubt
 in einem offenen Brief aufgefordert noch in dieser Legislatur die Diskriminierung von #Regenbogenfamilien zu beenden.

""Regenbogenfamilie: Paula hat zwei Mamas – oder doch nicht? | http://BRIGITTE.de"" https://brigitte.de/familie/regenbogenfamilie--paula-hat-zwei-mamas---oder-doch-nicht--12748420.html…BRIGITTE.de: Mode, Beauty & Rezepte
BRIGITTE.de: Mode oder Beauty, Diät oder Rezepte - hier findet ihr genau die Themen, die Frauen interessieren, und eine lebendige Community.
brigitte.de",1,19,29
Filiz Polat,@filizgreen,2021-05-28T09:07:00.000Z,Seit 2017 kämpfe ich im #Bundestag für eine chancengerechte und rassismuskritische Einwanderungsgesellschaft. Auf dem Weg zur Gesellschaft der Vielen sind wir noch am Anfang. Lasst uns zusammen für Mehrheiten streiten und #VielfaltGestalten. Grün macht den Unterschied! #ldknds,5,10,83
Ulrich Schulte,@UlrichSchulte,2021-05-27T13:14:44.000Z,"Eigentlich eine Banalität, aber: Annalena #Baerbock|s Nachmeldung der #Nebeneinkünfte mit mutmaßlichen Schutzmasken-Deals gleichzusetzen, ist unseriös. Bei ihr keine Einflussnahme Dritter, Weihnachtsgeld ist legal. Bei Unionsabgeordneten handfester Korruptionsverdacht.",39,251,1.6K
Sven Lehmann MdB,@svenlehmann,2021-05-27T15:04:29.000Z,"Bereits Ende März haben 
@ulle_schauws
 und ich uns schriftlich an den Präsidenten des BAMF gewendet und auf die Fälle aufmerksam gemacht, die uns der 
@lsvd
 mitgeteilt hat.",,9,112
Sven Lehmann MdB,@svenlehmann,2021-05-27T13:32:54.000Z,"Anwälte des Auswärtigen Amtes haben offenbar im Auftrag des BAMF schwule + bisexuelle Asylbewerber in ihren Herkunftsländern zwangs-geoutet - obwohl ihnen dort teilweise Todesstrafe droht.  Diese verfassungswidrige Praxis muss sofort beendet werden!Schwule Asylbewerber offenbar durch Bundesregierung zwangsgeoutet - WELT
Anwälte des Auswärtigen Amts haben offenbar homo- und bisexuelle Asylbewerber in ihren Herkunftsländern geoutet – obwohl dort lange Inhaftierungen oder gar die Todesstrafe drohen. Dabei verstößt...
welt.de",15,253,758
nd.Aktuell,@ndaktuell,2021-05-23T09:00:02.000Z,"Wenn eine verheiratete Frau ein Kind gebärt, wird ein Ehemann automatisch zum Vater. Eine Ehefrau oder nicht-binäre Person muss das Kind adoptieren. Die Grünen-Politikerin 
@ulle_schauws
 will das #Abstammungsrecht reformieren. #PaulaHatZweiMamasNur die halbe Absicherung
Wenn eine verheiratete Frau ein Kind gebärt, wird ein Ehemann automatisch zum Vater. Eine Ehefrau oder nicht-binäre Person muss das Kind adoptieren. Die Grünen-Politikerin Ulle Schauws will das...
neues-deutschland.de",7,54,276
Konstantin v. Notz,@KonstantinNotz,2021-05-21T20:42:55.000Z,"#Maassen und das Schweigen der Parteispitze zu ihm, sind eine tickende Zeitbombe für den Wahlkampf der #CDU #BTW21",67,127,1.5K
Grüne im Bundestag,@GrueneBundestag,2021-05-21T10:20:00.000Z,"Queeren Menschen den verfassungsrechtlichen Schutz zu verweigern, ist angesichts der deutschen Geschichte verantwortungslos. 

Obwohl Union & SPD die Debatte verhindern wollten, holen wir sie trotzdem ins Parlament.

Live ab 14.45 Uhr auf  http://bundestag.de.Ulle Schauws  and Sven Lehmann MdB",8,32,141
Grüne im Bundestag,@GrueneBundestag,2021-05-21T13:47:58.000Z,"Die sexuelle Identität muss ins Grundgesetz. 

Lassen Sie uns mit dieser Verfassungsergänzung eine Signalwirkung in unsere Gesellschaft geben:

Dass jeder queere Mensch vom Staat gesehen und geschützt wird – egal, wie er lebt und liebt.

– 
@ulle_schauws",32,19,118
Sven Lehmann MdB,@svenlehmann,2021-05-21T11:45:43.000Z,"Der Mordanschlag auf ein schwules Paar in #Dresden ist seit heute verurteilt: lebenslange Haft für den Täter. 

Das Urteil hat Signalwirkung. Denn Homofeindlichkeit als Tatmotiv ist besonders hervorgehoben.

Presse-Erklärung mit 
@ulle_schauws
 Urteil mit Signalwirkung im Mordfall Dresden
Der Messerangriff auf ein schwules Paar letztes Jahr in Dresden, bei dem ein Mann getötet und der andere verletzt wurde, hat uns zutiefst erschüttert. Umso wichtiger ist es, dass der Täter des...
gruene-bundestag.de",4,20,103
Ulle Schauws,@ulle_schauws,2021-05-21T08:45:07.000Z,"Alle müssen im #Grundgesetz #Artikel3 geschützt werden. Das muss endlich auch für queere Menschen gelten. Danke an die Initiative #grundgesetzfüralle für die Petition und über 100.000 Unterstützer*innen.Wir machen heute im Bundestag weiter Druck. 
@GrueneBundestag
 @ToniHofreiterGrüne im Bundestag  and 7 others",1,14,67
Ulle Schauws,@ulle_schauws,2021-05-21T07:33:51.000Z,"Heute werden wir im Bundestag darüber debattieren, warum sich Union und SPD nicht zum überfälligen Schutz der „sexuellen Identität“ im #Grundgesetz verhalten wollen. Wer Flaggen hisst, muss auch B sagen. #artikel3Ulle Schauws
@ulle_schauws
 · May 19
Union und SPD haben mit ihrer Mehrheit gerade Gesetzentwurf „#SexuelleIdentität im Art.3/3 #Grundgesetz“ Grüne/FDP/Linke abgesetzt. Wie unwürdig ist das! Montags Regenbogenflagge hissen und 2 Tage später so? Das lassen wir @JBrandenburgFDP @DorisAchelwilm nicht gelten!",2,4,44
