User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Freiheitsliebe,@Freiheits_liebe,2021-05-27T16:21:57.000Z,"Das 
@ndaktuell
 hat unser Videointerview mit 
@voglerk
  und 
@SWagenknecht
  unter die Lupe genommen. 
Das ganze Interview findet ihr hier:
https://youtube.com/watch?v=CUnDlUcddt4&t=137s…
#linke #wagenknechtnd.Aktuell
@ndaktuell
 · May 27
In ihrem neuen Buch setzt sich Sahra #Wagenknecht mit politischen Gruppen auseinander, die ihrer Ansicht nach @dieLinke und ihre Wählerschaft spalten. Nein, sagen Kritiker, genau diese Art der Konfrontation wirke spalterisch. https://dasND.de/1152508",1,3,5
Jules El-Khatib,@ju_khatib,2021-05-22T20:55:17.000Z,"Heute Abend fand in Tel Aviv eine der größten Friedensdemos der letzten Jahre statt: Tausende Israelis und Palästinenser demonstrierten gemeinsam für Frieden und ein Ende der Besatzungspolitik.
Das sind die Kräfte an denen sich die deutsche Politik orientieren sollte!",18,234,1.4K
"Kathrin Vogler, MdB",@voglerk,2021-05-22T18:48:31.000Z,"Heute #Eurovision gucken mit meinem Liebsten, 
@pynkpanic
 und lecker Popcorn. Und ihr so?",,,2
"Kathrin Vogler, MdB",@voglerk,2021-05-21T20:57:38.000Z,"Zum ersten Mal habe ich das Gefühl, dass mir unter der Maske der Sauerstoff ausgeht. Und das in einer Situation, in der ich sie keinesfalls absetzen will. 60 Minuten SEV.",1,2,3
"Kathrin Vogler, MdB",@voglerk,2021-05-21T20:15:35.000Z,"Der #SEV von #Münster nach #Rheine ist so überfüllt, dass #Corona ne Party feiert. Abstand unmöglich, Lüften Fehlanzeige, die Leute stehen dicht an dicht. Danke, 
@Regio_NRW
. Für nichts.",2,6,12
"Kathrin Vogler, MdB",@voglerk,2021-05-21T19:15:28.000Z,"Echt brutal, dieser chinesische Imperialismus! 
@HeikoMaas
: können wir das nicht auch? #gebtdiepatentefrei #Impfstoff für #Afrika! https://twitter.com/sardon_ador/status/1395611715782553604…This Tweet is unavailable.",,1,5
Yossi Bartal,@BartalYossi,2021-05-21T12:00:24.000Z,"Gerade halten die Knessetabgeordneten Mossi Raz (Meretz) und Ofer Cassif (Hadash) eine Rede auf einer gemeinsamen palästinensischen-israelischen Demonstration in der Westbank und werden mit Schockgranaten von den Soldaten angegriffen.Alon-Lee Green - ألون-لي جرين - אלון-לי גרין
@AlonLeeGreen
 · May 21
מלא רימוני הלם באמצע נאומי הח""כים מוסי רז ועופר כסיף. בזמן שעומדים ומקשיבים
Show this thread",3,74,227
"Kathrin Vogler, MdB",@voglerk,2021-05-21T19:04:30.000Z,"Kennt ihr Jüngeren das eigentlich? Wolf Biermann - Ballade vom Briefträger William L. Moore https://youtu.be/89Wm2VlmAmc #BLM #Rassismus #SeelenmusikWolf Biermann - Ballade vom Briefträger William L. Moore
Wolf BiermannVEBiermann (1960-65)19 - Ballade vom Briefträger William L. Moore aus Baltimore,der im Jahre '63 allein in die Südstaaten wanderte. Er protestie...
youtube.com",,,5
Münster Tube,@Muenstertube,2021-05-21T18:26:51.000Z,"#Münster: Friedensradtour zu Gräbern von sowjetischen Kriegsgefangenen, Zwangsarbeitern und  Soldaten der 1. Polnischen Panzerdivision  in Handorf-Dorbaum (Teil II)
@voglerk
 @vvnbdams
 @DFGVKMuenster
 @GronoJan
 @ms_alternativMünster: Friedensradtour zu Gräbern von sowjetischen Kriegsgefangenen in Handorf-Dorbaum (Teil II)
Die DFG – VK Münster und FRIKO Münster hatten anlässlich des 76. Jahrestages der Unterzeichnung der Kapitulation mit der Sowjetunion am 9. Mai 1945, eine Friedensradtour zu den Gräbern der sowjetis…
muenstertube.wordpress.com",1,5,9
Martyna Linartas,@martyna_lin,2021-05-21T11:08:08.000Z,"Während weltweit mehr als 100 Millionen in absolute #Armut gefallen sind, „haben die 2.700 #Milliardäre weltweit im #Corona Jahr ihr Vermögen um 60% gesteigert. Was für eine perverse Entwicklung.“ - 
@MFratzscher
  
#UngleichheitVermögenskonzentration: Milliardäre sind die Pandemiegewinner
Während die Wirtschaft eingebrochen ist, haben die 2.700 Milliardäre weltweit im Corona-Jahr ihr Vermögen um 60 Prozent gesteigert. Was für eine perverse Entwicklung.
zeit.de",11,77,314
