User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
PI News,@P_I,2017-10-11T14:00:33.000Z,"Warum ich als Niedersachse #AfD wähle
#ltwnds2017 

http://pi-news.net/warum-ich-als-niedersachse-afd-waehle/…",1,7,18
AfD Bv. Hamburg-Nord,@AfD_Bv_HH_Nord,2017-10-14T10:50:15.000Z,Am 15. Oktober 2017 zur #Landtagswahl in #Niedersachsen #AfD wählen. #BesserfuerNiedersachsen #TrauDichDeutschland zur #LtwNds #LTWNDS17,3,46,83
AfD NRW,@AlternativeNRW,2017-10-13T22:04:59.000Z,Unseren Freunden in Niedersachsen morgen (15.10.) viel Erfolg! #BesserFuerNiedersachsen #AfD https://facebook.com/AfDfuerNRW/posts/1661339320604709… https://twitter.com/AlternativeNds/status/918934560812994560…This Tweet is unavailable.,,32,41
Anneke vom Hofe,@Norjenta,2017-10-13T16:17:40.000Z,"Ermittlungsverfahren ""hinsichtlich aller gegen ihn erhobenen Vorwürfe eingestellt""

#Hampel #AfD #Nds #ltwnds
http://m.rp-online.de/politik/deutschland/ermittlungen-gegen-niedersachsens-afd-chef-hampel-eingestellt-aid-1.7141680…",4,29,43
Prof. Dr. Jörg Meuthen,@Joerg_Meuthen,2017-10-13T19:44:45.000Z,"Zeit, der Migrantengewalt entschieden gegenüberzutreten. Zeit für die #AfD.
#LtwNds
 https://facebook.com/Prof.Dr.Joerg.Meuthen/photos/a.554885501326826.1073741828.554345401380836/907569779391728/?type=3&theater…",31,192,374
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-10-12T19:19:01.000Z,"#AfD-Fraktionsvorsitzende Dr. 
@Alice_Weidel
:
»Wir werden als einzige echte Opposition auch im Bundestag den Druck auf die Regierung hoch halten und darauf hinwirken, dass die #Salzgitter-Maßnahme zum Muster für ganz  wird!«
 https://afd.de/alice-weidel-erlass-fuer-salzgitter-zeigt-dass-die-afd-wirkt/…",30,242,559
Alice Weidel,@Alice_Weidel,2017-10-12T19:32:21.000Z,"Kultursensibel in die Islamische Scharia Republik .
Die ""C""DU zeigt nun ihr wahres Gesicht.
#AfD #LtwNdsThomas de Maizière möchte „gerne vielleicht mal“ einen muslimischen Feiertag
Regelmäßig ist von einer fortschreitenden Islamisierung Deutschlands die Rede. Dieses Land ist zwar rein statistisch bei weitem noch kein islamisches Land, aber die Debatte darüber wird nicht zu...
tichyseinblick.de",149,313,655
Prof. Dr. Jörg Meuthen,@Joerg_Meuthen,2017-10-12T21:25:42.000Z,"Dieser Bericht zeigt auf, wie es um unser aller Sicherheit in bestellt ist!
#AfD #LtwNds
https://facebook.com/Prof.Dr.Joerg.Meuthen/posts/907196536095719…Fall Anis Amri: Sonderermittler wirft Behörden haarsträubende Versäumnisse vor
In seinem Bericht zum Berlin-Anschlag bringt Ex-Bundesanwalt Bruno Jost eklatante Versäumnisse ans Licht. ""Mit hoher Wahrscheinlichkeit"" hätte man Anis Amri vor der Tat aus dem Verkehr ziehen können.
spiegel.de",21,126,249
"Andreas Bleck, MdB",@andreasbleckmdb,2017-10-14T17:20:30.000Z,"Dänemark sieht in Deutschland wegen abgelehnter Asylbewerber ein Sicherheitsrisiko für seine Bürger und kontrolliert weiterhin die Grenze. So sieht fürsorgliche Politik aus!Junge Freiheit
@Junge_Freiheit
 · Oct 13, 2017
Auch Dänemark verlängert seine Grenzkontrollen https://jungefreiheit.de/politik/ausland/2017/daenemark-sieht-abgelehnte-fluechtlinge-aus-deutschland-als-gefahr/…",3,18,33
Euer_Amar,@Euer_Amar,2017-10-13T12:03:36.000Z,"Grenzkontrollen: Dänemark sieht in Deutschland abgelehnte Asylbewerber als RisikoDänemark begründet Grenzkontrollen mit abgelehnten Asylbewerbern - WELT
Die dänische Regierung sieht in Nachbarländern abgelehnte Asylbewerber als „eine echte Sicherheitsbedrohung“. Terroranschläge würden häufig in anderen Staaten geplant. Daher habe Dänemark seine...
welt.de",,33,39
