User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-05-10T14:32:10.000Z,"Direktkandidat für Offenburg: Ich wünsche dem am Sonntag frisch gewählten Kollegen Taras Maygutiak viel Erfolg im Bundestagswahlkreis 284!

Herzliche Glückwünsche auch an den gestern turnusmäßig neugewählten Kreisvorstand Ortenau – es ist eine Freude… https://t2p.pw/IWVYyRNQzw",7,1,2
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-05-09T10:01:03.000Z,,3,2,3
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-05-08T16:00:58.000Z,"Wer’s noch nicht gesehen hat: Hier empfehle ich mich für den kommenden Deutschen Bundestag.
---
https://youtu.be/yrAuiFk8h08Unbestechlich: Für Recht und Gerechtigkeit
Meine Aufgabe: Mit wasserdichten Anträgen und druckreifen Gesetzesentwürfen die Regierung unter Druck setzen – und zeigen, dass wir es besser können. Dass wi...
youtube.com",7,2,4
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-05-07T16:01:00.000Z,"„Journalist“ gegen Demonstranten

„Lügenpresse“ ist ein harter Vorwurf und trifft nicht immer zu.
Noch härter allerdings wäre „Prügelpresse“ – wenn es zutrifft, dass der Angreifer in diesem Video tatsächlich Geschäftsführer eines Journalistenverbands ist… https://t2p.pw/kH5trQHskm",2,2,6
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-05-06T15:45:03.000Z,"MISSBRAUCH VON BEFÖRDERUNGEN

Schnell noch die Parteifreunde versorgen: Nach diesem Motto fördern die CDU/CSU und SPD erneut die eigene Macht- und Raffgier. Da empören sich sogar die Scheinheiligen der Bildzeitung und FAZ. Viel wichtiger: Auch der… https://t2p.pw/DE07d6ANwq",8,3,3
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-05-04T14:12:27.000Z,"Täglich ein neuer Angriff auf Grundrechte, Verfassung und Demokratie: Jetzt will Sachsen-Anhalt reine Briefwahlen ermöglichen – und den persönlichen Gang zur Wahlurne überflüssig machen. Manipulationen werden damit Tür und Tor sperrangelweit geöffnet… https://achgut.com/artikel/die_naechste_beerdigung_geheime_wahlen…",80,8,6
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-05-04T12:20:11.000Z,"Umfahrung B3:
GRÜN MIT NEUEM VERZÖGERUNGSANTRAG IN LETZTER MINUTE!

Trotz breitestem Konsens zur Entlastung der Bürger - heute kommen die Grünen in letzter Minute mit scheinbaren „Ergänzungen“ um die Ecke, um das Ganze erneut zu verzögern.

Nein und…Lahr: Auch AfD klar für die neue Kreisstraße - Lahrer Zeitung
Verkehr: Ja zur Variante 2 / Unterstützung für die Bürgermeister
lahrer-zeitung.de",3,,
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-05-03T14:00:33.000Z,"Eine ruhige Debatte, und das ist angemessen:
Was tun, wenn der Patient nicht mehr leben will? Die Antwort darauf ist immer individuell und persönlich.

https://youtu.be/nPpnB3vyOhoBegleiteter Suizid - Ein Denkanstoß
Sterbehilfe, Tötung auf Verlangen und Assistierter Suizid werden oft verwechselt. Hier geht es nur um Letzteres: Die Hilfe für Menschen, die ihr Leben selbst...
youtube.com",4,1,1
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-28T14:01:11.000Z,"+++ Wir versorgen die, die uns versorgen - Teil 2 +++
Noch zum Ende des vergangenen Jahres fand das gemeinsam mit:
Thomas Seitz, MdB, AfD Stadtverband Bruchsal & AfD Emmendingen gestartete Format
""Wir versorgen die, die uns versorgen"" ein zweites Mal…Wir versorgen die, die uns versorgen - Teil 2
+++ Wir versorgen die, die uns versorgen - Teil 2 +++Noch zum Ende des vergangenen Jahres fand das gemeinsam mit: Thomas Seitz, MdB, AfD Stadtverband Bruchsa...
youtube.com",2,1,3
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-27T13:01:49.000Z,"„Schwarz-Rot-Gold statt Schwarz-Rot-Grün“: So einfach ist die Farbenlehre für ein sicheres, zukunftsfähiges und liebenswertes Land.  Meine sehr persönliche Rede vor dem Kreisverband. Als Bewerber ging ich in die Sitzung hinein, als Direktkandidat kam ich…Ein flammendes Plädoyer!
Ein sehr persönlicher Rückblick und Ausblick, die Rede vor meinem Wahlkreis. Was treibt mich an, was gibt mir Hoffnung? Als frischgewählter Direktkandidat da...
youtube.com",9,2,6
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-25T13:00:29.000Z,"Ich kämpfe gern. Für direkte Demokratie, für Sicherheit, für Freiheit, für ein sauberes Parlament und eine saubere Partei. Als Jurist sage ich: „Wer mit der Regierung ins Gericht geht, braucht einen verdammt guten Rechtsbeistand.“ Ob ich das auch in den…Einer gegen alle? Alle für einen!
Meine Aufgabe: „Mit wasserdichten Anträgen und druckreifen Gesetzesentwürfen die Regierung unter Druck zu setzen – und zu zeigen, dass wir es besser können. ...
youtube.com",11,1,4
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-23T13:01:37.000Z,"#allesdichtmachen

Angesehene Künstler, die etwas zu verlieren haben. Aus einer Branche, die mit der AfD sehr wenig am Hut hat. Die allermeisten von ihnen sind glühende Gegner unserer Politik.  Das hindert mich nicht, ihren Mut zu loben.

Wenn sie jetzt… https://t2p.pw/yEhAuPGJim",9,3,11
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-22T17:00:52.000Z,"Eine schlechte Idee wird nicht besser, wenn man ein Gesetz daraus macht. NORMALES Leben ist möglich.
Nein zu Ausgangssperren und Repressalien!",8,2,9
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-21T17:00:40.000Z,"Hier protestiert Links, Rechts und Mitte, friedlich und ohne Spaltung.
Davor hat das Merkelsystem Angst.
Man will sie hier alle als Spinner darstellen, als Leugner, als Radikale, als
„Covidioten"".
Da suchen die GEZ-Kameras jetzt schon fieberhaft die…Coronademo in Berlin: Änderung des Infektionsschutzgesetzes beschlo...
Hier protestiert Links, Rechts und Mitte, friedlich und ohne Spaltung.Davor hat das Merkelsystem Angst.Man will sie hier alle als Spinner darstellen, als Leu...
youtube.com",7,1,3
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-20T13:00:02.000Z,"Liebe Freunde,
das Infektionsschutzgesetz soll nach Willen der GroKo weiter verschärft werden – und seitdem quellen unsere Postfächer über.
Ihr macht euch Sorgen um die Entmachtung der Bundesländer und den neuerlichen Angriff auf unsere Grundrechte. Und…Entmachtung der Bundesländer: Kommt nach Berlin!
Liebe Freunde,das Infektionsschutzgesetz soll nach Willen der GroKo weiter verschärft werden – und seitdem quellen unsere Postfächer über.Ihr macht euch Sorg...
youtube.com",7,,1
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-15T15:00:53.000Z,"""Jeder Gastronom hat bessere Schutzkonzepte als Sie"" – warum die Regierung von den Bürgern lernen sollte.

https://youtu.be/_zvhqP8Ck3sLernen Sie von den Bürgern!
Wann immer Merkel plus Minister im Hinterzimmer eine neue Schnapsidee ausbrüten, geht es nur um eines: ""Wellenbrecher, Osterruhe, Brückenlockdown, Tunnellock...
youtube.com",12,1,6
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-14T14:01:45.000Z,"Kandidaten-Klüngel im Endlos-Lockdown. Die AfD lässt die Basis entscheiden. Normal! ;)Kanzlerkandidaten-Kür der CDU: Perfekte Inszenierung als Ablenkung von Entmachtung der Länder
Man muss kein Schwarzseher sein, um nicht zu ahnen, dass diesem Pilotprojekt weitere Ausnahmezustände folgen werden. Bekanntlich halte ja allein die „Klima-Krise“ im Zweifel tödliche Bedrohungen für...
tichyseinblick.de",7,5,8
"Thomas Seitz, MdB",@Th_Seitz_AfD,2021-04-13T14:01:10.000Z,"Regionale Schwerpunkte anstelle aufgeblasener Umerziehungsanstalten. Objektivität, Unparteilichkeit, Meinungsvielfalt: Der öffentlich-rechtliche Rundfunk gehört auf seine Grundprinzipien reformiert und verschlankt: GRUNDFUNK, statt GEZ!",9,1,6
